"id","layer","subsystem","authority_edge","current_code_surface","current_authority_or_data","current_assessment","missing_boundary_or_bypass","target_code_surface","target_authority","required_transition_sequence","required_cutover","mechanical_enforcement","runtime_or_courtroom_evidence","depends_on","phase34_scope","priority","status"
"11","materialization","coverage basis","physical basis to watermark","materialization/coverage_basis.rs; source.rs; watermark.rs","AdmittedCoverageBasis retains the non-Copy source identity whose private authority enum owns the exact lower receipt and exposes only a watermark projection","Root WAL replay blob import restore and publication watermarks are projected only after lower-owner evidence enters the admitted source basis","No scalar watermark admission path remains outside cfg(test) observation fixtures","materialization/coverage_basis.rs","AdmittedCoverageBasis retaining exact lower-owner receipt and read-only watermark projection","WAL/checkpoint/root/blob receipt -> admitted coverage basis -> diagnostic watermark","Keep scalar watermark projection observational; never admit from watermark values","Compile-fail source identity and admitted basis construction; residue gate forbids scalar coverage assembly in ordinary owners","Equal watermark values from another source Store generation publication or security scope deny","10","direct","critical","proven_complete"
"12","materialization","coverage interval","state and watermarks to coverage","materialization/coverage.rs; coverage_basis.rs; source_binding_tests.rs","Every coverage witness retains one mandatory source identity and coverage admission accepts lower and upper bases only when their exact source identities match","The impossible source-free witness state and planning-facade fixture constructors have been removed; interval basis gap and source validation remain owner-local","No known coverage-construction bypass remains; new lower-owner adapters must supply admitted bases carrying their exact source","materialization/coverage.rs","AdmittedLayoutCoverage retaining one source identity exact basis receipt interval and gap classification","source-bound observation + admitted basis/bases -> classify coverage -> issue coverage capability","Keep common-source validation mandatory and scalar watermarks observational","Private admitted-basis fields; mandatory non-Option source; source equality check; foundations compile-fail construction proof; executable residue gate","Equal-watermark mixed-source bounds deny; reversed partial stale and quarantined cases pass through source-bound observations; 139 layout library tests and the foundations compile-fail group pass","10;11","direct","critical","proven_complete"
"13","materialization","freshness","coverage observation to current or stale posture","materialization/freshness.rs; owner readiness modules","CurrentLayoutMaterialization and StaleLayoutMaterialization are private-field owner outcomes bound to the full admitted materialization and exact retained frontier source","B-tree LSM degraded and replay readiness consume owner-classified freshness; LSM replay frontier derives its identity only from admitted replay membership","No execution facade accepts a raw family domain coverage frontier or copied replay identity tuple","materialization/freshness.rs","CurrentMaterialization or StaleMaterialization bound to exact coverage and current Store authority","admitted coverage + current physical frontier -> freshness classification -> current or stale capability","Centralize freshness classification in materialization owner and make execution consume its result","Private current/stale UI proofs; ready and executed values retain materialization; residue rejects raw tuple and copied replacement lanes","Layout tests and B-tree/LSM courtroom substitutions prove equal-looking foreign sources become stale or deny","2;12","direct","critical","proven_complete"
"14","materialization","completeness","exact coverage to point range prefix completeness","strategy/registry/snapshot.rs; planning/selected_plan.rs; planning/plan_fingerprint.rs","Selected indexed operations and fingerprints retain the exact request-bound S8LayoutStrategyRegistrySnapshot containing admitted strategy requested/granted capability exact source-aware coverage and key laws","Range and prefix completeness is issued only through strategy registry admission; coverage-only completeness witness types and methods were deleted","No known coverage-only completeness authority remains","strategy/registry/snapshot.rs; planning/selected_plan.rs","request-bound strategy admission proving operation applicability over exact source-aware coverage","current coverage + admitted strategy/materialization metadata + intent class -> completeness classification","Bind point range prefix and scan completeness to the materialization's declared construction semantics","Selected-operation and fingerprint fields retain snapshot; structural residue rejects deleted completeness witnesses","Range selection test proves OrderedRange request and grant plus exact coverage are retained; full layout library passes","7;9;13","direct","high","proven_complete"
"15","materialization","absence","executed lookup to authoritative absence","strategy/btree/execution/outcome.rs; strategy/lsm/execution/lookup_outcome.rs","B-tree and LSM owners issue private-field absence only from ordinary physical traversal or admitted membership lookup and retain plan request probe and current materialization","Coverage-only and planning-issued absence lanes are deleted; bounded-scan absence remains a distinct degraded operation","none; non-indexed absence belongs to its own owner family and cannot enter exact lookup views","strategy/btree/execution/outcome.rs; strategy/lsm/execution/lookup_outcome.rs","owner-issued lookup absence bound to request identity execution source and admitted materialization","ready lookup -> physical traversal -> not-found observation -> owner-issued absence","Completed for every exact lookup owner; shared surfaces are read-only views only","Private fields; compile-fail B-tree and LSM absence construction; coverage has no issuance method; old proof module absent","B-tree missing-probe and LSM tombstone-blocked scenarios issue exact source-bound absence; malformed artifacts and wrong sources deny; full verifier passes","8;13;25;31","direct","critical","proven_complete"
"16","materialization","admitted posture","source facts to one retained materialization capability","materialization/admission.rs","AdmittedLayoutMaterialization retains admitted family source-aware coverage and the full non-Copy lower-owner source authority","Catalog B-tree lookup/publication/replay LSM lookup/publication/replay imported blob and restored artifact adapters all issue the same sealed materialization capability; readiness and execution retain it","No ordinary request shape carries coverage epoch LSN source identity or materialization posture independently","materialization/admission.rs","AdmittedLayoutMaterialization retaining family source basis coverage freshness completeness publication identity and absence eligibility","admitted family + physical source evidence -> materialization classification -> admitted capability or typed denial","Add lower source adapters and posture fields then remove shape coverage and make readiness/readmission consume only this capability","Private-field UI proof; non-Copy ownership; coverage substitution denial; import graph limits issuance to materialization owner","All layout library and B-tree/LSM courtroom tests pass; imported/restored cross-authority substitutions deny","5;10;11;12;13;14","direct","critical","proven_complete"
"17","request boundary","request admission","family domain key intent materialization to request","planning/access_request.rs","Separate private-field AdmittedPhysicalReadRequest AdmittedPhysicalRecoveryRequest and AdmittedPhysicalMutationRequest capabilities","Read and recovery require admitted materialization while mutation cannot carry one; operation-class mismatch denies before planning and the synthetic selector is removed","No known broad optional-materialization request remains","planning/access_request.rs","separate admitted read recovery and mutation requests with admitted intent","family + domain key + operation-specific materialization requirement -> consistency classification -> typed admitted request","Keep request classes disjoint and prevent a generic request wrapper from returning","Private fields; three compile-fail construction fixtures; residue rejects generic request and selector lanes","All 129 layout unit tests pass through the split requests; compile-fail suite covers each request constructor","8;9;16","direct","critical","proven_complete"
"18","request boundary","synthetic request identity","test scope to planning request","planning/access_request.rs; selection_receipt.rs; keyspace/request_identity.rs; test-support layout harness","Tests and production both require admitted family key domain concrete key materialization and intent before request issuance","Raw source-less shapes remain declarations only and no test-only selector can promote them","none; test support prepares inputs and invokes ordinary admission facades","test-support scenario builders using ordinary facades","real admitted requests only","test declaration -> ordinary family/domain/key/materialization/intent admission -> request","Completed: synthetic selection and source-less materialization shortcuts are removed","Compile-fail private request and selection construction; residue rejects old selectors and unit-test admission helpers; dependency gate blocks private imports","All 140 layout tests use production request admission; test-support compiles without authority constructors; full verifier passes","17","direct","critical","proven_complete"
"19","strategy","strategy declaration","family and key laws to strategy candidate","strategy/authority_basis.rs; declaration.rs; admission.rs","StrategyDeclaration retains a private StrategyAuthorityBasis containing admitted family and admitted key domain","Permanent strategy vocabulary is milestone-free; the broad family discriminator is crate-private and cannot itself enter public planning or execution","No public raw lifecycle domain or strategy-family admission lane remains","strategy/declaration.rs","StrategyDeclaration bound to admitted family and domain but not executable","admitted family + admitted domain + strategy kind -> declaration compatibility classification","Rename permanent strategy vocabulary and narrow family enum usage","Residue rejects milestone vocabulary raw wrappers legacy basis and raw registry constructors; generic strategy types are absent from root exports","Extension UI and selected strategy/fingerprint authority-equality suites pass","5;7","direct","critical","proven_complete"
"20","strategy","invariant admission","strategy declaration to executable strategy capability","strategy/admission.rs; invariant_suite.rs; admitted_strategy.rs; typed selected-operation modules","AdmittedLayoutStrategy privately retains admitted family domain declaration and family-specific invariant suite; public execution receives typed selected B-tree or LSM capabilities","Every strategy admission requires exact admitted capabilities and every selected indexed operation retains that admission before owner-specific lowering","No public generic admitted-strategy constructor or raw invariant promotion remains","strategy/admission/capability.rs","AdmittedLayoutStrategy bound to family domain and invariant suite; eligibility later binds intent/materialization","strategy declaration -> invariant verification -> admitted strategy -> candidate compatibility","Split permanent B-tree/LSM capability types where operation ownership benefits","Private constructors and no raw admission path; selected plan retains exact capability; operation mismatch compile-fail proofs enforce typed B-tree/LSM lowering","Invalid key-law unsupported-domain exact authority-retention and cross-owner operation scenarios pass","19","direct","high","proven_complete"
"21","strategy","candidate registry","admitted request to eligible strategy alternatives","strategy/registry/; planning/candidates/","PlanningAlternativeSet derives B-tree and LSM candidates from admitted family key-domain materialization and intent authority; each eligible candidate retains the registry snapshot and an exact EligibleStrategyOperation","Registry admission now enforces exact materialization and live-maintenance compatibility; candidate rejection retains the precise registry denial or exact unsupported operation and exposes a unique exhaustive case identity","No residual generic indexed fallback remains; unsupported shapes fail at candidate classification and selected plans carry the owner-classified operation into issuance and B-tree execution","planning/candidates/","Eligible strategy candidate retaining admitted strategy request intent exact materialization compatibility and typed owner operation","admitted request -> exact operation classification -> registry and materialization admission -> eligible candidate -> selected typed operation","Completed: removed denial coarsening and post-selection family/shape reclassification; split candidate audit operation and set ownership into planning/candidates","Exhaustive LayoutAdmissionDenialCase and SelectionCandidateRejectionCase inventories; classifier has no wildcard; selection decision and B-tree runtime consume typed operation; full Phase 34 verifier green","144 layout tests include exact denial inventory exact-readiness-without-coverage denial typed point/range operation retention unsupported-shape rejection and source residue assertions; ten compile-fail suites and all downstream verifier lanes pass","17;20","direct","critical","proven_complete"
"22","planning","candidate decision","eligible set to exact operation case","planning/decision.rs; planning/decision_case_tests.rs","private exhaustive PlanSelectionDecision splits B-tree point range prefix and replay; LSM lookup publication replay and compaction; degraded and denied cases","Candidate issuance supplies a typed EligibleStrategyOperation; decision performs one exhaustive extraction and issuance is mechanical without family/shape reclassification","No generic Indexed case remains; the unobservable B-tree root-publication selection and its synthetic compile-fail fixtures were removed instead of being advertised as production capability","planning/decision.rs","private exhaustive permanent operation decision cases","eligible candidates + deterministic policy -> exact operation decision","Completed: removed generic and dead cases; split B-tree lookup operations; retained only cases emitted by ordinary admitted requests","Exhaustive enums have no wildcard fallback; source residue tests forbid payload reclassification; removed SelectedBTreeRootPublication is protected by compile-fail proof","AccessPlanSelectionCase declared set exactly equals ten cases emitted by ordinary B-tree LSM degraded and denied requests; 145 layout tests and full Phase 34 verifier pass","21","direct","high","proven_complete"
"23","planning","selection policy","eligible alternatives to deterministic winner","planning/candidates/set.rs; planning/decision.rs; planning/selection_basis.rs","named B-tree and LSM candidate slots plus an exhaustive private selection decision","Ordinary authority domains are disjoint: selection accepts the sole eligible typed candidate, denies no candidate, and fails closed with OverlappingEligibleStrategyAuthority if both authorities ever appear","The former rank table advertised unreachable B-tree-versus-LSM competition and derived preference from projections instead of owner authority","planning/candidates/set.rs; planning/decision.rs","pure exhaustive decision over named owner-admitted candidate slots with no independent ranking or issuance authority","owner-admitted candidate slots -> sole-candidate or overlap classification -> private decision -> selected-plan issuance","Delete the unexecutable rank policy and dead selection rules; keep operation classification in candidate admission and make issuance consume only the private exhaustive decision","Private decision and issuance fields; residue test forbids an unexecutable ranking policy; exact ordinary decision-case set equality","All ten advertised decision cases are emitted through ordinary production requests; candidate declaration or registry iteration order cannot affect named-slot selection; overlap fails closed rather than being ranked","21","direct","medium","proven_complete"
"24","planning","cost estimate","selected candidate and intent to planned work","planning/cost/derivation.rs; planning/cost/estimate.rs; planning/selected_plan.rs; strategy/counter_planning.rs","private CostedAccessPlan retains an owner-issued AccessPlanCostEstimate whose explicit class and exact counter slice are derived from the candidate-classified operation","All nine executable baseline operation classes select exactly one lookup publication or recovery counter contract; cost derivation no longer aggregates unrelated lifecycle work or reclassifies family and shape projections","No unresolved bypass remains for the currently advertised baseline equivalence classes; operations with broader cardinality behavior must declare a new typed equivalence class before admission","planning/cost/","operation-local AccessPlanCostEstimate bound to exact selected operation intent materialization source coverage and planned counter contract","selected owner-admitted operation -> exact counter slice -> operation-local cost dimensions -> private costed plan","Removed generic family/shape aggregate estimator; added explicit operation classes and fail-closed degraded row representability","Private estimate fields and crate-local issuer; compile-fail external construction proof; residue forbids family shape and aggregate-profile derivation; ordinary decision matrix observes every class","All successful ordinary decision cases prove exact class and counter-slice equality; degraded demand above u16 representation is denied before budget admission instead of clamped; complete Phase 34 verifier passes","16;21","direct","high","proven_complete"
"25","planning","budget admission","planned cost and envelope to admitted budget","planning/selected_plan.rs; forge-store-budgets/pre_execution/","private selected-plan owner operation derives CostedAccessPlan submits its exact PreExecutionBudgetRequest and seals the returned receipt into SelectedAccessPlanBasis","PreExecutionBudgetAdmissionReceipt retains the exact admitted request as well as its envelope; decision code cannot construct costed plans pair receipts or invoke budget admission directly","No copied-receipt pairing lane remains; lower physical admission checks exact admitted demand rather than unused envelope capacity","planning/selected_plan.rs and forge-store-budgets/pre_execution/","budget-admitted selected plan retaining an exact demand-bound resource receipt without making the budget crate semantic plan authority","operation-local cost -> exact resource request -> budget-owner admission -> demand-bound receipt -> selected-plan capability","Moved derivation and admission into the selected-plan owner; made all pairing constructors private; bound receipts to requests and removed envelope-headroom authorization","External receipt construction fails with E0451; selected operation construction remains private; residue proves only selected-plan owner pairs cost and receipt","Every ordinary successful plan proves receipt-request equality for all resource dimensions; exact threshold and over-budget tests pass; physical one-touch receipt cannot authorize eight touches; complete Phase 34 verifier passes","24","direct","high","proven_complete"
"26","planning","plan identity","authoritative plan to exact equivalence identity","planning/plan_identity.rs; planning/selected_plan.rs","AccessPlanIdentity is issued after budget admission and retains admitted family domain concrete request exact materialization strategy admission intent counters operation-local cost exact budget request budget envelope and selection rule as typed native values","Identity is a read-only native equivalence record rather than digest authority; it is publicly nameable but all fields and issuance remain private","No missing selected-plan equivalence dimension remains for the advertised baseline operations; future operation dimensions must enter the native identity before admission","planning/plan_identity.rs","typed AccessPlanIdentity retaining complete selected-plan equivalence truth without carrying execution authority","budget-admitted selected plan basis -> native exact identity -> identity retained by every operation-specific selected capability","Moved issuance after cost and budget admission; added exact cost and budget posture; exported the read-only type; retained private construction and removed all digest/hash authority","E0451 compile-fail proves external construction impossible; residue requires native source strategy cost request and envelope fields and forbids digest/hash reconstruction","Repeated complete inputs produce equal identity; different concrete requests operations budget envelopes and physical root generations produce unequal identity; selected identity retains exact materialization and complete Phase 34 verifier passes","16;22;24;25","direct","critical","proven_complete"
"27","planning","selected plan issuance","private decision to operation-specific selected capability","planning/decision.rs; planning/selection_issuance.rs; planning/selected_plan.rs","operation wrappers retain one private budget-admitted SelectedAccessPlanBasis and require an operation-specific non-forgeable decision grant at issuance","Decision classification mints distinct B-tree lookup B-tree replay LSM lookup publication replay compaction and degraded grants; issuance cannot inspect projections or convert one grant into another","No generic or sibling relabeling lane remains; the shared basis is composition data and has no public constructor or generic lowering surface","planning/decision.rs; planning/selection_issuance.rs; planning/selected_plan.rs","operation-specific selected capabilities retaining one sealed shared basis plus exact decision-owner grant provenance","private exhaustive operation decision -> exact private-field grant -> matching selected capability -> matching owner facade","Replaced from_unclassified with grant-requiring from_decision issuance and completed all B-tree LSM and degraded owner-facade consumers","Private selected basis and wrapper fields; seven distinct decision grants with decision-private issuance field; residue forbids projection-based issuance and unclassified construction","Ordinary decision matrix emits all selected operations; B-tree lookup and replay LSM lookup publication replay and compaction and degraded scan each enter only their typed owner runtime; compile-fail cross-operation inputs and complete Phase 34 verifier pass","17;22;26","direct","critical","proven_complete"
"28","planning","selection outcome facade","issued selection to caller observation","planning/selection_outcome.rs; layout_degraded_scan_runtime.rs","AccessPlanSelectionOutcome exposes an exhaustive borrowed view and exact typed extraction methods; the degraded owner facade consumes ordinary catalog, security, key, budget, and physical declarations","Exact extraction is permanent production vocabulary; the ordinary degraded owner facade performs family, key-domain, concrete-key, materialization, selection, lowering, readiness, and physical execution without caller-authored intermediate authority","No remaining bypass in this authority edge","planning/selection_outcome.rs plus layout_degraded_scan_runtime.rs","read-only selection view exposing exact next capability","issued operation -> borrowed view or typed extraction -> matching owner facade","Complete","Private outcome fields; compile-fail external construction; residue requires every exact extractor and the complete ordinary facade chain; public request cannot require inaccessible admitted capabilities","External layout scenario executes a degraded scan through the production facade and physical receipt; all runtime-authority compile-fail suites and the full Phase 34 verifier pass","27","direct","high","proven_complete"
"29","operation runtime","B-tree lookup lowering","SelectedBTreeLookup to lowered lookup","access/execution/btree_lookup/lowering.rs; readiness.rs","LoweredBTreeLookup retains the exact selected capability and Forge Proof lowering recipe","B-tree lowering readiness and stale bridge live under the B-tree lookup owner with no generic indexed receipt","none; facade methods route to the owner-local issuer only","access/execution/btree_lookup/lowering.rs","LoweredBTreeLookup retaining selected capability materialization and lowering authority","selected B-tree lookup -> owner-local lowering recipe -> lowered lookup","Completed: generic indexed lowering bridge and selected-indexed fallback are removed","Owner-scoped issuer; private recipe aliases; compile-fail sibling operation substitutions; residue rejects generic indexed lane","Progression tests preserve exact request plan budget and materialization through current and stale paths; full verifier passes","27","direct","critical","proven_complete"
"30","operation runtime","B-tree readiness","lowered lookup to ready or stale owner outcome","access/execution/btree_lookup/readiness.rs; materialization/freshness.rs; materialization/admission.rs; strategy/btree/execution/read_source.rs","Owner-issued lowered B-tree lookup and exact B-tree source frontier retain the replay artifact's physical Store identity","Readiness compares complete source identity; lookup materialization first requires the source Store authority to equal the admitted family authority; replay reopens under the artifact's own Store identity","No remaining bypass in this authority edge","access/execution/btree_lookup/readiness.rs","BTreeLookupReadiness owner outcome retaining current or stale materialization case","lowered lookup + exact Store-bound B-tree source frontier -> materialization authority and freshness validation -> owner-issued readiness outcome","Complete","Private cases; exact case coverage; no generic readiness constructor; residue requires Store identity retention, exact-source comparison, and source-specific materialization admission","Current and stale cases have exact observed equality; an equal-coordinate B-tree source from another Store is denied with BTreeSourceStoreAuthorityMismatch before readiness; full Phase 34 verifier passes","13;29","direct","critical","proven_complete"
"31","operation runtime","B-tree physical traversal","ready lookup to traversal evidence","strategy/btree/execution/read_source.rs; strategy/btree/execution/witness.rs; physical-isolation/root_protocol/root_kinds.rs","B-tree traversal source and stable physical read plan both retain exact Store authority identity in addition to root and child coordinates","Stable execution consumes ready authority, rejects a stable plan from another Store even when every physical coordinate and generation is equal, and emits explicit Found or Absent owner cases only after protected reads","No remaining bypass in this authority edge","strategy/btree/execution/","BTree traversal execution bound to ready request, admitted replay source, Store-bound stable plan, and exact counters","ready lookup -> Store-bound stable physical reads -> search path -> traversal evidence","Complete","Physical isolation entry and current root retain Store authority identity; B-tree preflight compares plan and replay-source identities; compile-fail raw source construction; residue gate; exact path counters","Ordinary found and absent cases equal owner inventory; equal-coordinate foreign stable plan is denied with StoreAuthorityMismatch; correctly protected foreign source is separately denied by layout materialization; full Phase 34 verifier passes","30","direct","high","proven_complete"
"32","operation runtime","B-tree semantic result","traversal evidence to found or absent result","strategy/btree/execution/outcome.rs","private Found and Absent semantic cases with public read-only view and case identity","Found retains exact traversal counters and identity; absence retains plan request probe leaf and current materialization; both are aggregated into courtroom topology","Physical corruption remains a typed execution denial outside the semantic success inventory as intended","strategy/btree/execution/outcome.rs","StableBTreeLookupExecution with owner-issued found or absent cases","traversal evidence -> semantic classification -> opaque owner execution","Keep corruption as denial and preserve exact case identity through courtroom observation","Exact private case coverage and compile-fail absence construction","Ordinary found and absent executions have exact declared-versus-observed equality","15;31","direct","critical","proven_complete"
"33","operation runtime","degraded lowering","SelectedDegradedExactScan to lowered scan","access/execution/degraded_scan/lowering.rs; readiness.rs; readmission.rs","LoweredDegradedExactScan retains the exact selected operation through an owner-local Forge Proof recipe","Degraded lowering readiness stale posture and readmission are owned by the degraded-scan module with no shared lowering receipt","none; shape declarations carry no coverage authority and indexed operations cannot enter this owner","access/execution/degraded_scan/lowering.rs","LoweredDegradedExactScan retaining admitted degraded materialization posture and budget","selected degraded scan -> owner-local lowering -> lowered scan","Completed: broad lowering receipt generic selected bridge and generic rebind lane are removed","Private issuer; operation-specific types; compile-fail indexed substitution and removed rebind; shape coverage residue gate","Progression tests prove current stale readmission and executed paths retain exact selection and materialization; full verifier passes","16;27","direct","critical","proven_complete"
"34","operation runtime","degraded readiness and readmission","lowered scan to ready stale rebind","access/execution/degraded_scan/readiness.rs; readmission.rs; denial.rs","operation-specific stale rebind ready readmission and denial capabilities retain exact materialization and DegradedScanLoweringBasis","Readiness classifies the selected source-bound materialization against a physical frontier and issues ready, stale, or typed denial; readmission binds exact coverage, security authority, and Store authority","None on the Phase 34 degraded readiness and readmission edge","access/degraded_scan/readiness.rs and readmission.rs","operation-specific stale rebind and ready capabilities retaining exact materialization","lowered scan -> freshness classification -> stale/rebind/current; stale + new admitted materialization -> readmission","Completed frontier and cross-source hostile matrices","Private cases; compile-fail copied freshness and cross-source readmission; architecture residue requires exact source authority checks","Current readiness, advanced-frontier stale progression, foreign-Store substitution, equal-family different-source substitution, and full Phase 34 verification pass","13;33","direct","critical","proven_complete"
