"id","domain","operation_edge","current_owner","current_surface","current_authority_shape","current_gap","target_owner","target_surface","target_authority_shape","required_change","proof_gate","depends_on","priority","status"
"11","planning","candidate set to selected B-tree root publication","layout-indexes/planning","SelectedBTreeRootPublication","private exact operation capability","Selection exists but physical demand is not fully bound end to end","layout-indexes/planning","SelectedBTreeRootPublication renamed permanently","opaque selected publication carrying exact root mutation intent","Bind selected publication to physical-format admission without scalar reconstruction","Compile-fail lookup replay and raw append shape cannot publish","9","critical","partial"
"12","planning","candidate set to selected B-tree replay recovery","layout-indexes/planning","SelectedBTreeReplayRecovery","private exact operation capability","Selection exists but recovery source ownership is not connected","layout-indexes/planning","SelectedBTreeReplayRecovery renamed permanently","opaque selected replay intent paired later with WAL and manifest authority","Connect only to recovery-owned admitted replay source","Compile-fail publication or copied generation cannot replay","9","critical","partial"
"13","planning","candidate set to selected LSM lookup","layout-indexes/planning","SelectedLsmLookup","private exact operation capability consumed inside LayoutReadRuntime","Ordinary persisted-WAL adoption is proven; milestone naming remains until permanent topology cutover","layout-indexes/planning","SelectedLsmLookup renamed permanently","opaque selected LSM lookup retaining request and plan lineage","Retain exact issuance and rename with the permanent LSM read topology","Compile-fail B-tree or generic indexed capability cannot enter LSM admission; courtroom traverses concrete selection","9","critical","mostly_sound"
"14","planning","candidate set to selected LSM publication","layout-indexes/planning plus layout_lsm_maintenance","SelectedLsmRunPublication -> BaselineLsmRunPublicationAdmission","private exact operation capability retaining request budget lifecycle and plan lineage","Exact selection and pre-execution admission now gate the combined executor; WAL and manifest owners still do not issue the final publication authority","layout-indexes/planning then WAL-owned publication admission","SelectedLsmRunPublication -> AdmittedLsmRunPublication","selection chooses the exact operation; WAL publication owner alone admits and executes it","Move final publication issuance to WAL and manifest owners; remove generic indexed fallback and the combined layout-owned execution result","Compile-fail admission fields are private; runtime different canonical WAL identity is denied before execution","9;17;37;38","critical","partial"
"15","planning","candidate set to selected LSM replay","layout-indexes/planning plus layout_lsm_maintenance","SelectedLsmReplayRecovery -> BaselineLsmReplayAdmission","private exact operation capability retaining request exact coverage budget lifecycle and plan lineage","Exact selection and pre-execution admission now gate replay observation; recovery-physics still does not issue the durable replay source","layout-indexes/planning then recovery-physics","SelectedLsmReplayRecovery -> AdmittedLsmReplaySource","selection chooses replay intent; recovery owner binds authoritative checkpoint manifest and WAL precedence","Move durable replay source issuance to recovery-physics; remove witness-local replay truth and generic indexed fallback","Compile-fail admission fields are private; runtime different canonical WAL identity is denied before execution","9;17;37;39","critical","partial"
"16","planning","candidate set to selected LSM compaction","layout-indexes/planning plus layout_lsm_maintenance plus strategy/lsm","SelectedLsmCompaction -> BaselineLsmCompactionAdmission -> canonical LSM key -> persisted compaction plan","exact selected capability and maintenance budget now precede key admission and persisted lowering","Selection admission and canonical-key continuity are proven; protected ranges physical mutation identity and physical-isolation outcome remain unbound","layout-indexes planning then physical-isolation compaction owner","SelectedLsmCompaction -> AdmittedLsmCompaction -> physical compaction plan","selection carries intent and canonical key; physical isolation owns cutover publication visibility and reclaim cases","Carry the admission through durable inputs; bind protected ranges and physical mutation authority; delete generic fallback","Compile-fail lookup cannot enter compaction admission; admissions are private; runtime Store-scoped exact selection is required before key and plan lowering","9;17;19;37;40;41","critical","partial"
"17","planning","candidate set to residual indexed operations","layout-indexes/planning","SelectedIndexedAccessPlan","generic exact-looking wrapper","Fallback hides unsupported or not-yet-split operations and can be reconstructed by tests","no production owner","explicit unsupported selection denial or exact new operation types","every supported operation has its own capability; unsupported shapes are denied","Classify every remaining fallback case then split or deny; delete generic type","Exact inventory equality; residue check forbids SelectedIndexedAccessPlan","10;11;12;13;14;15;16","critical","missing_inventory"
"18","budgeting","resource declaration to generic grant","forge-store-budgets/pre_execution","S8PreExecutionBudgetAdmissionReceipt","opaque generic resource evidence","Sound capacity evidence is obscured by milestone naming and broad exports","forge-store-budgets/pre_execution","PreExecutionBudgetGrant","generic resource capability explicitly unable to authorize operations","Rename permanent vocabulary and narrow exports","Compile-fail grant alone cannot lower execute publish replay or compact","none","medium","mostly_sound"
"19","budgeting","selected operation to admitted work budget","forge-store-budgets/layout_plan","LayoutPlanWork; AdmittedLayoutPlanBudget","caller-authored work paired with selection after fact","Caller can describe work independently of the operation owner","operation owner plus forge-store-budgets","owner-issued demand admitted by budget owner","selected operation issues opaque typed demand; budget owner returns capacity bound to that demand","Replace public work constructors with owner-issued operation demand","Compile-fail copied cost counters cannot create demand or grant","10;11;12;13;14;15;16;18","critical","partial"
"20","physical admission","generic grant to root publication readiness","physical-format/facade","PlatformPhysicalRootPublicationReady","private physical capability from scalar parameters plus grant","Selected operation identity is not fully retained","physical-format/root_publication","admit selected publication demand","physical readiness bound to owner-issued publication demand and exact storage generation","Replace scalar request inputs with selected-operation demand adapter","Runtime identity equality; compile-fail generic grant and copied ids cannot publish","11;19","critical","partial"
"21","physical admission","generic grant to degraded scan readiness","physical-format/facade","PlatformPhysicalDegradedExactScanReady","private physical capability from scalar work inputs","Request identity and row/page/byte units are not fully typed end to end","physical-format/degraded_scan","admit selected scan demand","physical readiness bound to typed work units and exact request","Introduce row page byte and extent units; consume owner demand","Unit confusion compile-fail; hostile overflow and zero-work cases","19;27","critical","partial"
"22","indexed lookup","selected B-tree lookup to lowered lookup","layout-indexes/access/execution/indexed","LoweredIndexedAccess","owner-local Forge Proof recipe","Operation is structurally sound but names topology and compatibility wrappers remain broad","layout-indexes/indexed_read","lower selected B-tree lookup","opaque lowered lookup with exact recipe evidence","Rename permanent topology and remove broad outcome wrappers","Compile-fail direct construction and sibling entry; runtime lineage equality","10;19","critical","mostly_sound"
"23","indexed lookup","lowered lookup to execution readiness","layout-indexes/access/execution/indexed","IndexedExecutionReady","owner-issued readiness capability","Readiness is exact but old deferred readmission and wrapper vocabulary remains nearby","layout-indexes/indexed_read","admit execution readiness","opaque ready lookup; only semantically reachable cases represented","Delete impossible stale cases and shared compatibility outcomes","Exact decision table; compile-fail payload or prior witness cannot construct readiness","22","critical","partial"
"24","degraded scan","selected scan to lowered scan","layout-indexes/access/execution/degraded_scan","LoweredDegradedExactScan","owner-local Forge Proof recipe","Test-only shared-plan reconstruction and untyped work demand remain","layout-indexes/degraded_scan","lower selected degraded scan","opaque lowered scan binding typed demand request and basis","Delete reconstruction bridge and introduce typed demand","Compile-fail indexed sibling and copied counters cannot lower","17;19","critical","partial"
"25","degraded scan","lowered scan to ready stale or rebind","layout-indexes/access/execution/degraded_scan","DegradedScanReady; StaleDegradedExactScan; RebindRequiredDegradedExactScan","owner-issued exact readiness family","Cases are sound but compatibility outcomes and full case inventory remain","layout-indexes/degraded_scan","classify readiness","private case enum with public read-only view and owner-issued next capabilities","Generate exact case inventory and delete compatibility wrappers","Runtime exact case equality; compile-fail case payload cannot promote","24","critical","partial"
"26","degraded scan","stale scan to readmitted scan","layout-indexes/access/execution/degraded_scan plus facade/readmission","DegradedScanReadmission; DegradedScanRebindAdmission; exact admitted family and key-domain comparison","owner-local readmission rejects copied family labels raw domain labels cross-security family substitution and any nonidentical admitted domain law suite","Generic freshness authority factories broad facade topology and incomplete hostile authority scenarios remain","layout-indexes/degraded_scan","readmit stale scan","opaque readmission requiring current exact coverage original stale capability and same admitted family and domain authority","Move remaining generic freshness issuance into the degraded owner and add direct hostile authority scenarios","Hostile mismatched request basis owner family authority admitted domain and coverage cases plus ordinary execution","25","critical","family_and_domain_continuity_proven_generic_freshness_partial"
"27","degraded scan","ready scan to physical execution","layout-indexes degraded runtime plus physical-format facade","DegradedScanExecution retaining PlatformPhysicalDegradedExecutionObservation","physical owner observation projected by layout owner","Production source is sound but scalar row admission and typed units remain","physical-format/degraded_scan then layout-indexes/degraded_scan","execute admitted scan then project result","physical owner alone performs work; layout owner creates semantic projection","Bind exact selected demand and typed work units into physical readiness","Runtime ordinary execution; compile-fail nonphysical execute and generic counter admission","21;25","critical","mostly_sound"
"28","B-tree lookup","ready lookup to lookup admission","layout-indexes/strategy/btree/execution plus layout_read_runtime","BaselineBTreeLookupAdmission issued only from IndexedExecutionReady","ordinary PageLookupRequest performs concrete planning lowering and readiness internally","Exact admission and ordinary point adoption are proven; permanent topology naming remains","layout-indexes/btree_read","admit B-tree lookup","opaque B-tree lookup capability retaining exact request plan and physical demand","Move the proven chain into permanent btree_read topology and retain private issuance","Compile-fail root publication replay LSM copied fingerprint and direct request construction cannot admit","23","critical","mostly_sound"
"29","B-tree lookup","lookup admission to physical page traversal","layout-indexes BTreeLookupRuntime plus physical-format and physical-isolation APIs","BaselineBTreeReadPreflight -> StablePhysicalReadPlan -> single-use BaselineBTreeReadSource -> StableBTreeLookupExecution","preflight derives exact root and two-child identities; recovery authority publishes and revalidates the complete footprint; execution releases it and retains matching compaction ranges","Stable-read and overlapping-compaction capability is complete; permanent btree_read topology and removal of transitional witness naming remain","physical-format/page_read plus physical-isolation/read plan","preflight root -> derive bounded root and child footprint -> publish hazard -> reobserve epochs -> issue B-tree read source -> execute","source carries an execution-ready stable-read plan whose protected footprint includes root and candidate children before byte traversal","Move the proven protocol into permanent btree_read topology and preserve single-use source semantics","Incomplete footprint cannot issue source; stale generation denies; exact receipt and ranges defer overlapping compaction reclaim; compile-fail raw source cannot construct","28","critical","mostly_sound"
"30","B-tree lookup","physical observations to semantic lookup result","layout-indexes/strategy/btree/execution plus layout_read_runtime","StableBTreeLookupExecution contains semantic lookup exact counters stable-read release and matching protected range set","ordinary point range and prefix results preserve request binding shape branch separator reference counters and physical isolation evidence","Semantic and compaction result matrix is proven; permanent topology and milestone vocabulary remain","layout-indexes/btree_read","project physical traversal result","opaque semantic lookup result preserving physical observation request lineage and stable-read evidence","Move the proven result family into permanent btree_read topology","Runtime point range prefix absent corrupt stale-root incomplete-footprint and concurrent-compaction matrix","29","critical","mostly_sound"
"31","B-tree publication","selected publication to publication admission","layout-indexes/strategy/btree/execution","BaselineBTreeRootPublicationAdmission","exact selected-operation admission","Exact admission exists but physical demand binding is incomplete","layout-indexes/btree_publication","admit selected root publication","opaque publication operation passed to physical owner","Bind owner demand budget WAL and manifest prerequisites","Compile-fail lookup replay and copied root ids cannot admit","11;19","critical","partial"
"32","B-tree publication","admitted publication to persisted root observation","physical-format/facade/root_publication","execute_admitted_root_publication; PlatformPhysicalRootPublicationReport","physical-format performs persisted mutation","Strong physical operation exists but parallel layout counters and incomplete selected lineage remain","physical-format/root_publication","execute publication capability","sealed physical publication observation carrying persisted generation and source identities","Consume selected-demand-bound readiness and remove parallel counter construction","Crash matrix around data WAL manifest and root ordering; copied report cannot authorize replay","20;31","critical","partial"
"33","B-tree replay","selected replay to admitted recovery source","recovery-physics/btree_replay plus source_precedence plus physical-format facade","BaselineBTreeReplayAdmission -> AdmittedBTreeReplaySource<BaselineBTreeReplayAdmission> retaining AdmittedRecoverySource PhysicalStoreIdentity and BTreeReplayRootAgreement","Recovery owns the private-field source capability; checkpoint admission retains the exact logical-root PhysicalReference; root agreement binds checkpoint identity exact root generation and slot checkpoint coverage and contiguous WAL tail; physical reopen checks Store identity and manifest membership","Checkpoint-root and frontier agreement are now structural; explicit courtroom cases for torn checkpoint publication and recovery-blocked source posture remain to complete the crash matrix","recovery-physics plus physical-format; layout-indexes consumes","admit B-tree replay source","recovery owner issues replay capability bound to selected operation Store identity physical artifact exact logical root durable checkpoint publication and contiguous WAL tail","Keep WAL-only denied until ordinary WAL replay materializes a root capability; add torn-publication and recovery-blocked courtroom cases without test-only source issuance","Hostile truncated WAL stale checkpoint partial publication generation rollback source disagreement wrong Store and recovery-blocked posture","12","critical","root_frontier_agreement_proven_crash_matrix_partial"
"34","B-tree replay","admitted source to recovered B-tree state","layout-indexes/layout_btree_recovery and strategy/btree/execution/replay_runtime","BTreeReplayRequest -> selected replay admission -> recovery-owned source with BTreeReplayRootAgreement -> BTreeReplayRuntime -> BaselineBTreeReplayRecoveryExecution retaining canonical recovery-source digest","Ordinary facade performs selection and recovery admission; physical reopen checks Store identity and exact current record membership; layout validates B-tree root and leaves; witness replay method is removed; generic source intent and WAL-only unmaterialized roots cannot enter execution","Seven courtroom cases now cover success stale physical root wrong security wrong Store absent durable source copied checkpoint-root generation and WAL-only root borrowing; torn-publication and recovery-blocked cases remain","recovery-physics plus physical-format then layout-indexes/btree_replay","execute admitted replay and project B-tree state","physical recovery performs bytes under Store-bound artifact authority; recovery owns source agreement; layout owner validates B-tree semantics and projects state","Complete torn-publication and recovery-blocked cases through ordinary source discovery; preserve exact denial matching and sealed source construction","Runtime recovery scenarios through production facade; exact source digest retained; test support cannot issue source agreement artifact or execution outcome","33","critical","ordinary_operation_proven_hostile_matrix_partial"
"35","LSM lookup","selected lookup to lookup admission","layout-indexes/strategy/lsm/execution","BaselineLsmLookupAdmission","private admission retains SelectedLsmLookup directly","The authority projection defect is removed; permanent naming and ordinary runtime adoption remain","layout-indexes/lsm_read","admit selected LSM lookup","opaque admission retains the complete owner-issued selection","Rename permanent vocabulary when the LSM vertical slice moves to final topology","Compile-fail copied fingerprint and request identity cannot admit; runtime admission retains exact selection","13","critical","mostly_sound"
"36","LSM lookup","admission plus durable state to visibility result","layout-indexes/strategy/lsm plus layout_read_runtime","LsmLookupRuntime; BaselineLsmLookupSource issued by executed durable membership","ordinary facade derives concrete-key selection internally and executes newest older and tombstone-blocked cases from probe input","Persisted-WAL success and security-scope hostility are proven; duplicate sequence malformed run and permanent WAL/manifest adapters remain","layout-indexes/lsm_read with WAL/manifest adapters","execute lookup against admitted durable run set","LSM owner classifies newest visible version from owner-admitted run membership and snapshot sequence","Replace transitional execution-witness source issuance with permanent WAL and manifest owner adapters and complete malformed-membership hostility","Latest older tombstone duplicate sequence and malformed run hostility matrix","35;37","critical","partial"
"37","LSM durable state","WAL append receipts to durable component membership","forge-store-lsm-authority/membership","LsmMembershipKey; LsmMembershipRecord; LsmMembershipSession; LsmCompactionMembership; PublishedLsmMembershipReplacement","The LSM authority crate owns private-field membership state selection atomic replacement and published-base ancestry above WAL durability; WAL no longer exports semantic membership","No ownership or repeated-membership gap remains at this edge; broader physical execution and recovery precedence remain separate rows","forge-store-lsm-authority/membership","durable LSM membership owner","only LSM-authority-admitted WAL records enter a store-bound membership session; selection is opaque version-bound ancestry-bound and replacement commit requires exact physical publication","Keep WAL as durability substrate and keep semantic membership replacement inside the cross-owner LSM authority","Compile-fail external crates cannot construct keys records sessions compaction membership or replacement capabilities; crash/reopen proves identical replacement decisions; a two-generation ordinary fixture proves selected base identity and reopened second output","32;38;61;62;63","critical","owner_extracted_repeated_membership_proven"
"38","LSM publication","prepared compaction plus selected publication to manifest-visible membership","forge-store-lsm-authority plus layout-indexes/lsm_publication plus physical-isolation","InterlockedLsmCompaction plus BaselineLsmRunPublicationAdmission plus AdmittedLsmMembershipReplacement -> PublishedLsmCompaction carrying PublishedLsmMembershipReplacement","Publication requires semantic selection exact physical intent opaque matching rewrite publication durable output exact manifest and atomic membership replacement before lookup authority returns","No row-38 cross-owner capability or crash-cutover gap remains; output durability physical rewrite manifest binding and atomic replacement are independently mandatory","forge-store-lsm-authority plus layout-indexes/lsm_publication plus physical-isolation","publish selected LSM component","layout issues semantic demand; physical isolation proves the exact rewrite; WAL proves durability; LSM authority alone joins these into visible replacement","Keep the exact replacement and physical proof mandatory while completing the cross-owner crash matrix","Compile-fail output cannot admit without durable receipt and physical intent; replacement cannot bind without manifest; commit cannot run without physical publication; wrong physical is denied; every append byte yields exactly old or new authority","14;19;37;61;64","critical","cross_owner_capability_crash_matrix_proven"
"39","LSM replay","durable membership plus recovery precedence to visible replay state","forge-store-lsm-authority/replay_source plus layout-indexes/strategy/lsm/replay_runtime","SelectedLsmReplayRecovery -> BaselineLsmReplayAdmission plus AdmittedLsmReplaySource -> LsmReplayRuntime","LSM authority owns a private-field replay source bound to exact membership checkpoint coverage and exact replacement manifest digest; layout only executes the admitted source","No row-39 owner or precedence gap remains; source admission is exact-digest and partial-publication aware and execution consumes only the owner-derived plan","forge-store-lsm-authority/replay_source then layout-indexes/lsm_replay","admit and execute LSM recovery source","recovery owner binds store authority checkpoint posture WAL frontier membership version exact component identities and source precedence into one sealed source; layout only applies LSM semantic projection","Extend the admitted source across incomplete checkpoint and partial-publication classifications; preserve the independent replay facade","Duplicate sequence torn tail stale checkpoint incomplete namespace source disagreement wrong store wrong key retired membership and copied-record hostility; compile-fail layout cannot construct source","15;37;63;65;66","critical","owner_extracted_precedence_matrix_proven"
"40","LSM compaction","selected compaction to physical mutation plan","layout-indexes/lsm_compaction plus physical-isolation/compaction_interlock","SelectedLsmCompaction -> LsmCompactionPlan -> LsmPhysicalCompactionIntent owning CompactionReadInterlockPlan -> PreparedLsmCompaction","Exact semantic selection WAL membership and the actual physical interlock plan are retained; raw epoch binding is removed","Exact and wrong-root physical rewrites plus concurrent reader cutover are traversed through the semantic facade; broader production-facade adoption and the remaining physical denial matrix remain","layout-indexes/lsm_compaction plus physical-isolation","lower selected compaction into admitted interlock demand","opaque compaction plan binds input runs output generation canonical key budget protected range set and stability basis","Preserve the exact-plan binding and migrate remaining callers away from lower-level construction","Runtime wrong selected key plan or physical rewrite is denied; compile-fail copied generations ranges epochs counters or sibling selections cannot lower","16;19;37","critical","physical_owner_boundary_and_reader_cutover_proven_adoption_partial"
"41","LSM compaction","physical mutation plan to publication and reclaim","physical-isolation/compaction_interlock plus layout-indexes/lsm_physical_compaction","CompactionRewritePublication -> InterlockedLsmCompaction -> PublishedLsmCompaction retaining physical proof; owner-local publication/reclaim cases -> aggregation-only physical inventory","Semantic publication requires the physical owner publication; publication deferred reclaim drain and every mutation denial expose private-identity owner cases","Physical owner case inventory exact layout projection and successful concurrent-reader traversal are proven; deferred reclaim drain and remaining mutation denials still need semantic-facade courtroom traversal","physical-isolation owns mutation; layout-indexes projects","execute interlocked compaction","sealed physical owner outcomes for every denial deferred publication and reclaim case","Extend courtroom coverage across publication deferred reclaim drain and mutation denials through the semantic facade","Exact physical-to-layout bijection and every mutation-lane denial runtime case","40","critical","physical_case_inventory_and_reader_cutover_proven_denial_adoption_partial"
"42","transition topology","operation outcome to owner-family contract","layout-indexes production transition surfaces plus migrated physical compaction owners","Physical compaction now aggregates owner-local cases; remaining layout outcome families still lack the common mechanism","physical compaction inventory is executable projection; other families remain mixed","The physical catalog and two impossible advertised cases are gone; the same vertical migration remains for layout owner families","each operation owner","sealed owner-family inventory generated from actual outcome cases","inventory is projection of executable cases rather than source of law","Migrate remaining operation families and delete any surviving static authoring arrays","Exact set equality between ordinary emitted cases and advertised inventory","22-41","critical","physical_family_proven_remaining_families_missing"
"43","transition topology","owner-family contracts to state-machine inventory","layout-indexes S9 handoff surfaces","machine match required-machine arrays and coarse contracts","aggregation authors topology","Manual aggregation can add omit merge or split operation cases and loses case distinctions","layout-indexes aggregation-only topology module","aggregate sealed owner-family contracts","cold inventory cannot add omit merge or split owner cases","Replace manual machine match and required arrays with one canonical aggregation declaration","Bijection and unique case identity across all families","42","critical","needs_restructure"
"44","execution evidence","owner result to common observation","layout-indexes/access/execution","ExecutedAccessReceipt and S8ExecutedEvidenceOutcome","broad authoritative receipt spanning indexed and degraded","Owner identity and operation semantics are erased before projection","layout-indexes/projections","ReadExecutionObservation enum or trait projection","non-authoritative view borrows distinct owner results and cannot authorize next operations","Replace receipt consumers then delete broad receipt and outcomes","Compile-fail projection cannot satisfy owner capability; residue check old receipt absent","27;30;36;38;39;41","critical","mixed_cutover"
"45","counters","operation outcome to exact counter evidence","layout-indexes shared counters plus owner counters","S8ExecutedCounterWitness and family counter types","some counters attached after branch or reconstructed generically","Counters can decorate a decision instead of proving which owner case occurred","each operation owner","counter receipt embedded in issued outcome","counter identity and values are generated with the exact case and exposed as projection","Delete generic counter admission and require owner result for projection","Exact counter matrix per case; copied rows cannot construct outcome","27;30;36;38;39;41","high","partial"
"46","ordinary orchestration","admitted user request to selected owner execution","layout-indexes/layout_read_runtime and layout_lsm_maintenance","WalLookupRequest PageLookupRequest and LsmCompactionAdmissionRequest -> internal concrete planning -> owner capabilities","WAL lookup stable B-tree lookup and LSM compaction admission now enter through narrow production facades; compaction uses Store security exact WAL identity and maintenance budget","Degraded publication replay physical compaction mutation consumers and other non-read operations still lack complete ordinary entry points","a narrow upper runtime crate or forge-store facade","read and maintenance runtime facades","facade composes owners but issues no lower authority and performs no semantic reclassification","Continue operation-specific requests and carry compaction through physical isolation; do not grow a generic authority bag","End-to-end tests import only ordinary facade plus raw host inputs; hostile tenant scope is denied; no broad planning exports are added","4-45","critical","partial"
"47","consumer demand","maintenance demand to ordinary operation","forge-store-maintenance/layout_projection","AccessShape projections","declaration-only projection","Projection can look like execution support and never enters admitted request path","forge-store-maintenance then ordinary runtime facade","typed maintenance operation request","maintenance owner declares intent; runtime admits and executes through normal graph","Inventory each projection and wire supported operations or label diagnostic only","Integration tests for rebuild scrub and bounded scan through ordinary facade","46","high","needs_inventory"
"48","consumer demand","tiering demand to ordinary operation","forge-store-tiering/layout_projection","AccessShape projections","declaration-only projection","Recall and placement shapes do not prove executable layout access","forge-store-tiering then ordinary runtime facade","typed tier operation request","tiering owns policy; layout runtime owns physical access","Wire supported recall scans and deny unsupported shapes explicitly","Integration tests for cold recall placement and amplification paths","46","high","needs_inventory"
