"id","subsystem","stage","current_owner","current_surface","current_state","target_owner","target_surface","required_change","mechanical_gate","order","severity","status"
"11","Planning","Plan identity","layout-indexes/access/planning","S8PlanFingerprint","Fingerprint carries meaningful basis but participates in scalar plan-binding seams.","layout-indexes/planning/identity","AccessPlanIdentity projection","Attach identity to selected capability; never accept fingerprint alone as execution authority.","Fingerprint cannot bind execution; collision and cross-request tests pass.","11","critical","partial"
"12","Budgeting","Resource admission","forge-store-budgets/pre_execution","S8PreExecutionBudgetAdmissionReceipt","Generic resource admission is useful but is not operation authority.","forge-store-budgets/pre_execution","PreExecutionResourceGrant","Preserve it as an opaque resource grant and require an owner operation for narrowing.","A generic grant cannot enter a physical operation alone.","12","high","mostly_sound"
"13","Budgeting","Layout work admission","forge-store-budgets/layout_plan","AdmittedLayoutPlanBudget","Exact work admission accepts caller-authored LayoutPlanWork and is detached from selected operation.","forge-store-budgets/layout_plan","AdmittedOperationBudget","Consume owner-issued cost demand derived from selected operation and bind exact operation identity.","Arbitrary LayoutPlanWork cannot bind a selected operation.","13","critical","partial"
"14","Budgeting","Execution narrowing","forge-store-budgets/pre_execution plus physical-format operation admission","Generic resource grant; PlatformPhysicalRootPublicationReady; PlatformPhysicalDegradedExactScanReady","Budget no longer exports operation readiness. Physical-format now validates scope, payload bytes, row bounds, and issues private-field operation capabilities; selected-operation binding above the physical owner remains incomplete.","physical-format operation admission plus layout owner","Operation-bound physical readiness combined with selected layout operation","Retain lower physical admission and bind its observation to the sealed selected layout operation without reintroducing budget-owned operation authority.","Generic grant cannot execute directly; physical owner denial tests pass; layout selected-operation substitution still needs compile-fail proof.","14","critical","partial"
"15","Owner split","Selected operation","layout-indexes/planning","SelectedIndexedAccessPlan; SelectedDegradedExactScan","Selection now issues distinct private-field payloads in permanent vocabulary. A named internal into_shared_lowering_bridge remains because lowering still consumes the displaced shared plan.","layout-indexes indexed/degraded owners","Distinct selected payloads carried directly into owner lowering","Delete the internal shared-lowering bridge as rows 16-17 land; never expose or reconstruct a common authority payload.","External construction and removed milestone names fail compile; residue scan must reach zero shared-lowering bridges.","15","critical","active_repair"
"16","Indexed path","Lowering","layout-indexes/access/execution/indexed","LoweredIndexedAccess with owner-local Forge Proof recipe","Indexed lowering now consumes SelectedIndexedAccessPlan directly and no longer constructs a shared lowered or readiness receipt. Permanent naming and directory placement still need final cutover.","layout-indexes/indexed_read/lowering","LoweredIndexedRead","Move the working owner-local implementation into permanent topology and remove its compatibility wrapper outcome.","No shared lowered receipt in indexed production; reciprocal owner substitution fixtures pass.","16","critical","mostly_sound"
"17","Degraded path","Lowering","layout-indexes/access/execution/degraded_scan","LoweredDegradedExactScan with owner-local Forge Proof recipe","Degraded lowering now consumes SelectedDegradedExactScan directly and preserves an independent basis; test-only selection compatibility still reconstructs the old shared plan.","layout-indexes/degraded_scan/lowering","LoweredDegradedExactScan","Retain the owner-local implementation, add typed logical-row and physical-work demand, and remove the test compatibility bridge.","Indexed input and caller construction fail to compile; bridge residue reaches zero.","17","critical","partial"
"18","Indexed path","Readiness","layout-indexes/access/execution/indexed","IndexedExecutionReady; StaleIndexedAccess; RebindRequiredIndexedAccess","Ready, stale, and rebind cases are owner-local and indexed execution consumes the recipe directly. Deferred classification and readmission remain attached to shared milestone vocabulary.","layout-indexes/indexed_read/readiness","IndexedReadinessOutcome","Move deferred and readmission cases into permanent indexed vocabulary and generate the exact case matrix.","Sibling issuance and construction fail; exact owner-case matrix still required.","18","critical","partial"
"19","Degraded path","Readiness","layout-indexes/access/execution/degraded_scan","DegradedScanReady; StaleDegradedExactScan; RebindRequiredDegradedExactScan","All readiness payloads are owner-local and preserve SelectedDegradedExactScan identity. Owner-local readmission and exact case coverage remain incomplete.","layout-indexes/degraded_scan/readiness","DegradedScanReadinessOutcome","Add owner-local stale/rebind admission transitions and exact case inventory.","Indexed/degraded selection and ready-capability substitution fail; readmission matrix remains.","19","critical","partial"
"20","Readmission","Stale and rebind","layout-indexes indexed/degraded owner modules plus legacy facade","DegradedScanReadmission; DegradedScanRebindAdmission; IndexedRebindAdmission; legacy shared witnesses","Production owner-local transitions now bind exact predecessor basis, lifecycle, domain, coverage, and request identity. Indexed stale was deliberately removed as unreachable; the legacy broad facade remains for test compatibility and indexed operation splitting is incomplete.","owner-local operation readmission","OperationSpecificReadmission","Retain degraded stale/rebind and operation-specific indexed rebind, split the broad indexed operation family, migrate tests, then delete shared freshness witnesses and facade.","Cross-owner admission substitution fails; degraded runtime readmission preserves request identity; crash/reopen and exact operation matrices remain.","20","critical","partial"
"21","Indexed execution","Counter admission","layout-indexes/access/execution/facade","Generic S8ExecutedCounterWitness","Shared ready receipt and generic trait are used; only three B-tree execution types have production implementations.","permanent indexed operation owners","IndexedOperationObservation","Adapt exact physical owner observations directly; remove caller-supplied generic witness from ordinary path.","Declared operation coverage is exact; arbitrary witnesses cannot satisfy sealed admission.","21","critical","partial"
"22","Degraded execution","Counter admission","layout-indexes/degraded_scan plus physical-format facade","DegradedScanExecution retaining PlatformPhysicalDegradedExecutionObservation","The production degraded runtime no longer accepts generic counter witnesses or nonphysical execution. Physical observation is the sole successful execution source; typed row/page/byte envelopes and runtime integration tests remain.","physical-format degraded scan owner","DegradedExactScanObservation","Type logical rows separately from physical pages and bytes, bind exact request identity in physical readiness, and add ordinary runtime scenarios.","Generic counter and nonphysical execute methods are compile-fail absent; copied snapshots cannot mint execution.","22","critical","mostly_sound"
"23","Physical owner","Page read","forge-store-physical-format/facade","Page locate and report surfaces","This is the strongest real owner-observed indexed lane but is not generalized across families.","forge-store-physical-format/page_read","PageReadObservation","Use named admitted page read as the canonical indexed pattern and adapt layout evidence from it.","End-to-end page request reaches owner observation through production facade.","23","medium","mostly_sound"
"24","Physical owner","Root publication","physical-format/facade/execution_observation","execute_admitted_root_publication","Named operation returns counters but readiness contains only a transferable budget envelope.","physical-format/root_publication","RootPublicationObservation","Consume a root-publication capability binding request, plan, epoch, payload, and budget; derive counters solely from observation.","Wrong-operation capability fails; no parallel hard-coded counter witness remains.","24","critical","partial"
"25","Physical owner","Degraded exact scan","physical-format/facade/scan","execute_admitted_degraded_exact_scan","Named operation exists but readiness contains generic envelope and scalar rows; broad scan units can conflate rows and pages.","physical-format/degraded_scan","DegradedExactScanObservation","Consume owner-bound capability with separate row and physical-work envelopes.","Row-vs-page unit tests and cross-request capability denial pass.","25","critical","partial"
"26","LSM owner","Lookup","layout-indexes/strategy/lsm","Invariant proof machinery","Lookup invariants exist but no ordinary physical owner observation closes the chain.","forge-store-wal plus physical index owner","ExecutedLsmLookup","Consume admitted WAL/manifest membership and selected lookup capability; emit sequence, membership, request, and counter evidence.","Ordinary caller exists; tombstone/newest-run matrix passes; warnings are clean.","26","critical","missing_capability"
"27","LSM owner","Run publication","layout-indexes/strategy/lsm","Publication laws and observations","No ordinary WAL/manifest-owned executed publication evidence is adopted.","forge-store-wal/manifest publication","ExecutedLsmRunPublication","Bind publication to store, scope, generation, LSN, run identity, membership, and exact counters.","Copied membership and cross-store publication are denied.","27","critical","missing_capability"
"28","LSM owner","Replay","layout-indexes/strategy/lsm","Recovery invariant machinery","Replay laws exist but are disconnected from permanent-owner execution evidence.","forge-store-wal plus recovery-physics","ExecutedLsmReplay","Consume authoritative WAL/checkpoint inputs and emit sequence, membership, request, and counter evidence.","Crash/reopen converges; copied replay tail is denied.","28","critical","missing_capability"
"29","Execution evidence","Owner result","layout-indexes/access/execution/indexed and degraded_scan","IndexedReadExecution; DegradedScanExecution; legacy ExecutedAccessReceipt on test compatibility path","Production indexed and degraded runtimes now return distinct owner-issued executions. A read-only common projection is missing and the old broad receipt survives for test compatibility.","operation owners with layout projection","IndexedReadExecution; DegradedScanExecution; ExecutedAccessView","Add projection-only common view, migrate tests and callers, then delete ExecutedAccessReceipt and broad executed outcomes.","Projection cannot enter authority APIs; old broad receipt residue is zero; owner cases have exact coverage.","29","critical","partial"
"30","Ordinary orchestration","Read facade","none","No complete production declaration-to-execution entry point","The new concrete chain is primarily used by focused tests; consumers use projections and certification consumes receipts.","existing non-cyclic upper crate or narrow read-runtime crate","PhysicalReadExecution facade","Sequence owner operations without classifying or minting authority; support page, B-tree, LSM, and degraded families.","At least one real caller per supported family; facade contains no policy.","30","critical","missing_capability"
"31","Consumers","Demand projections","maintenance; tiering; blob; operations","AccessShape imports in layout_projection modules","Consumers declare demand but their projections are easy to mistake for admitted execution intent.","respective consumer owners","ReadOnlyAccessDemandProjection","Classify every consumer as declaration-only, projection-only, or real caller; route real callers through read facade.","Call-site inventory is complete; projections cannot execute.","31","high","needs_inventory"
"32","Certification","Courtroom","certification and physical-certification","ExecutedAccessReceipt transcripts and layout harness","Certification consumes broad receipts and historically authored adjacent bindings; some issuer seams were recently removed.","certification courtroom","ExecutedAccessView and sealed owner observations","Execute the ordinary production facade and only compare, replay, diagnose, or report owner evidence.","Certification cannot issue any stage; scenarios use real production facade.","32","critical","partial"
"33","Test support","Fixtures","forge-store-test-support and crate-local tests","tests_support helpers and cfg(test) compatibility paths","Focused tests still validate shared or isolated replacement paths and can preserve displaced topology.","test support as hostile input preparation","Raw declarations, bytes, faults, stores, and schedules only","Delete test-only authority paths after production adoption; obtain every capability through production operations.","No test-only issuers remain; mutation tests expose synthetic helper removal.","33","critical","partial"
"34","Public topology","Exports","layout-indexes/lib.rs and compatibility roots","access_planning; access_execution; access_lowering; S8 exports","Old and new paths coexist; roots expose shared receipts, path kinds, milestone names, and broad facades.","owner-shaped facades","planning; indexed_read; degraded_scan; materialization; projections","Remove migrated compatibility roots and split public exports by owner and truth status.","Removed roots fail compile; milestone vocabulary residue is zero; mod.rs files aggregate only.","34","critical","mixed_cutover"
"35","Adoption evidence","Warnings","layout-indexes and physical-format","Compiler warnings","Recent checks reported about 185 layout-indexes warnings and 12 physical-format warnings; many indicate unused proof machinery and obsolete lanes.","all Phase 34 owners","Warning-clean focused crate set","Classify and resolve every warning as migration residue, missing adoption, or invalid test-only surface.","cargo check with -D warnings passes for the Phase 34 crate set.","35","high","failed_gate"
"36","Verification","Command integrity","automation runner","Semicolon-chained cargo commands","An earlier layout-indexes test failure was masked by a later successful command and zero shell exit.","automation runner","Fail-fast verification bundle","Run commands separately or explicitly fail fast; record each exit independently.","A deliberately failing first command fails the bundle and event.","36","critical","failed_gate"
"37","Architecture proof","Issuance privacy","layout-indexes compile-fail harness","runtime_authority fixtures","Privacy fixtures exist and cargo-based UI execution avoids earlier artifact collisions, but coverage targets isolated paths.","owner modules","Exact boundary compile-fail matrix","Cover external, sibling, certification, projection, copied identity, skipped predecessor, and cross-owner construction for every transition.","Generated operation-stage matrix passes; no E0463 or environmental failure.","37","high","partial"
"38","Runtime proof","All-family execution","layout-indexes and certification tests","Representative B-tree tests and partial degraded execution","No exact equality proof shows every advertised family and equivalence class reaches owner-observed execution.","certification courtroom over real facade","OperationCoverageMatrix","Generate declared operation inventory and compare it exactly with production executions and denials.","declared cases equal observed cases; representative contains assertions are absent.","38","critical","missing_capability"
"39","Migration","Cutover strategy","Phase 34 runner","Repeated horizontal repairs","Repairs seal one bypass while shared stages or ordinary callers retain the old graph.","Phase 34 implementation","Vertical owner slices","Complete one operation end to end through production and proof; generalize substrate; migrate all callers; remove old lane without adapters.","A slice closes only with production caller, hostile tests, warnings, and residue gates.","39","critical","needs_replan"
"40","Target topology","Directory skeleton","layout-indexes/access/execution","Broad mixed execution directory","Shared receipts, outcomes, counters, readiness, physical adapters, tests, and owner wrappers occupy one subsystem.","owner-shaped operation directories","request/admission; planning/selection; indexed/*; degraded_exact_scan/*; post-execution projections","Move code with authority cutover; each operation owns private cases and mod.rs files aggregate only.","Composition/domain review passes; no business logic in mod.rs; directories encode owner and lifecycle.","40","high","needs_restructure"
