"id","layer","subsystem","architecture_edge","current_owner","current_code_surface","current_capability_or_data","current_failure_mode","target_owner","target_code_surface","target_capability","allowed_observers","forbidden_author","required_cutover","mechanical_proof","depends_on","phase34_scope","priority","status"
"11","semantic admission","materialization admission","evidence source to admitted posture","layout-indexes/materialization","materialization/admission.rs","AdmittedLayoutMaterialization plus private CurrentLayoutMaterialization retained through indexed readiness and stable B-tree execution","Ordinary exact B-tree current posture is owner-issued; current-frontier comparison stale posture completeness absence and lower receipts remain","materialization owner","materialization/admission.rs","AdmittedMaterialization retaining family source coverage freshness completeness and absence posture","request admission; execution freshness checks","request planner; certification","Extend the capability with lower-owner evidence and posture then remove coverage from AccessShapeContract","Private-field UI for materialization source basis and current capability; B-tree courtroom retains exact catalog root owner","10","direct","critical","catalog_current_capability_proven_stale_and_posture_partial"
"12","semantic admission","strategy declaration","strategy family to declared strategy","layout-indexes/strategy","strategy/declaration.rs; family.rs; registry","S8LayoutStrategyFamily and declarations","Bare strategy-family enum remains widely reachable near decision logic","strategy owner","strategy/declaration.rs","LayoutStrategyDeclaration with no execution power","registry inventory; diagnostics","planning classifier; operation owners","Keep bare family as descriptive vocabulary only","Compile-fail bare family cannot create selected operation","4","direct","high","partial"
"13","semantic admission","strategy invariants","declared strategy plus laws to admitted strategy","layout-indexes/strategy","strategy/authority_basis.rs; admission.rs; admitted_strategy.rs; invariant_suite.rs; family invariants","S8AdmittedLayoutStrategy retains admitted family/domain authority basis and invariant suite","Planning maintenance rebuild customization and extension consumers require admitted family/domain capabilities; selected operations and fingerprints retain the strategy","Family-specific B-tree/LSM admitted capability names and permanent vocabulary remain","strategy admission owner","strategy/admission.rs plus family submodules","AdmittedBTreeStrategy or AdmittedLsmStrategy retaining admitted domain materialization requirements and exact law suite","planning alternatives; diagnostics","planner; bare registry snapshot","Split family-specific permanent capability names where this clarifies operation ownership","Structural residue rejects raw wrappers legacy basis and raw registry constructors; exact authority-retention runtime tests","7;11;12","direct","critical"
"14","request boundary","request admission","family domain identity intent materialization to request","layout-indexes/planning","planning/access_request.rs","AdmittedPhysicalAccessRequest retains admitted family domain canonical identity optional source-bound materialization and coverage-free AdmittedAccessIntent","Raw shape ends at admission; all downstream planning and execution consume intent and obtain coverage only from admitted materialization; broad Option request and synthetic selector remain","physical access request owner","request/admission.rs","separate admitted read and mutation requests with read request retaining materialization and intent separately","single canonical planner","raw callers; scope-only test selector; operation owners","Split read and mutation request families and delete synthetic selector","Hostile family domain authority foreign materialization coverage substitution plus private request materialization and intent UI tests","5;7;8;9;11","direct","critical","intent_materialization_separation_proven_request_split_partial"
"15","planning","candidate evidence","admitted request to eligible alternatives","layout-indexes/planning","planning/alternative.rs; strategy/registry","S8PlanningAlternativeSet derives once from admitted family domain materialization and intent and registry emits S8AdmittedLayoutStrategy retaining those exact capabilities","Candidate derivation selected indexed plans and fingerprints preserve request strategy lineage without a raw witness lane","Residual generic indexed fallback and incomplete ordinary owner-case inventory remain","access-plan owner","planning/candidate_set.rs","CandidateSet containing only owner-admitted strategy capabilities and exact rejection cases","selection policy; diagnostics","strategy registry; certification","Remove residual generic operation fallback after exact operation inventory","Structural tests prove one derivation no raw shape no lifecycle/domain projection and no legacy strategy lane; selected equality proves retained strategy","13;14","direct","critical"
"16","planning","candidate classification","candidate set to classified decision cases","layout-indexes/planning","planning/selection_decision.rs","private exhaustive S8PlanSelectionDecision with operation-specific success cases and typed denial","The operation is classified exactly once; remaining debt is permanent vocabulary and candidate inputs that still use registry snapshots rather than consolidated strategy capabilities","access-plan owner","planning/classification.rs","private exhaustive AccessPlanCase with operation-specific cases and typed denials","owner-local issuer only","selection issuance predicates; payload inspection","Retain the one-case classification and migrate its inputs to permanent admitted capabilities","Structural test proves exactly one classifier and candidate derivation; deterministic planning tests and scenarios pass","15","direct","critical","single_classification_boundary_proven_input_lineage_partial"
"17","planning","selection policy","eligible alternatives to deterministic winner","layout-indexes/planning","planning/selection_policy.rs; selection_basis.rs","S8SelectionPolicy ranking and deterministic rule","Policy is localized but naming is milestone-shaped and tie/eligibility semantics depend on surrounding classifier","access-plan owner","planning/policy.rs","DeterministicSelectionPolicy returning a named selection basis","classification only; diagnostics","operation issuers","Keep policy pure and make all alternatives and denial cases explicit","Permutation and tie tests; one policy entrypoint residue gate","15","direct","high","mostly_sound"
"18","planning","cost model","classified candidate to exact planned work","layout-indexes/planning plus strategy","planning/cost.rs; strategy/counter_planning.rs","S8AccessPlanCostEstimate and S8PlannedCounterEnvelope","Counter envelope lookup occurs during planning but exact strategy capability lineage is not the input","access-plan owner consuming strategy-owned estimate","planning/cost.rs","PlannedAccessCost bound to candidate identity strategy admission and operation intent","budget owner; diagnostics","raw strategy family; copied counter rows","Calculate from admitted candidate and bind result into decision case","Copied counters cannot satisfy budget or execution; exact equivalence-class matrices","13;16","direct","critical","partial"
"19","planning","budget admission","planned work plus budget envelope to admitted budget","forge-store-budgets called by layout planner","budgets/pre_execution and planning/selection_decision.rs","S8PreExecutionBudgetEnvelope and admission receipt","Budget authority is real but planning owns request assembly and broad milestone-named generic grants remain","forge-store-budgets","budgets/layout_plan/admission.rs","AdmittedLayoutPlanBudget bound to request identity candidate identity planned counters and lane","selected operation; diagnostics","planner constructors; copied generic grants","Introduce or finish layout-plan-specific budget admission and consume only its receipt","Compile-fail generic grant cannot enter operation lowering; hostile copied receipt and cross-plan substitution","18","direct","critical","partial"
"20","planning","fingerprint","decision basis to diagnostic identity","layout-indexes/planning","planning/plan_fingerprint.rs","S8PlanFingerprint","Fingerprint is built from many copied values and sits inside the selected plan; it must remain diagnostic rather than become authority","access-plan owner","planning/fingerprint.rs","AccessPlanFingerprint projection from issued selected operation","diagnostics; caching; certification comparison","lowering or readiness as sole authority","Construct only from issued case and document projection status","Compile-fail fingerprint cannot lower execute or reconstruct selection; deterministic equality tests","16;18;19","direct","high","partial"
"21","planning","owner issuance","classified case to selected operation","layout-indexes/planning","planning/selection_issuance.rs","S8IssuedSelection built by a one-to-one exhaustive match over the private decision case","Issuance no longer inspects family shape route or payload; remaining debt is permanent vocabulary and complete ordinary observation of every residual indexed case","access-plan owner","planning/issuance.rs","opaque SelectedAccessOperation family issued directly from private exhaustive case","operation-specific runtime; read-only view","generic payload pairing; certification; siblings","Retain mechanical issuance and remove the residual generic indexed fallback after operation inventory closes","Structural test rejects selected_family access_shape is_btree is_lsm and route logic in issuance; runtime compile-fail proves selected operation privacy","16;19","direct","critical","mechanical_owner_issuance_proven_residual_inventory_partial"
"22","planning","selection outcome","issued operation to caller view","layout-indexes/planning","planning/selection_outcome.rs; selected_plan.rs","S8AccessPlanSelectionOutcome and operation wrappers","Broad output view is useful but still exposes milestone vocabulary and fallback SelectedIndexedAccessPlan","access-plan owner","planning/outcome.rs","AccessPlanSelectionOutcome with exact operation views and typed denials","ordinary orchestrators","callers constructing or reclassifying broad plan","Retain read-only projection; remove generic indexed fallback once all supported operations are inventoried","Compile-fail view payload cannot construct outcome; exact supported-operation matrix","17;21","direct","critical","partial"
"23","operation runtime","ordinary orchestration","external request to selected owner operation","layout-indexes root facades","layout_read_runtime.rs; layout_btree_recovery.rs; layout_lsm_maintenance.rs","PageLookupRequest WalLookupRequest and operation admission requests","Six production paths admit requests but root files still carry broad orchestration and milestone vocabulary","operation-specific permanent facade owners","read_runtime; btree/recovery; lsm/maintenance facades","narrow admitted request to exact selected operation capability","application layer; certification","test support; generic root facade","Move orchestration into permanent subsystem directories and expose one obvious next call per outcome","Production facade scenarios for every supported family and shape; residue rejects root business logic","14;22","direct","critical","production_paths_migrated_topology_partial"
"24","operation runtime","indexed lowering","selected indexed operation to lowered operation","layout-indexes/access/execution","access/execution/indexed/lowering.rs plus generic facade","LoweredIndexedAccess","B-tree lookup has a narrow selected type but generic indexed abstractions and a broad facade still own parts of lowering","B-tree lookup owner and future indexed owners","strategy/btree/execution/lowering.rs","LoweredBTreeLookup retaining exact selected capability and physical read contract","B-tree readiness only","generic indexed facade; degraded owner","Move owner-specific lowering to the operation owner; shared code may be private algorithm support only","Compile-fail selected LSM degraded or publication capabilities cannot lower as B-tree lookup","21;23","direct","critical","partial"
"25","operation runtime","indexed readiness","lowered indexed operation to execution readiness","layout-indexes/access/execution","indexed/readiness.rs; ready_plan.rs; freshness.rs","IndexedExecutionReady and generic readiness authority","Generic readiness authority can span unrelated indexed machines and still uses milestone-named marker factories","B-tree lookup owner","strategy/btree/execution/readiness.rs","BTreeLookupReady issued after exact source freshness budget and physical preflight","B-tree executor","generic readiness factory; siblings","Replace crate-wide readiness authority with operation-local readiness recipe","External and sibling modules cannot issue readiness; stale and source mismatch matrix","24","direct","critical","partial"
"26","operation runtime","B-tree physical lookup","ready lookup to page traversal","layout-indexes B-tree owner plus physical-format","strategy/btree/execution/lookup_runtime.rs; physical_access.rs; read_source.rs","BaselineBTreeLookupAdmission and physical observations","Ordinary physical path exists and exact source is typed; remaining issue is integration with generic lowering and permanent naming","B-tree lookup owner consuming physical-format facade","strategy/btree/execution","BTreeLookupExecution with exact traversed-root and counter evidence","semantic result projector; courtroom","test support; planner","Consume operation-local readiness and preserve physical observations unchanged","Hostile wrong root epoch corrupt node hidden scan and exact traversal scenarios","25","direct","critical","mostly_sound"
"27","operation runtime","B-tree semantic result","physical traversal to semantic lookup evidence","layout-indexes B-tree owner","strategy/btree/execution/outcome.rs; witness.rs","lookup execution and exact counter witness","Result family is strong but must become the only source of common executed-access projection","B-tree lookup owner","strategy/btree/execution/outcome.rs","ExecutedBTreeLookup retaining request selected plan source path result and counters","common observation adapter; caller","generic executed receipt constructor","Issue result in the operation and project common evidence read-only","Exact counter and absence cases; copied observations cannot mint result","26","direct","critical","mostly_sound"
"28","operation runtime","degraded lowering","selected degraded scan to lowered scan","layout-indexes/access/execution/degraded_scan","degraded_scan/lowering.rs","LoweredDegradedExactScan","Owner split exists but generic facade and common milestone vocabulary still mediate construction","degraded exact-scan owner","degraded_access/execution/lowering.rs","LoweredDegradedExactScan retaining declared scan authority coverage budget and source","degraded readiness only","indexed owner; generic facade","Move issuance and transition cases fully into degraded owner","Indexed selection cannot lower here; hidden scan and undeclared scan denied","21;23","direct","critical","partial"
"29","operation runtime","degraded readiness","lowered scan to ready stale or rebind","layout-indexes/access/execution/degraded_scan","degraded_scan/readiness.rs; readmission.rs; facade/readmission.rs","DegradedScanReadinessOutcome and readmission capabilities retaining exact admitted family and key-domain authority","Readmission denies same-family security substitution and nonidentical admitted-domain law suites; generic freshness marker factories and broad facade ownership remain","degraded exact-scan owner","degraded_access/execution/readiness.rs","DegradedScanReady or owner-issued Stale/RebindRequired case","physical degraded executor; caller view","generic readiness or readmission factory","Move freshness comparison and issuance entirely into degraded owner and remove generic factories","Ready stale rebind coverage admitted-domain and cross-authority denial matrix","28","direct","critical","family_and_domain_continuity_proven_generic_freshness_partial"
"30","operation runtime","degraded physical scan","ready scan to exact physical execution","layout-indexes plus physical-format","physical_execution.rs and PlatformPhysicalFacade","DegradedScanExecution","Physical execution is real but generic facade still assembles the semantic result","degraded exact-scan owner consuming physical-format","degraded_access/execution/execute.rs","ExecutedDegradedExactScan with exact visited records bytes and counter evidence","common observation adapter; caller","indexed owner; test support","Return owner-issued executed outcome directly from physical traversal","Real scan hostile corruption absence and counter scenarios","29","direct","critical","mostly_sound"
"31","operation runtime","LSM lookup admission","selected LSM lookup plus source to ready lookup","layout-indexes LSM owner","strategy/lsm/execution/admission.rs; lookup_source.rs; lookup_runtime.rs","BaselineLsmLookupAdmission and typed source","Operation-specific path exists but selected capability still originates in double-classified planning and durable source lineage must be exact","LSM lookup owner","strategy/lsm/lookup","LsmLookupReady retaining selected operation and authoritative membership view","LSM executor","planner; test support; raw run list","Consume owner-selected operation and lsm-authority membership snapshot","Copied run inventory cannot satisfy admission; stale membership and visibility cases","21;35","direct","critical","partial"
"32","operation runtime","LSM lookup execution","ready lookup to visible semantic result","layout-indexes LSM owner","strategy/lsm/lookup_runtime.rs; execution/witness.rs","BaselineLsmLookupExecution and dispositions","Real execution exists; common result and topology adoption remain incomplete","LSM lookup owner","strategy/lsm/lookup/outcome.rs","ExecutedLsmLookup retaining membership source tombstone semantics and exact counters","common observation adapter; courtroom","generic result constructor","Make ordinary lookup the sole issuer for every success absence tombstone and denial case","Hostile overlapping runs tombstones stale run filter false positive and exact counters","31","direct","critical","partial"
"33","durable authority","LSM membership admission","WAL durable append to admitted component","forge-store-lsm-authority","membership/artifact.rs; session.rs","AdmittedLsm component and membership session","New lower crate correctly owns durable membership; naming and complete read-path adoption remain","forge-store-lsm-authority","membership/admission.rs","AdmittedLsmComponent bound to exact durable WAL receipt and physical identity","layout LSM operations; recovery physics","layout planner; certification","Keep this as lower authority and remove duplicate run membership models","Crash matrix and copied WAL receipt compile-fail","2","supporting","critical","proven"
"34","durable authority","LSM membership journal","admitted component to authoritative active set","forge-store-lsm-authority","membership/journal; publication.rs","append-only membership records and replacement publication","Authority is now physically bound and replayable; consumers must stop maintaining parallel inventories","forge-store-lsm-authority","membership/journal and publication","PublishedLsmMembershipReplacement and reopened active set","lookup compaction replay; diagnostics","layout-owned arrays; certification fixtures","Adopt one membership snapshot across all LSM operation owners","Repeated compaction crash matrix exact set replacement and malformed journal rejection","33","supporting","critical","proven_adoption_partial"
"35","durable authority","LSM reopen and replay basis","journal plus checkpoint and WAL observations to replay source","forge-store-lsm-authority plus recovery-physics","membership/replay.rs; replay_source.rs","AdmittedLsmReplaySource and LsmReplayExecutionPlan","Precedence is owner-derived; remaining risk is duplicated semantic run reconstruction in layout","forge-store-lsm-authority and recovery-physics","replay_source.rs","admitted replay source with exact authoritative active component set","layout LSM replay executor; courtroom","certification; layout arrays","Make replay execution consume only this source and publish owner result","Checkpoint WAL partial publication and malformed membership hostile matrix","34","supporting","critical","proven_adoption_partial"
"36","operation runtime","LSM publication","selected append plus durable component to membership publication","layout-indexes LSM owner plus lsm-authority","strategy/lsm/publication_runtime.rs; run_publication.rs","BaselineLsmRunPublicationAdmission and manifest execution","Cross-owner capability chain exists but planning issuance and topology cases remain incomplete","LSM publication operation owner","strategy/lsm/publication","PublishedLsmRun retaining selected intent WAL durability physical binding and membership receipt","lookup replay compaction; diagnostics","planner; raw manifest rows","Consume exact selected publication and lsm-authority admission without reconstructing identity","Crash cutpoints copied receipt wrong component and visibility tests","21;33;34","supporting","critical","mostly_proven"
"37","operation runtime","LSM replay","selected replay plus admitted source to semantic state","layout-indexes LSM owner","strategy/lsm/replay_runtime.rs","BaselineLsmReplayAdmission and execution","Owner-derived source is present but outcome family and topology projection must be made ordinary and exhaustive","LSM replay owner","strategy/lsm/replay","ExecutedLsmReplay retaining exact replay source and visible run state","lookup bootstrap courtroom","certification; copied journal rows","Make the replay operation the sole source of semantic reopened LSM state","Hostile precedence and malformed membership matrix observed through production facade","21;35","supporting","critical","mostly_proven"
"38","operation runtime","B-tree replay source","checkpoint WAL and root artifact to admitted replay source","recovery-physics","btree_replay/source.rs; root_agreement.rs","typed replay source and root-frontier agreement","Exact capability exists but root agreement coverage is partial and layout still owns surrounding milestone facade","recovery-physics","btree_replay/admission.rs","AdmittedBTreeReplaySource with exact root frontier and source precedence","layout B-tree replay executor; courtroom","layout planner; copied root ids","Finish exact root-frontier mismatch and crash cases; preserve lower-crate ownership","Checkpoint WAL root artifact mismatch matrix and compile-fail copied ids","2","supporting","critical","partial"
"39","operation runtime","B-tree replay execution","selected replay plus admitted source to recovered tree","layout-indexes B-tree owner","strategy/btree/execution/replay_runtime.rs; layout_btree_recovery.rs","BaselineBTreeReplayAdmission and recovery execution","Ordinary execution exists but selected intent and root facade remain milestone-shaped and exact outcome inventory is incomplete","B-tree replay owner","strategy/btree/recovery","ExecutedBTreeReplay retaining source selected intent root agreement and counters","read runtime bootstrap courtroom","certification; generic recovery facade","Move orchestration under permanent B-tree recovery owner and issue exhaustive outcome family","Hostile torn checkpoint WAL-only stale root corrupt node and exact counters","21;38","direct","critical","partial"
"40","physical mutation","LSM compaction intent","semantic compaction demand to physical intent","layout-indexes LSM owner plus lsm-authority","strategy/lsm/compaction_runtime.rs; physical_compaction.rs; lsm-authority/physical_binding.rs","LsmPhysicalCompactionIntent and exact active membership inputs","Semantic intent is now bound to membership; planning still double-classifies selected compaction and vocabulary is milestone-shaped","LSM compaction owner plus lsm-authority","strategy/lsm/compaction","AdmittedLsmCompaction retaining selected operation exact active inputs output identity and physical intent","physical-isolation","raw component arrays; planner; certification","Consume exact selected compaction case and authoritative membership snapshot","Nonmember input duplicate output stale generation and copied intent failures","21;34","supporting","critical","mostly_proven"
"41","physical mutation","compaction interlock","physical intent to protected mutation plan","physical-isolation","compaction_interlock/plan.rs; protected_set.rs; candidate_ranges.rs","interlocked physical compaction plan","Physical owner boundary is real and owner cases exist; denial adoption and permanent cross-crate projection remain incomplete","physical-isolation","compaction_interlock","InterlockedCompaction capability retaining protected roots mutation lane and exact intent","layout semantic adapter; scheduler; diagnostics","layout; certification; test authority","Keep all physical decisions here and expose sealed owner-case inventory plus read-only verdicts","Concurrent reader protected-root wrong lane overlap and copied plan hostile cases","40","supporting","critical","proven_adoption_partial"
"42","physical mutation","compaction publication","interlocked mutation to atomic visible replacement","physical-isolation plus lsm-authority","compaction_interlock/publication.rs; cutover_delta.rs; lsm membership publication","published physical cutover and membership replacement","Atomic replacement and reader cutover are proven; semantic outcome projection still needs exact case bijection","physical-isolation owns cutover; lsm-authority owns membership","existing owner modules","PublishedCompactionCutover plus PublishedLsmMembershipReplacement composed by LSM operation owner","readers; reclaim; recovery; courtroom","layout-authored physical facts; certification","Preserve two-owner composition and project every physical case without merge or invention","Crash cutpoint reader-before/after exact membership and case-identity bijection","34;41","supporting","critical","proven_projection_partial"
"43","physical mutation","compaction reclaim","published cutover to safe reclaim or deferral","physical-isolation","compaction_interlock/stability_proof.rs; reclaim_queue.rs","stability proof reclaim deferral and drain cases","Owner cases exist but complete semantic adoption and exact denial observation are unfinished","physical-isolation","compaction_interlock/reclaim","ReclaimDisposition issued from reader frontier and protected set","LSM semantic outcome adapter; scheduler","layout; copied counters; certification","Expose every ordinary reclaim case through compaction operation without collapsing denials","Pinned reader repeated drain stale frontier and wrong protected set matrix","42","supporting","critical","partial"
"44","execution evidence","counter observation","physical operation observations to admitted counters","layout-indexes execution plus operation owners","access/execution/counter_witness.rs; admitted_counters.rs; strategy counters","planned and observed counter witnesses","Counters are exact in major paths but generic admission can blur which operation observed them","each operation owner with shared counter vocabulary","operation outcome modules","OperationObservedCounters bound to exact readiness source and physical observations","common evidence adapter; performance diagnostics","test support; copied rows; unrelated operation","Move counter admission into operation outcome issuance and keep shared arithmetic projection-only","Cross-operation copied-counter compile-fail and exact equivalence-class matrices","26;27;30;32;37;39;42","direct","critical","partial"
"45","execution evidence","planned versus observed","selected plan and observed counters to comparison receipt","layout-indexes/access/execution","planned_vs_observed.rs; performance_receipt.rs","S8PlannedVsObservedCounterReceipt and performance receipt","Comparison is useful but generic receipt assembly can appear authoritative and milestone naming obscures projection status","common observation adapter","execution_observation","PlannedVsObservedAccessReport derived only from owner-issued executed outcome","diagnostics; certification; telemetry","lowering readiness or operation admission","Make report a projection from executed capability rather than an input to authority","Compile-fail report cannot execute readmit or publish; exact mismatch evidence tests","20;44","direct","high","partial"
"46","execution evidence","common executed access view","owner result to cross-operation observation","layout-indexes/access/execution","executed_evidence.rs; outcomes/executed.rs","ExecutedAccessReceipt and common views","A generic receipt still risks becoming the authority instead of a read-only sum type over owner-issued outcomes","each operation owner plus projection adapter","execution_observation/mod.rs","ExecutedAccessObservation borrowing or retaining sealed owner outcome","callers; certification; metrics","adapter; test support; certification","Make every owner result primary and common view non-constructive","Compile-fail common view cannot construct owner result; exact owner identity retained","27;30;32;37;39;44","direct","critical","mixed_cutover"
"47","transition grammar","owner case identity","private decision case to topology fact","physical-isolation only broadly proven","compaction_interlock/owner_case.rs and scattered layout outcomes","CompactionOwnerCase plus many unrelated broad enums","Physical compaction has explicit cases; read mutation recovery and corruption families do not share the same owner-local grammar","each operation owner","owner-local case.rs and outcome.rs","private exhaustive case plus sealed stable OwnerCaseId projection","topology aggregator; certification","S9; catalogs; diagnostics","Adopt the proven owner-local pattern family by family without centralizing issuance","Every advertised case observed through ordinary facade; private cases cannot be constructed","21;27;30;32;36;37;39;42;43","direct","critical","physical_only"
"48","transition grammar","owner-family contract","owner cases to exhaustive family inventory","physical-isolation only","compaction_interlock/owner_inventory.rs","iterator over physical compaction owner cases","Physical inventory is ordinary-owner-derived; layout families still lack exhaustive contracts or rely on broad outcomes","each operation owner","owner_inventory.rs","sealed OwnerFamilyContract generated from same declaration as issued cases","cold S9 aggregator; courtroom coverage matrix","S9; certification; catalog files","Generate inventory from the exact owner declaration and preserve operation and case identity","Exact set equality between declared and observed ordinary cases","47","direct","critical","physical_proven_remaining_missing"
"49","topology","machine aggregation","owner-family contracts to state-machine inventory","layout-indexes future handoff","old production-transition catalogs removed; aggregation absent or incomplete","partial scattered owner inventories","Without canonical aggregation S9 can invent machines edges or omit owner families","layout topology aggregation only","topology/aggregation.rs","S9LayoutStateMachineInventory containing sealed owner-family contracts only","S9; diagnostics; certification","S9; catalog arrays; certification","Aggregate contracts without authoring cases operations edges or required-machine lists","Bijection owner families to inventory; no manual parallel machine list or match","48","supporting","critical","missing"
