claim_id,roadmap_scope,claiming_surface,entry_source,owner_crate,claimed_effect,actual_terminal_effect,artifact_family,physical_writer,reader,durability_boundary,reopen_source,independent_verifier,classification,path_kind,candidate_search,trace_locations,probe_command,observed_result,disposition,target_milestone,review_notes
"physical-format-byte-grammar","S.1","physical headers records manifests references","workspaces/worth-store/crates/worth-store-physical-format/src/lib.rs","worth-store-physical-format","define stable physical byte meaning","encodes decodes and validates byte slices without owning media effects","page;extent;manifest;reference","none","format and verifier callers","none","caller-owned byte slices","format-local verifier","isolated_real_mechanism","disconnected","rg -n 'encode_|decode_|PhysicalHeaderAuthority|OfflineManifestCodec' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/header;workspaces/worth-store/crates/worth-store-physical-format/src/record_framing;workspaces/worth-store/crates/worth-store-physical-format/src/manifest","not_required","stable encoders and validators exist but ordinary files do not","preserve","C.5","Byte grammar remains the correct owner and should be adopted by the real record path."
"backend-durability-file-runtime","S.1/S.4","retired StoreDurabilityRuntime","workspaces/worth-store/crates/worth-store-physical-backend/src/durability_ordering/execution/file_runtime.rs::StoreDurabilityRuntime","worth-store-physical-backend","formerly performed generic durability execution behind a parallel runtime object","the runtime and directory are deleted; retained file sync directory sync rename and exact artifact effects are methods of the one admitted filesystem media owner and are invoked only through typed Store work ports","none","none","none","none","none","source absence plus C7 cutover gates","deleted_false_authority","absent","rg -n 'StoreDurabilityRuntime|durability_ordering/execution/file_runtime' workspaces/worth-store/crates/worth-store-physical-backend/src workspaces/worth-store/crates/worth-store/src","workspaces/worth-store/crates/worth-store-physical-backend/src/filesystem_media/file_synchronization.rs;workspaces/worth-store/crates/worth-store-physical-backend/src/filesystem_media/directory_synchronization.rs;workspaces/worth-store/crates/worth-store-physical-backend/src/filesystem_media/artifact_tree/publication_effect","cargo test -p store-test-runner durable_publication_boundary_gate::cutover::","cutover gates prove the parallel runtime path and type are absent while exact media mechanisms remain","deleted","C.7","Delete the parallel runtime authority; preserve only capability-qualified C.4 media mechanisms reached through Store-owned typed commands."
"wal-file-backed-append","S.4","PhysicalRecordSubmission::prepare_durable_append then PreparedPhysicalMutation::start","workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/publication/director/submission.rs::prepare_durable_append","worth-store","append exact prepared group members through the canonical Store durability progression","binds idempotency lease request fingerprint persisted attempt identity member redo LSN and artifact range then lowers a sealed group through Signal scheduling and the C.4 exact artifact append effect before a separate WAL barrier","canonical WAL segment","worth-store-physical-backend admitted filesystem media owner","ordinary managed mutation observation and bounded WAL inspection","append completion is not durability; the next typed state alone admits the required WAL barrier","Store-owned reopened WAL inventory and persisted attempt bindings","independent worth-store-wal bounded segment verifier","real_production_physical_behavior","ordinary","rg -n 'prepare_durable_append|append_prepared_wal_group|append_prepared_group|append_scheduled_artifact_exact_at' workspaces/worth-store/crates/worth-store/src workspaces/worth-store/crates/worth-store-physical-backend/src","workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/publication/director/submission.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/durability/wal;workspaces/worth-store/crates/worth-store/src/physical_runtime/instance/executor/wal_append.rs","cargo test -p worth-store --features certification-test-authority --test physical_record_journeys durability_admission::wal_","ordinary journeys independently verify contiguous frames torn-effect sealing group identity and later barrier ordering","implemented","C.7","The public entry prepares rather than directly appends. Compile-visible states forbid data dispatch root publication or acknowledgment from an append receipt alone."
"buffer-pool-residency","S.2","worth_store bounded physical record access facade","workspaces/worth-store/crates/worth-store/src/physical_runtime/instance/residency_owner.rs","worth-store","bound ordinary physical record residency through one Store-owned pool","constructs one admitted PhysicalResidencyPool per serving Store and routes ordinary reads candidate publication dirty settlement and speculative work through that owner","resident physical frames","worth-store candidate publication and exact writeback progression","PhysicalRecordReader and RecordReadSession","dirty-frame settlement only; WAL and checkpoint ordering remain C.7","PhysicalStore open plus the current root manifest","Store residency observation plus independent allocation and media courtrooms","real_production_physical_behavior","ordinary","rg -n 'PhysicalResidencyOwner|PhysicalResidencyPool|RecordReadSession' workspaces/worth-store/crates/worth-store/src workspaces/worth-store/crates/worth-store-buffer-pool/src","workspaces/worth-store/crates/worth-store/src/physical_runtime/instance/residency_owner.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/instance/construction.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/access/locate.rs;workspaces/worth-store/crates/worth-store-buffer-pool/src/physical_residency","cargo test -p worth-store --test physical_record_journeys --all-features","ordinary cold hot eviction refault borrowed-view bounded-copy dirty and pressure journeys execute against the joined Store pool","implemented","C.6","The pool owns residency mechanics; Store owns composition lifecycle public observation and successor admission."
"buffer-pool-snapshot-admission","S.2 handoff","deleted S2PhysicalResidencyEntry snapshot authority","_docs/worth-store/physical-reconstruction-c6-removal-ledger.csv::crates/worth-store-buffer-pool/src/entry.rs","worth-store-buffer-pool","admit residency from caller-constructed readiness counts","deleted with no renamed replacement; Store admits a complete residency policy against the physical format and privately constructs the lower pool","none","none","none","none","none","source and metadata absence gates","deleted_false_authority","deleted","rg -n 'S2PhysicalResidencyEntry|from_physical_substrate_snapshot|PhysicalSubstrateReadinessSnapshot::from_exact_counts' workspaces/worth-store","_docs/worth-store/physical-reconstruction-c6-removal-ledger.csv;workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/admission/residency_policy;workspaces/worth-store/tools/store-test-runner/src/physical_residency_boundary_gate/removal_inventory.rs","cargo test -p store-test-runner physical_residency_boundary_gate::removal_inventory --all-features","the deleted path is absent and controlled reintroduction is rejected by the removal inventory","deleted","C.6","Count snapshots can no longer become production residency authority; admitted Store policy is a different current boundary rather than a compatibility replacement."
"recovery-physics-wal-execution","S.4 certification","retired recovery-physics WAL executor","workspaces/worth-store/crates/worth-store-recovery-physics/src/wal_durability/certification_probe.rs","worth-store-recovery-physics","formerly exercised WAL durability as a second execution lane","the wal_durability executor directory is deleted; recovery physics now validates descriptive append barrier crash and reopen observations under wal_recovery_basis without executing media or constructing Store progression authority","none","none","recovery and certification consumers of bounded facts","none","persisted WAL observation inputs","typed observation validation and independent artifact verification","deleted_false_authority","absent","rg -n 'wal_durability|execute_wal_durability|wal_recovery_basis' workspaces/worth-store/crates/worth-store-recovery-physics/src","workspaces/worth-store/crates/worth-store-recovery-physics/src/wal_recovery_basis/mod.rs;workspaces/worth-store/crates/worth-store-recovery-physics/src/wal_recovery_basis/append_receipt.rs;workspaces/worth-store/crates/worth-store-recovery-physics/src/wal_recovery_basis/durability_observation.rs","cargo test -p worth-store-recovery-physics","recovery tests validate facts while source gates prove no recovery-owned WAL execution path survives","deleted","C.7","Recovery physics retains descriptive replay and crash facts only. It receives no ordinary execution media acknowledgment or reclamation authority."
"recovery-integrity-model-admission","S.3-S.4 handoff","IntegrityHandoffAdmission::admit_model_payload","workspaces/worth-store/crates/worth-store-recovery-physics/src/integrity_handoff/admission.rs","worth-store-recovery-physics","admit integrity-vetted input into recovery","checks a caller-constructible PhysicalIntegrityReadinessPayload and admits lower-level recovery input; the API is now explicitly model-only and cannot claim S.3 readiness","integrity and recovery model payloads","none","recovery algorithms and test-support callers","none","caller-supplied payload","none","quarantined_false_claim","disconnected","rg -n 'IntegrityHandoffAdmission|PhysicalIntegrityReadinessPayload|from_integrity_model_payload' workspaces/worth-store/crates","workspaces/worth-store/crates/worth-store-recovery-physics/src/integrity_handoff/admission.rs;workspaces/worth-store/crates/worth-store-physical-integrity/src/admission/entry/entry_admission.rs;workspaces/worth-store/crates/worth-store-readiness/src/physical_integrity/readiness.rs","not_required","raw model data can exercise recovery algorithms but cannot construct the sealed readiness type; misleading readiness-admission names were removed","refactor_before_connection","C.8","C.8 must consume an earned integrity handoff from the joined runtime; C.9 owns the physical-integrity authority seam, whose current crate placement creates a dependency-cycle constraint."
"physical-integrity-runtime-guard","S.3","integrity admission scrub quarantine and verifier surfaces","workspaces/worth-store/crates/worth-store-physical-integrity/src/lib.rs","worth-store-physical-integrity","reject damaged bytes before ordinary interpretation","validates caller-provided or buffer-owned byte views; InMemoryPhysicalFormatModel does not depend on this crate","physical checksums and observations","none","integrity and certification callers","none","caller-supplied bytes and views","integrity-local verifier","isolated_real_mechanism","disconnected","rg -n 'InMemoryPhysicalFormatModel|checksum|scrub|quarantine|verify' workspaces/worth-store/crates/worth-store-physical-integrity/src workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-integrity/Cargo.toml;workspaces/worth-store/crates/worth-store-physical-format/Cargo.toml","not_required","strong integrity vocabulary exists outside ordinary decode and reopen","connect_in_target_milestone","C.9","C.9 adopts checks into every real artifact path and independent verifier."
"physical-isolation-root-log","S.5","retired PhysicalRootPublicationStore","workspaces/worth-store/crates/worth-store-physical-isolation/src/publication/store.rs::PhysicalRootPublicationStore","worth-store-physical-isolation","formerly published a separate root-publications.log authority","the publication directory and root log are deleted; canonical root candidate write replacement directory synchronization and acknowledgment now occur inside the Store-owned mutation progression over the admitted C.4 media owner","none","none","none","none","none","source absence plus canonical root progression tests","deleted_false_authority","absent","rg -n 'PhysicalRootPublicationStore|root-publications.log|CatalogReplacementEligibility' workspaces/worth-store/crates/worth-store-physical-isolation/src workspaces/worth-store/crates/worth-store/src/physical_runtime","workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/publication/director/root_progression.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/durability/mutation/progression/root_replaced.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/durability/mutation/progression/root_namespace_durable.rs","cargo test -p worth-store --features certification-test-authority --test physical_record_journeys durability_admission::data_durability::","root progression journeys prove one catalog and namespace publication authority while deletion gates reject the parallel log","deleted","C.7","The pure admission meaning may remain under physical isolation; its independent writer log and authority type do not."
"io-scheduler-backend-work","S.6","I/O scheduler queues and admission","workspaces/worth-store/crates/worth-store-io-scheduler/src/lib.rs","worth-store-io-scheduler","schedule foreground and maintenance physical I/O","owns scheduling contracts and can compose backend/isolation in dedicated lanes; InMemoryPhysicalFormatModel performs no scheduler submission","scheduled work","backend-specific callers","scheduler and certification callers","owner-specific","explicit work requests","scheduler evidence","isolated_real_mechanism","disconnected","rg -n 'InMemoryPhysicalFormatModel|schedule|queue|submit|execute' workspaces/worth-store/crates/worth-store-io-scheduler/src workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-io-scheduler/Cargo.toml;workspaces/worth-store/crates/worth-store-physical-format/Cargo.toml","not_required","scheduler is not on heap runtime read write or publication paths","connect_in_target_milestone","C.10","Preserve policy and admission concepts; bind only after real media operations exist."
"maintenance-physical-effects","S.6/S.8","maintenance orchestration contracts","workspaces/worth-store/crates/worth-store-maintenance/src/lib.rs","worth-store-maintenance","run scrub compaction rewrite and reclaim against the production store","composes subsystem contracts but has no canonical InMemoryPhysicalFormatModel or media root entry","maintenance artifacts","none","maintenance and certification callers","none","subsystem plans and observations","certification","vocabulary_without_execution","disconnected","rg -n 'InMemoryPhysicalFormatModel|compact|rewrite|reclaim|scrub|execute' workspaces/worth-store/crates/worth-store-maintenance/src","workspaces/worth-store/crates/worth-store-maintenance/Cargo.toml;workspaces/worth-store/crates/worth-store-maintenance/src/lib.rs","not_required","no ordinary physical artifact path is reachable","refactor_before_connection","C.10","Maintenance policies must be rebound to real roots leases scheduling and media."
"layout-index-physical-access","S.8","B-tree LSM layout and degraded scan surfaces","workspaces/worth-store/crates/worth-store-layout-indexes/src/lib.rs","worth-store-layout-indexes","provide physical indexed access over Store pages","uses InMemoryPhysicalFormatModel in staged/degraded/test paths and separate LSM mechanisms; ordinary worth-store facade does not expose the joined path","index and LSM artifacts","various isolated backend or preexisting-file paths","layout and certification callers","subsystem-specific","fixtures replay artifacts or preexisting persisted paths","layout-local verification","isolated_real_mechanism","disconnected","rg -n 'InMemoryPhysicalFormatModel|PersistedPhysicalLayout|InMemoryPhysicalFormatReplayArtifact|std::fs' workspaces/worth-store/crates/worth-store-layout-indexes/src","workspaces/worth-store/crates/worth-store-layout-indexes/src/access/execution;workspaces/worth-store/crates/worth-store-layout-indexes/src/recovery;workspaces/worth-store/crates/worth-store-layout-indexes/Cargo.toml","not_required","layout code has strong local paths but no canonical file-backed page runtime","refactor_before_connection","C.11","Delete fixture-only authority as each family is adopted."
"lsm-membership-persist-record","S.8","persist_lsm_membership_record","workspaces/worth-store/crates/worth-store-lsm-authority/src/membership/runtime/persistence/operation.rs::persist_lsm_membership_record","worth-store-lsm-authority","persist LSM membership authority","verifies that a separately persisted file range matches then records membership in an in-memory session","LSM membership record","external prior writer","LSM membership session","external prior durability","preexisting canonicalized path","byte-range comparison","isolated_real_mechanism","disconnected","rg -n 'persist_lsm_membership_record|write_all|canonicalize' workspaces/worth-store/crates/worth-store-lsm-authority/src","workspaces/worth-store/crates/worth-store-lsm-authority/src/membership/runtime/persistence/operation.rs","not_required","the method named persist does not write the record; it admits prior bytes into heap membership","refactor_before_connection","C.11","Keep admission semantics but make writer and membership publication one owned progression."
"blob-native-storage","S.7","blob chunk ingest read backup and recovery surfaces","workspaces/worth-store/crates/worth-store-blob-chunks/src/lib.rs","worth-store-blob-chunks","store and stream native content-addressed chunks","contains strong chunk and backup verification mechanisms plus test/certification file paths but no ordinary facade composition with the heap runtime","blob chunks and manifests","isolated backend and backup paths","blob and certification callers","subsystem-specific","subsystem artifacts and fixtures","offline verifier and digest checks","isolated_real_mechanism","disconnected","rg -n 'std::fs|write_all|InMemoryPhysicalFormatModel|chunk|stream' workspaces/worth-store/crates/worth-store-blob-chunks/src","workspaces/worth-store/crates/worth-store-blob-chunks/Cargo.toml;workspaces/worth-store/crates/worth-store-blob-chunks/src/backup_verification","not_required","some real artifact handling exists but not one native Store page WAL recovery path","refactor_before_connection","C.11","C.11 owns native adoption and removal of sidecar or fixture paths."
"physical-budget-enforcement","S.2/S.6","Store residency policy and PhysicalResidencyPool allocation admission","workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/admission/residency_policy/builder.rs","worth-store","bound memory for ordinary physical operations without claiming scheduled I/O policy","the admitted Store policy and lower pool enforce resident metadata dirty replacement aggregate operation per-scope and speculative frame ceilings before allocation or mutation","resident frames;operation allocations;dirty replacement","worth-store physical work runtime","RecordReadSession and Store successor scopes","none","admitted policy retained by the serving Store","Store residency counters allocation events pressure evidence and independent allocation observers","real_production_physical_behavior","ordinary","rg -n 'PhysicalRecordResidencyPolicy|begin_operation|PhysicalResidencyDimension' workspaces/worth-store/crates/worth-store/src workspaces/worth-store/crates/worth-store-buffer-pool/src","workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/admission/residency_policy;workspaces/worth-store/crates/worth-store-buffer-pool/src/physical_residency/operation_allocation.rs;workspaces/worth-store/crates/worth-store-buffer-pool/src/physical_residency/pool/operation_accounting.rs;workspaces/worth-store/crates/worth-store/src/physical_runtime/record_serving/residency/residency_observation","cargo test -p worth-store --test physical_record_journeys --all-features","ordinary and successor-scope journeys deny before exceeding the admitted memory envelope and reconcile exact release observations","implemented","C.6","C.6 owns physical memory admission. Scheduler admission exists separately; C.10 still owns semantic isolation fairness and QoS rather than being implied by these memory limits."
"physical-reclaim-policy","S.5/S.7/S.8","reclaim admission and reachability policy","workspaces/worth-store/crates/worth-store-reclaim-policy/src/lib.rs","worth-store-reclaim-policy","safely reclaim unreachable physical artifacts","defines policy and certification lanes over supplied reachability and lease facts; no canonical runtime artifact deletion is called","reclaim candidates","none","blob layout tiering and certification callers","none","supplied policy facts","certification","vocabulary_without_execution","disconnected","rg -n 'reclaim|delete|remove_file|InMemoryPhysicalFormatModel' workspaces/worth-store/crates/worth-store-reclaim-policy/src","workspaces/worth-store/crates/worth-store-reclaim-policy/src/lib.rs;workspaces/worth-store/crates/worth-store-reclaim-policy/Cargo.toml","not_required","reclaim decisions are not joined to real Store artifacts or stable readers","refactor_before_connection","C.10","C.10 owns lease-safe deletion; C.11 adopts blob and index families."
"physical-retention-policy","S.5/S.8","retention and cleanup policy","workspaces/worth-store/crates/worth-store-retention/src/lib.rs","worth-store-retention","retain and clear physical generations safely","provides policy decisions to maintenance and blob paths without owning canonical runtime generations or media deletion","retained generations","none","maintenance blob and tiering callers","none","supplied retention facts","policy tests","vocabulary_without_execution","disconnected","rg -n 'retain|cleanup|delete|InMemoryPhysicalFormatModel' workspaces/worth-store/crates/worth-store-retention/src","workspaces/worth-store/crates/worth-store-retention/src/lib.rs;workspaces/worth-store/crates/worth-store-maintenance/Cargo.toml","not_required","policy exists without the stable physical namespace it must govern","refactor_before_connection","C.10","C.10 binds retention to leases publication and reclaim."
"physical-tier-movement","S.7","blob and artifact tier movement","workspaces/worth-store/crates/worth-store-tiering/src/lib.rs","worth-store-tiering","move physical artifacts across storage tiers","owns tier policy and certification mechanisms over explicit artifacts; ordinary Store runtime has no tier-aware media path","tiered chunks and artifacts","isolated tier and backup writers","blob replication and certification callers","tier-specific","explicit artifact paths","digest and certification checks","isolated_real_mechanism","disconnected","rg -n 'std::fs|tier|move|copy|InMemoryPhysicalFormatModel' workspaces/worth-store/crates/worth-store-tiering/src","workspaces/worth-store/crates/worth-store-tiering/src/lib.rs;workspaces/worth-store/crates/worth-store-tiering/Cargo.toml","not_required","tiering can manipulate real side artifacts but not canonical Store pages WAL or roots","refactor_before_connection","C.11","Adopt only after native blob and artifact families share the physical platform."
