lane,sequence,step,path,source_anchor,authority_owner,disposition
ordinary-pre-seal-cancellation,4,terminal-fact,crates/worth-store/src/physical_runtime/durability/settlement/proven_no_effect.rs,fn before_group_seal,Store settlement owner,preserve
ordinary-wal-append,1,managed-worker-entry,crates/worth-store/src/physical_runtime/record_serving/publication/director/managed_mutation.rs,self.wal.append_prepared_group(planned),Store mutation worker,preserve
ordinary-wal-append,2,group-admission,crates/worth-store/src/physical_runtime/durability/wal/port/group.rs,.admit(members,Store durability grouping,preserve
ordinary-wal-append,3,idempotency-seal,crates/worth-store/src/physical_runtime/durability/wal/port/group.rs,self.idempotency.seal_group(&sealing_bindings),Store idempotency registry,preserve
ordinary-wal-append,4,wal-reservation,crates/worth-store/src/physical_runtime/durability/wal/port/group.rs,.reserve_group(,Store WAL owner,preserve
ordinary-wal-append,5,wal-planning,crates/worth-store/src/physical_runtime/durability/wal/group_reservation/member_planning.rs,plan_wal_frame_append,WAL frame meaning,preserve
ordinary-wal-append,6,signal-readiness,crates/worth-store/src/physical_runtime/durability/wal/port.rs,.request(admitted),Worth Signal,preserve
ordinary-wal-append,7,scheduler-admission,crates/worth-store/src/physical_runtime/durability/wal/port.rs,.wal_append(,Store IO scheduler,preserve
ordinary-wal-append,8,executor-dispatch,crates/worth-store/src/physical_runtime/durability/wal/port.rs,execute_physical_work(command),Store physical executor,preserve
ordinary-wal-append,9,backend-effect,crates/worth-store/src/physical_runtime/instance/executor/wal_append.rs,append_scheduled_artifact_exact_at,C4 media owner,preserve
ordinary-wal-append,10,settlement,crates/worth-store/src/physical_runtime/durability/wal/port.rs,PhysicalWalAppendSettlement::completed_,Store WAL settlement,preserve
ordinary-wal-append,11,member-promotion,crates/worth-store/src/physical_runtime/durability/wal/port.rs,WalAppendedPhysicalMutation::new,Store WAL progression,preserve
ordinary-wal-append,12,group-sealing,crates/worth-store/src/physical_runtime/durability/wal/port/group.rs,SealedPhysicalDurabilityGroupMembers::seal,Store durability grouping,preserve
ordinary-wal-barrier,1,managed-worker-entry,crates/worth-store/src/physical_runtime/record_serving/publication/director/managed_mutation.rs,self.wal_barrier.synchronize_appended_group(appended),Store mutation worker,preserve
ordinary-wal-barrier,2,declaration-binding,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,PhysicalWalGroupBarrierDeclaration::for_appended_group,Store WAL group barrier owner,preserve
ordinary-wal-barrier,3,signal-readiness,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,.request(admitted),Worth Signal,preserve
ordinary-wal-barrier,4,policy-admission,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,admit_record_queue_policy,Store record queue policy,preserve
ordinary-wal-barrier,5,scheduler-admission,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,PhysicalWorkScheduler::admit,Store IO scheduler,preserve
ordinary-wal-barrier,6,executor-dispatch,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,execute_physical_work(command),Store physical executor,preserve
ordinary-wal-barrier,7,backend-effect,crates/worth-store/src/physical_runtime/instance/executor/wal_barrier.rs,synchronize_scheduled_file,C4 media owner,preserve
ordinary-wal-barrier,8,group-settlement,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,PhysicalWalGroupBarrierSettlement::bind_completed,Store WAL group settlement,preserve
ordinary-wal-barrier,9,all-member-derivation,crates/worth-store/src/physical_runtime/durability/grouping/wal_barrier/port.rs,WalDurablePhysicalMutationMembers::derive,Store durability grouping,preserve
ordinary-wal-barrier,10,member-promotion,crates/worth-store/src/physical_runtime/durability/grouping/member_settlement.rs,WalDurablePhysicalMutation::new,Store durability progression,preserve
ordinary-data-dispatch,1,managed-worker-entry,crates/worth-store/src/physical_runtime/record_serving/publication/director/managed_mutation.rs,self.dispatch_wal_durable_data(durable),Store mutation worker,preserve
ordinary-data-dispatch,2,durable-admission,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data.rs,dispatch_admission_failure,Store durability identity admission,preserve
ordinary-data-dispatch,3,candidate-residency,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data.rs,begin_candidate_publication,Buffer pool candidate residency,preserve
ordinary-data-dispatch,4,new-artifact-effect,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data/effect_progression.rs,write_new_candidate,Store canonical new-artifact effect,preserve
ordinary-data-dispatch,5,existing-artifact-writeback,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data/effect_progression.rs,write_existing_artifact_candidate,Store existing-artifact writeback,preserve
ordinary-data-dispatch,6,effect-settlement,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data/effect_progression.rs,PhysicalDataEffectSettlement::from_candidate,Store data effect settlement,preserve
ordinary-data-dispatch,7,frame-set-completion,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data/effect_progression.rs,residency.require_complete(),Store candidate frame contract,preserve
ordinary-data-dispatch,8,dispatch-promotion,crates/worth-store/src/physical_runtime/record_serving/publication/director/durable_data/effect_progression.rs,DataDispatchedPhysicalMutation::new,Store durability progression,preserve
ordinary-data-dispatch,9,exact-join,crates/worth-store/src/physical_runtime/durability/data/writeback_join.rs,fn join_dispatched_data,Store data settlement join,preserve
ordinary-data-dispatch,10,settled-promotion,crates/worth-store/src/physical_runtime/durability/data/writeback_join.rs,DataSettledPhysicalMutation::new,Store durability progression,preserve
recovery-wal-observation-basis,1,observation-scope,crates/worth-store-recovery-physics/src/wal_recovery_basis/append_receipt.rs,pub struct WalAppendObservationScope,Recovery WAL observation scope,preserve
recovery-wal-observation-basis,2,certification-receipt,crates/worth-store-recovery-physics/src/wal_recovery_basis/append_receipt.rs,pub fn from_certification_observation,Certification-only WAL observation fixture,narrow
recovery-wal-observation-basis,3,profile-validation,crates/worth-store-recovery-physics/src/wal_recovery_basis/durability_observation.rs,validate_profile::<P>(),Recovery durability profile validation,preserve
recovery-wal-observation-basis,4,append-validation,crates/worth-store-recovery-physics/src/wal_recovery_basis/durability_observation.rs,validate_append(&receipt),Recovery append observation validation,preserve
recovery-wal-observation-basis,5,barrier-validation,crates/worth-store-recovery-physics/src/wal_recovery_basis/durability_observation.rs,completed.satisfies(required),Recovery barrier-set validation,preserve
recovery-wal-observation-basis,6,durability-observation,crates/worth-store-recovery-physics/src/wal_recovery_basis/durability_observation.rs,pub struct WalDurabilityObservation,Recovery WAL durability observation,preserve
recovery-wal-observation-basis,7,crash-transfer,crates/worth-store-recovery-physics/src/wal_recovery_basis/crash_basis.rs,from_unobserved_durability,Recovery crash-basis transfer,preserve
recovery-checkpoint-cutover,1,checkpoint-validation,crates/worth-store-recovery-physics/src/checkpoint_cutover/checkpoint_durability.rs,CheckpointArtifactDurabilityCommitment,Recovery checkpoint validation,preserve
recovery-checkpoint-cutover,2,observation-derived-durability,crates/worth-store-recovery-physics/src/checkpoint_cutover/checkpoint_durability.rs,ack: &WalDurabilityObservation,Recovery WAL observation,narrow
recovery-checkpoint-cutover,3,publication-plan,crates/worth-store-recovery-physics/src/checkpoint_cutover/checkpoint_publication.rs,CheckpointPublicationPlan,Recovery checkpoint cutover,preserve
recovery-checkpoint-cutover,4,cutover-receipt,crates/worth-store-recovery-physics/src/checkpoint_cutover/checkpoint_publication.rs,CheckpointCutoverReceipt,Recovery checkpoint cutover,narrow
recovery-checkpoint-cutover,5,wal-retention,crates/worth-store-recovery-physics/src/source_precedence/contiguous_wal_tail.rs,ContiguousWalTailProof,Recovery contiguous-tail meaning,preserve
recovery-page-redo,1,page-lsn-meaning,crates/worth-store-recovery-physics/src/page_redo/page_lsn.rs,pub struct PageLsn,Recovery page ordering,preserve
recovery-page-redo,2,redo-eligibility,crates/worth-store-recovery-physics/src/page_redo/eligibility.rs,PageRedoEligibility,Recovery redo admission,preserve
recovery-page-redo,3,redo-application,crates/worth-store-recovery-physics/src/page_redo/application.rs,PageRedoApplicationBasis,Recovery redo application,preserve
ordinary-wal-segment-create,1,whole-group-rotation,crates/worth-store/src/physical_runtime/durability/wal/group_reservation/mod.rs,PhysicalWalFrameWriteDisposition::CreateSegment,Store WAL placement owner,preserve
ordinary-wal-segment-create,2,canonical-artifact-identity,crates/worth-store/src/physical_runtime/durability/wal/group_reservation/mod.rs,WalSegmentArtifactIdentity::new,Store WAL artifact placement,preserve
ordinary-wal-segment-create,3,frame-declaration,crates/worth-store/src/physical_runtime/durability/wal/group_reservation/member_planning.rs,PhysicalWalAppendDeclaration::new,Store WAL frame declaration,preserve
ordinary-wal-segment-create,4,typed-command-lowering,crates/worth-store/src/physical_runtime/work/execution/command/wal.rs,PhysicalWalFrameWriteDisposition::CreateSegment,Store physical command lowering,preserve
ordinary-wal-segment-create,5,signal-readiness,crates/worth-store/src/physical_runtime/durability/wal/port.rs,.request(admitted),Worth Signal,preserve
ordinary-wal-segment-create,6,scheduler-admission,crates/worth-store/src/physical_runtime/durability/wal/port.rs,.wal_append(,Store IO scheduler,preserve
ordinary-wal-segment-create,7,executor-dispatch,crates/worth-store/src/physical_runtime/durability/wal/port.rs,execute_physical_work(command),Store physical executor,preserve
ordinary-wal-segment-create,8,create-new-effect,crates/worth-store/src/physical_runtime/instance/executor/wal_segment_create.rs,write_scheduled_new_exact,C4 media owner,preserve
ordinary-wal-segment-create,9,create-settlement,crates/worth-store/src/physical_runtime/durability/wal/port.rs,PhysicalWorkSettlementEvidence::WalSegmentCreate,Store WAL settlement,preserve
ordinary-wal-segment-create,10,member-promotion,crates/worth-store/src/physical_runtime/durability/wal/port.rs,WalAppendedPhysicalMutation::new,Store WAL progression,preserve
ordinary-wal-inventory-reopen,1,construction-entry,crates/worth-store/src/physical_runtime/instance/construction.rs,reopen_durability_basis(&media,Store instance construction,preserve
ordinary-wal-inventory-reopen,2,checkpoint-compaction-reopen,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,reopen_binding_compaction(media),Store durability bootstrap,preserve
ordinary-wal-inventory-reopen,3,checkpoint-cutoff,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,PhysicalWalBindingReopenCutoff::after_checkpoint,Store durability bootstrap,preserve
ordinary-wal-inventory-reopen,4,wal-inventory-reopen,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,reopen_wal_inventory(media,Store durability bootstrap,preserve
ordinary-wal-inventory-reopen,5,bounded-enumeration,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,list_file_names_bounded,C4 media owner,preserve
ordinary-wal-inventory-reopen,6,canonical-identity,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,WalSegmentArtifactIdentity::parse,WAL artifact identity meaning,preserve
ordinary-wal-inventory-reopen,7,metadata-byte-bound,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,if byte_count > byte_limit,Store WAL reopen admission,preserve
ordinary-wal-inventory-reopen,8,bounded-allocation,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,try_reserve_exact(allocation),Store WAL bounded memory,preserve
ordinary-wal-inventory-reopen,9,bounded-read,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,read_exact_at(&artifact,C4 media owner,preserve
ordinary-wal-inventory-reopen,10,verified-segment-inspection,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,inspect_verified_wal_segment,WAL segment meaning,preserve
ordinary-wal-inventory-reopen,11,topology-admission,crates/worth-store/src/physical_runtime/durability/wal/inventory/reopen.rs,WalTopologyScan::from_segment_scan,WAL topology meaning,preserve
ordinary-wal-inventory-reopen,12,retained-member-transfer,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,inventory.take_members(),Store durability bootstrap,preserve
ordinary-wal-inventory-reopen,13,idempotency-rebuild,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,rebuild_idempotency(,Store idempotency rebuild,preserve
ordinary-wal-inventory-reopen,14,wal-runtime-owner,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,PhysicalWalRuntimeOwner::from_reopened,Store WAL runtime owner,preserve
ordinary-wal-inventory-reopen,15,inspection-seal,crates/worth-store/src/physical_runtime/durability/wal/runtime_owner.rs,sealed: inventory.requires_inspection,Store WAL runtime owner,preserve
ordinary-wal-inventory-reopen,16,post-reopen-authority,crates/worth-store/src/physical_runtime/instance/durability_bootstrap.rs,durability.install_rebuilt_idempotency(self.rebuilt),Store durability bootstrap,preserve
ordinary-mutation-lifecycle,1,prepared-start,crates/worth-store/src/physical_runtime/record_serving/publication/durable_preparation/prepared.rs,pub fn start(self),Store mutation start port,preserve
ordinary-mutation-lifecycle,2,attempt-registration,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,fn start(,Store mutation lifecycle owner,preserve
ordinary-mutation-lifecycle,3,worker-execution,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,fn run_worker(,Store mutation lifecycle owner,preserve
ordinary-mutation-lifecycle,4,terminal-persistence,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,.persist_mutation_terminal(&terminal),Store idempotency registry,preserve
ordinary-mutation-lifecycle,5,observation-finalization,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,state.counters.record_terminal,Store mutation observation,preserve
ordinary-mutation-lifecycle,6,waiter-notification,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,attempt.publish_terminal(),Store mutation attempt,preserve
ordinary-mutation-lifecycle,7,close-drain,crates/worth-store/src/physical_runtime/durability/lifecycle/managed_work.rs,pub(in crate::physical_runtime) fn stop_and_drain,Store mutation lifecycle owner,preserve
ordinary-mutation-settlement,1,completed-fact,crates/worth-store/src/physical_runtime/durability/mutation/progression/completed.rs,from_root_member(,Store completed progression,preserve
ordinary-mutation-settlement,2,completion-only-acknowledgment,crates/worth-store/src/physical_runtime/durability/mutation/progression/completed.rs,pub fn into_acknowledgment,Store settlement,preserve
ordinary-mutation-settlement,3,proven-no-effect-fate,crates/worth-store/src/physical_runtime/durability/settlement/proven_no_effect.rs,pub struct ProvenNoEffectPhysicalMutation,Store settlement,preserve
ordinary-mutation-settlement,4,indeterminate-fate,crates/worth-store/src/physical_runtime/durability/settlement/indeterminate.rs,pub struct IndeterminatePhysicalMutation,Store settlement,preserve
ordinary-mutation-settlement,5,executed-evidence-projection,crates/worth-store/src/physical_runtime/durability/settlement/acknowledgment.rs,pub fn executed_boundary_evidence,Store evidence projection,preserve
ordinary-mutation-settlement,6,diagnostic-evidence-projection,crates/worth-store/src/physical_runtime/durability/settlement/indeterminate.rs,pub const fn diagnostic_evidence,Store evidence projection,preserve
c8-recovery-handoff,1,checkpoint-drain,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,checkpoint.stop_and_drain(),Store shutdown progression,preserve
c8-recovery-handoff,2,mutation-drain,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,publication.mutations.into_parts(),Store mutation lifecycle owner,preserve
c8-recovery-handoff,3,root-and-wal-extraction,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,recovery_roots: Some(publication.roots),Store publication drain,preserve
c8-recovery-handoff,4,operation-fate-reconstruction,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,self.durability_owner.into_recovery_basis,Store idempotency closeout owner,preserve
c8-recovery-handoff,5,checkpoint-basis,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,PhysicalRecoveryCheckpointBasis::from_latest,Store checkpoint closeout owner,preserve
c8-recovery-handoff,6,residue-classification,crates/worth-store/src/physical_runtime/instance/lifecycle.rs,PhysicalArtifactResidueClassification::new,Store publication residue owner,preserve
c8-recovery-handoff,7,source-profile-binding,crates/worth-store/src/physical_runtime/durability/closeout/handoff.rs,PhysicalDurabilitySourceProfileIdentity::bind,Store durability closeout owner,preserve
c8-recovery-handoff,8,closeout-progression,crates/worth-store/src/physical_runtime/durability/closeout/handoff.rs,fn finalize(,Store sealed closeout progression,preserve
c8-recovery-handoff,9,successor-extraction,crates/worth-store/src/physical_runtime/instance/termination/outcome.rs,pub fn into_recovery_handoff,Store close outcome,preserve
