subsystem_id,subsystem,search_seed,search_scope,current_role,query_9_14_authority,classification,target_action,target_home,phase,manual_resolution,adjudication_status,implementation_status,exit_trigger,completion_evidence
QMOD-015,Replacement admission and application no-op,"WorthUiCandidateAdmission|query_support_receipt|QueryAwarePlanOutcome|NoOp","worth-ui-runtime/src/runtime/replacement/admission;worth-ui-runtime/src/runtime/activation","Uses local Query support and contract digests to admit candidates and classify no-op activation","The single-use Query contract proves support and progression; UI application authority proves complete replacement generation",replace,"Carry unconsumed Query phase values only until candidate no-op dismissal or exact progression into a candidate settlement; publish only through the complete application transaction","worth-ui-runtime/runtime/replacement/admission",6,"Application replacement remains UI-owned but Query readiness must arrive as Query proof",resolved,complete,,"Candidate replacement accepts exact settled Query projection ownership before lowering; comparison contributes to the existing atomic application transaction only and missing Query identity cannot be hidden by semantic no-op classification"
QMOD-016,Query dependency invalidation and topology impact,"WorthUiQueryDependencyInvalidation|WorthUiQueryTopologyImpact|affected_query","worth-ui-runtime/src/runtime/replacement/narrowing;worth-ui-runtime/src/runtime/replacement/impact","Derives which UI nodes and allocation neighborhoods are affected by a binding change","Worth UI owns downstream dependency and allocation impact derived from exact Query binding change",retain,"Keep delta-local UI impact logic and change its inputs to exact comparison evidence","worth-ui-runtime/runtime/replacement/query_impact",7,"Query does not own which UI plan rows consume a binding; this is valid downstream UI derivation",resolved,complete,,"One changed Query binding in 192 unrelated bindings compares two indexed entries and invalidates only eight dependent handles; exact counters remain independent of unrelated application width"
QMOD-017,Execution plan Query links and frame gateway,"WorthUiQueryLaneFactLink|WorthUiQuerySettledFactLink|QuerySettledFact|query_projection","worth-ui-runtime/src/runtime/planning;worth-ui-runtime/src/runtime/execution;worth-ui-runtime/src/runtime/allocation_frame_dispatch","Carries Query binding posture into lowered lanes and converts settled facts into frame ingress","UI owns lowered plan and allocation ingress but not Query support or progression",retain,"Carry compact application-generation-scoped settlement and UI-fact references; remove mirrored posture fields and heavyweight Query phase values from plan rows","worth-ui-runtime/runtime/planning/query_binding;worth-ui-runtime/runtime/allocation_frame_dispatch/gateway",7,"These are required cross-runtime edges rather than a second Query runtime when their inputs remain proof-bearing",resolved,complete,,"Generation-scoped plan links resolve one retained fact directly; stale-generation links deny before allocation submission and virtualized range execution performs one link and evidence lookup for the requested range"
QMOD-018,Query diagnostics and inspection projection,"WorthUiQueryInspection|WorthUiSettledSnapshotInspection|WorthUiExactQueryArtifactInspection|query_reporting_projection","worth-ui-query-binding/src/inspection;worth-ui-runtime/src/runtime/host_observation/diagnostics;worth-ui-runtime/src/evidence/measurement/projection;worth-ui-inspection","Projects Query outcomes and UI allocation relevance for operators and inspection","Query owns stop and progression semantics; UI owns relevance and presentation",retain,"Project exact Query denials warnings counters binding observations and settled-projection references without a local status taxonomy or durable contract claim","worth-ui-query-binding/inspection;worth-ui-runtime/runtime/host_observation/diagnostics;worth-ui-inspection/query_binding",8,"Presentation is not authority; lossy mapping is the defect not the existence of a UI diagnostic projection",resolved,complete,,"Compact and rich inspection retain the exact settled projection and identical outcome identity; evidence richness changes only materialization counters while typed Query denials and warnings remain unflattened"
QMOD-019,Operation-native live projection resource,"WorthUiOperationLiveResource|open_operation|refresh","worth-ui-query-binding/src/operation_live","Owns the Query lease bounded collection consumer admitted invalidation patch translation and exact-once disposal","Query 9.14 installed operation lifecycle sharing invalidation collection window and patch delivery","retain,"Open the installed operation through the Query-owned operating-world entry; retain Query's lease and collection consumer; translate only admitted patch receipts into UI consequences","worth-ui-query-binding/src/operation_live",9,"UI owns allocation consequences but not Query lifecycle invalidation row identity patch meaning or disposal truth",resolved,complete,,"The production lifecycle uses one Query settlement to derive the collection consumer and lease; refresh and typed disposal preserve exact Query outcomes and the predecessor compatibility tree is deleted"
QMOD-020,Live binding succession and rebind,"WorthUiPreparedQueryBindingSuccession|WorthUiQueryBindingSuccessionChange|query_succession","worth-ui-query-binding/src/entry/succession.rs;worth-ui-runtime/src/runtime/replacement/query_succession","Coordinates UI replacement preservation rebind retirement and denial for operation-native Query resources","Query owns live capability and lease lifecycle; UI owns which active UI binding succeeds another",retain,"Base succession on exact current Query binding settlement and operation-native lifecycle evidence","worth-ui-query-binding/entry/succession;worth-ui-runtime/runtime/replacement/query_succession",9,"UI succession is application ownership rather than Query operation lineage",resolved,complete,,"Exact installed references drive preserve rebind and retirement; stale or foreign references deny before publication and fallible precommit interruption reaps candidate resources while preserving prior active ownership"
QMOD-021,Public Query binding facades,"facade/query_binding|pub use.*WorthUiQuery|operation_live","worth-ui-query-binding/src/lib.rs;worth-ui-runtime/src/facade/query_binding.rs;worth-ui/src/facade/query_binding.rs","Expose audience-safe Query installation settlement lifecycle and application binding surfaces","Worth UI facade may expose UI capabilities while Query construction authority stays sealed in Query types",retain,"Curate one lifecycle-ordered facade and exclude local Query posture prerequisite and compatibility constructors","worth-ui-query-binding/src/lib.rs;worth-ui-runtime/src/facade/query_binding.rs;worth-ui/src/facade/query_binding.rs",8,"A facade is required; breadth and authority leakage are the risks",resolved,complete,,"The facade exposes installed-operation progression exact settlement operation-native live refresh typed disposal and inspection; no compatibility module or locally minted Query authority remains"
QMOD-022,Query certification fixtures and lifecycle scenarios,"installed_projection_fixture|query_consumer_kit_vertical_journey|query_replacement_lifecycle|for_test","worth-ui-query-binding/src/certification;worth-ui-certification/tests/application_contracts;worth-ui-runtime/src/runtime/tests","Mixes useful real lifecycle scenarios with manufactured local posture and digest fixtures","Real Query Consumer Kit operating-world progression is the proof source",replace,"Replace manufactured support basis settlement and digest authority with real Query installation execution publication consumption and settlement; extend existing targets","worth-ui-certification/tests/application_contracts/query_consumer_kit_vertical_journey;worth-ui-certification/tests/application_contracts/query_replacement_lifecycle",10,"Tests must expose weakness in production boundaries rather than prove that renamed migration tokens disappeared",resolved,complete,,"The existing application_contracts target writes real .wui bytes and completes install bind execute publish consume settle lower activate frame inspect replace and cleanup; its scenario family also proves foreign stale mixed equal-digest unsupported partial duplicate-mint interruption and live-compatibility denials without source sentinels or new test targets"
QMOD-023,Runtime identity-state-Query residue certification,"WorthUiStateQueryResidueScan|WorthUiRuntimeQueryStateObservation|strict_residue_scan","worth-ui-runtime/src/runtime/host_observation/identity_state_query_certification;worth-ui-query-binding/src/entry/observation/query_state_observation.rs","Examines actual active state for orphan durable state stale live binding and UI-local status residue","UI owns active application coherence; Query owns contract and stop truth",retain,"Keep runtime-state coherence certification but replace local-status probes with exact installed-authority binding settlement-slot and settled-projection coherence; active state must not claim to retain the consumed contract","worth-ui-runtime/runtime/host_observation/identity_state_query_certification",10,"This is a behavioral state scan not a source migration sentinel; it remains valuable after its mirrored-status premise is removed",resolved,complete,,"The scan derives Query installation reference currentness retained settlement and live-resource counts from active production stores and joins them to generation-scoped plan-link membership; stale installed references deny strict certification and Query-free observation proves no dummy Query world"
QMOD-024,Replay aftermath and operation lineage,"WorthQueryReplay|WorthQueryAftermath|WorthQueryLineage|reexecution","all Worth UI production crates","No production matches found in the initial broad search","Query cert-only replay aftermath and data-lineage semantics do not model ordinary UI binding replacement",unrelated,"Do not import these surfaces for 3.9.1 and do not reinterpret live binding succession as operation lineage","none",9,"Absence is a manually resolved semantic decision not a permanent grep assertion",resolved,no-action,,"Review confirms UI ordinary lanes use execution outcomes only; no migration test enforces token absence"
QMOD-025,Crate dependency boundary,"worth-query|worth-query-decl|worth-query-host|worth-query-replay","workspaces/worth-ui/crates/*/Cargo.toml;tools/boundary-check/config/road1.toml","Controls which Worth UI crates can reach Query audience facades","Road-1 boundary configuration is the machine authority for allowed dependency direction",replace,"Permit worth-ui-query-binding as the sole production importer of worth-query; runtime and inspection consume binding-owned artifacts and certification remains the explicit hostile-fixture exception; never admit replay to ordinary crates","Cargo.toml;tools/boundary-check/config/road1.toml",10,"Dependency enforcement is appropriate mechanical proof because it guards authority direction rather than migration spelling",resolved,complete,,"Boundary check and generated agent-context check pass with one production Query importer and no ordinary replay dependency"
QMOD-026,Authored Query binding and view registration,"worth_ui_query_binding_semantics|QueryViewRegistration|QueryDenialPresentation","worth-ui-runtime/src/source/lower/binding_semantics;worth-ui-runtime/src/capability/registry/view_binding","Owns authored UI references result-shape needs and denial presentation policy","Worth UI owns authoring and presentation; Query owns bound operation legality and runtime support",retain,"Keep authored UI meaning and resolve it to installed operation references during preparation rather than constructing Query declarations","worth-ui-runtime/source/lower/binding_semantics;worth-ui-runtime/capability/registry/view_binding",3,"These declarations are UI product meaning and must not be deleted merely because their names contain Query",resolved,complete,,"Production filesystem ingress over real .wui bytes and Rust source ingress preserve distinct provenance yet resolve equal installed references and the same Query binding identity"
