subsystem_id,subsystem,search_seed,search_scope,current_owner,current_artifact,current_authority,classification,target_action,target_owner,weakened_output,lifecycle,denial,cost_contract,eventual_disposition,phase,manual_resolution,adjudication_status,implementation_status,completion_evidence
M310I-011,"Graph-mounted authority seed and slot store","UiMountedReceiptAuthoritySeed; UiMountedReceiptAuthoritySeedStore; UiMountedReceiptSlot","worth-ui-runtime/src/graph/mounted_receipt","worth-ui-runtime graph","Mutable per-node seed and slot storage used to mint mounted receipt transitions","Current minting and storage authority for the one-to-one model","moved","Move mount lifecycle minting and zero-to-many indexes under runtime mounting while graph provides semantic bases","worth-ui-runtime/mounting/identity and indexes","Inspection can project current relationships but cannot mint or mutate","Runtime world plus mount-incarnation lifecycle rather than graph slot lifetime","Duplicate active incarnation stale removal and cross-world mutation deny atomically","O(changed instances and affected indexes)","Delete graph-owned mounted authority after consumers use mounting indexes","2","Physical ownership must move because mount lifecycle and host surface are not graph truth","resolved","complete","Phase 2 performs the mechanical move and validates every consumer"
M310I-012,"Mounted receipt mutation and transition","UiMountedReceiptMutation; UiMountedReceiptTransition","worth-ui-runtime/src/graph/mounted_receipt","worth-ui-runtime graph","Per-graph-node install replace remove transition","Operational mutation authority for the predecessor mounted index","replaced","Use typed mount reorder unmount remount and surface/frame transitions over explicit instance cardinality","worth-ui-runtime/mounting/identity and indexes","Transition diagnostics are terminal projections only","One atomic mounting-index delta","Stale foreign duplicate and invalid lifecycle transitions deny without partial mutation","O(changed instances plus affected indexes)","Remove predecessor mutations after Phase 2 cutover","2","Reorder and remount are semantically different even if node and repeated basis look equal","resolved","complete","Mount reorder unmount remount rebind frame and retirement transitions now operate on explicit instances; graph policy retains only BecomeEligible and BecomeIneligible posture transitions"
M310I-013,"Semantic surface identity","semantic surface; application window; preview world; portal target","No current dedicated owner; related placement meaning appears across graph planning and host paths","worth-ui-runtime","Missing explicit runtime-owned UI placement identity","No current authority type","refined","Add owner-minted UiSemanticSurfaceIdentity separate from any native handle","worth-ui-runtime/mounting/identity with inert contract view in worth-ui-host-contract","Names and labels are inspection only","Runtime semantic placement lifetime independent of native registration","Unknown foreign or retired semantic surface denies mounting","O(1) identity checks","Introduce in Phase 2 and use in every mounted instance and required manifest","2","This is a missing concept rather than a rename of renderer-surface or preview-host identity","resolved","complete","Phase 2 creates and integrates the identity"
M310I-014,"Host surface registration identity","host surface; native registration; renderer surface handle","worth-ui-runtime realtime renderer surfaces; worth-ui-host adapters","worth-ui-host-contract and adapters","Existing native-looking handles are lane-specific and not a session-scoped general registration","Insufficient proxy authority","refined","Add host-session-owned UiHostSurfaceIdentity with known-empty registration lifecycle","worth-ui-host-contract/mounted_frame/identity plus adapter registration","Native handles remain private adapter mechanism","Registration begins from known-empty and dies at deregistration or session end","Unclassified preexisting native surface and foreign session deny","O(1) registration lookup per required surface","Introduce general host-surface identity without reusing renderer widget or OS handle","2;5","Semantic and native surface rows stay distinct because their owners and death conditions differ","resolved","complete","Phase 2 introduces identity and Phase 5 validates registration"
M310I-015,"Surface binding generation","surface binding; device scale; capability profile; coordinate posture","Current values are distributed across host capability and lane-specific targets","worth-ui-runtime and worth-ui-host-contract","No exact generation-bound semantic-to-native association exists","No current unified authority","refined","Add owner-minted binding generation joining one semantic surface one host surface session capability scale coordinate resource and presentation mode","worth-ui-runtime/mounting/identity and host_exchange/presentation_admission","Projected capability summaries are weaker than the binding","Frozen for one presentation attempt; reset or deregistration ends currentness","Missing stale foreign unsupported or changed binding denies before effects","O(required surfaces) validation with no node cross product","Introduce and make every surface receipt and presentation attempt carry it","2;5","A matching pair of surface labels cannot substitute for an exact binding generation","resolved","complete","Phase 2 defines it and Phase 5 enforces it"
M310I-016,"Mounted node projection and indexes","mounted index construction; obligation touch target; graph mounted receipt index","worth-ui-runtime/src/graph and runtime planning/execution consumers","worth-ui-runtime","Current one-to-one graph-node receipt index used by downstream touch and execution","Operational lookup authority under the predecessor identity model","moved","Project admitted semantic meaning into frame-scoped node receipts and maintain explicit graph-to-many instance and surface indexes","worth-ui-runtime/mounting/node_projection and indexes","Inspection views are bounded projections and never operational indexes","Initial closure then changed-instance deltas","Missing required basis stale source duplicate instance or disclosure violation denies complete projection","Initial O(mounted closure); steady O(changed instances plus affected indexes)","Cut every consumer to mounting-owned indexes and delete graph-owned index authority","2;3","Index construction is part of the same host-boundary migration as frame assembly because it supplies the only legal mounted inputs","resolved","complete","Phase 2 establishes indexes and Phase 3 projects complete receipts"
M310I-017,"Prepared mounted frame","prepared frame; complete candidate","No current equivalent; nearest values are lane envelope and cross-lane execution bundle","worth-ui-runtime","Missing complete sealed pre-effect frame artifact","No current authority","refined","Add UiPreparedMountedFrame carrying exact basis required surface manifest protocol schema integrity cost recovery and diagnostic disposition","worth-ui-runtime/mounting/frame_assembly with inert receipt in worth-ui-host-contract","Optional traces are policy-bounded sidecars with typed omission","Assembly attempt through presentation admission or drop","Incomplete mixed foreign over-budget or disclosure-invalid candidate denies before effects","O(changed mounted projection plus compact batches and affected surfaces)","Introduce as the only input to presentation admission","4","Prepared is neither presented nor published and therefore requires its own row","resolved","complete","Phase 4 creates and validates the artifact"
M310I-018,"Presentation evidence","presentation outcome; host disposition","Current WorthUiHostOutputDisposition is only Consumed or Rejected","worth-ui-host-contract","Weak synchronous disposition with no all-surface or effect-state proof","No complete presentation authority exists","replaced","Add typed complete per-surface evidence aggregated into presented pending rejected-before-effects or indeterminate outcome","worth-ui-host-contract/mounted_frame/presentation_outcome plus worth-ui-runtime/mounting/presentation_reconciliation","Telemetry and labels cannot satisfy a completion","Attempt-scoped through publication or reconciliation","Partial completion lost result cancellation and effects-may-have-begun never classify as success","O(required surfaces and received completions) with bounded in-flight state","Replace disposition before publication uses presentation results","5","Presentation evidence cannot be inferred from adapter return text or receipt equality","resolved","complete","Phase 5 introduces it and downstream Phase 6 consumes only complete evidence"
M310I-019,"Publication evidence and current tuple","WorthUiApplicationPublicationObservation; current application plan allocation publication","worth-ui-runtime/src/facade/entry/application_replacement and runtime activation owners","worth-ui-runtime","Replacement publishes application plan and allocation truth without a required matching mounted frame","Current runtime publication authority but incomplete tuple","refined","Atomically publish application graph plan allocation mounted indexes and matching presented frame after all fallible work","worth-ui-runtime/mounting/publication and replacement/mounted_publication","Inspection observation is a read-only projection of current truth","One current generation with bounded predecessor retention","Failed preparation/rejection preserves predecessor; indeterminate blocks affected bindings; infallible commit after presentation","O(1) total commit over fully prepared replacement handles; no allocation or external effect","Extend the current tuple and make replacement converge through the same publication owner","6","Publication evidence is distinct from host presentation evidence and current replacement observation","resolved","complete","Phase 6 integrates ordinary and replacement publication"
M310I-020,"Cross-lane execution bundle","WorthUiCrossLaneExecutionBundle and lane receipts","worth-ui-runtime execution and application_contracts/cross_lane_bundle_execution.rs","worth-ui-runtime","Already combines admitted lane execution evidence without presenting it","Useful frame-assembly input but not host authority","retained","Retain lane execution ownership and feed sealed contributions into mounting frame assembly","worth-ui-runtime/mounting/frame_assembly","Lane summaries remain internal diagnostics unless explicitly projected","One framework turn","Lane failure prevents complete candidate and causes no host effect","O(participating lanes and requested work)","Keep as internal input; never expose it as a second host frame","4","This is the honest retained bridge from 3.9 execution to 3.10 mounting","resolved","complete","Phase 4 consumes it without changing its upstream authority"
M310I-021,"Direct preview paint input and host trait","UiHostPreviewPaintInput; WorthUiPreviewPaintHost","worth-ui-runtime/src/host/preview_paint.rs","worth-ui-runtime host facade","Separate preview painting callback with allocation and graph-shaped input","Competing ordinary native-effect authority","deleted","Route preview semantic surface through mounted projection frame assembly and the canonical adapter contract","worth-ui-runtime/mounting and worth-ui-host-contract mounted frame","Preview diagnostics may identify a semantic surface but cannot paint directly","Current completion-local callback; successor follows mounted-frame lifecycle","Preview preparation or presentation uses ordinary typed denials","No extra traversal beyond the affected preview surface and mounted delta","Delete trait input and facade exports after mounted preview proves parity","4;7","Preview paint lane-local presentation and mounted-index construction are one migration not independent cleanups","resolved","complete","Phase 4 admits preview into frame assembly and Phase 7 deletes direct paint"
M310I-022,"Preview completion resolution and discard","resolve_preview_paint; discard_preview_paint","worth-ui-runtime/src/runtime/allocation_frame_dispatch/framework_turn/completion.rs and drag_resize tests","worth-ui-runtime","Caller chooses direct paint or discard after framework transition","Alternative effect and lifecycle decision outside canonical frame publication","deleted","Represent preview contribution preparation denial supersession and publication in mounted-frame outcomes","worth-ui-runtime/mounting/frame_assembly and publication","Discard reason may survive as a diagnostic cause only","Framework completion today; mounted candidate lifecycle later","Superseded candidate is typed pre-effect non-publication","O(affected preview contribution)","Remove public completion methods and migrate callers/tests to mounted outcomes","4;7","A compatibility wrapper would preserve the bypass and is forbidden","resolved","complete","Phase 4 models the successor and Phase 7 deletes methods and call sites"
M310I-023,"Solicited measurement observation","UiHostObservation","worth-ui-host-contract/src/runtime/measurement_request/host_observation.rs; worth-ui-runtime host measurement admission","worth-ui-host-contract and worth-ui-runtime","Typed response to a runtime-issued measurement request with request family payload and evidence","Request-response measurement evidence tied to current measurement session","refined","Rename and move under measurement_exchange while preserving request affinity and admission semantics","worth-ui-host-contract/measurement_exchange and worth-ui-runtime/host_exchange/measurement_admission","Diagnostic projections of measurement posture cannot be readmitted","One solicited exchange request through admitted result or denial","Unsolicited stale foreign malformed or duplicate response denies","O(1) envelope validation plus payload-specific work","Retain behavior under a semantically precise name; do not merge with general reports","8","The current type is not the new report stream despite its host-observation name","resolved","complete","Phase 8 performs the rename and facade cutover"
M310I-024,"General raw host report","pointer report; keyboard report; focus report; scroll report; tick report; text or IME report","No current general report artifact","worth-ui-host-contract","Missing bounded host-mechanics return path","No current authority; native mechanics are external untrusted input","refined","Add UiRawHostObservationReport and bounded batch carrying protocol session surface frame basis family sequence and time basis","worth-ui-host-contract/observation_report and host adapters","Raw report is never semantic UI truth","Report batch lifetime through validation or drop","Malformed oversized duplicate reordered stale foreign unsupported or blocked-binding report denies or coalesces per declared policy","O(batch size) with explicit batch queue and retention bounds","Introduce as the only general host-report transport","8","Raw and validated reports require separate rows because validation does not grant semantic admission","resolved","complete","Phase 8 adds host contract and adapter emission"
M310I-025,"Validated host report","validated report; observation admission","No current general report validator","worth-ui-runtime","Missing structurally admitted but semantically weak report artifact","No current authority","refined","Validate shape provenance protocol sequence generation bounds and blocked-binding posture into UiValidatedHostObservationReport","worth-ui-runtime/host_exchange/observation_report_validation","Validated mechanics remain semantically unadmitted for Milestone 3.12","Validation result through handoff or bounded retention","Duplicate reorder stale foreign overflow shutdown and indeterminate-binding reports produce typed outcomes without reentrancy","O(batch size plus O(1) sequence state per binding)","Introduce and hand only to the future 3.12 intake owner","8","Structural validation is not UI semantic admission and creates no reverse authority edge","resolved","complete","Phase 8 adds validator and public inspection handoff"
M310I-026,"Runtime measurement request and admission","measurement_request_boundary; host measurement session; result construction","worth-ui-runtime/src/host and runtime host measurement modules","worth-ui-runtime","Issues typed requests validates matching host evidence and publishes measurement consequences","Current solicited exchange authority","retained","Retain semantics and relocate facade ownership to host_exchange/measurement_admission as needed","worth-ui-runtime/host_exchange/measurement_admission","Inspection remains terminal","Request-response session lifetime","Current stale foreign unsupported and malformed denials remain exact","Existing bounded request and payload costs; no general report queue participation","Keep operational path separate from general reports","8","Only naming and physical boundary need refinement; the authority progression is already the correct product","resolved","complete","Phase 8 preserves existing hostile measurement controls while renaming the contract"
M310I-027,"Application replacement candidate and retry","WorthUiApplicationReplacementCandidate; retry and receipt","worth-ui-runtime/src/facade/entry/application_replacement","worth-ui-runtime","Prepares and atomically publishes admitted application plan and allocation replacement","Current replacement transaction authority","refined","Prepare matching mounted indexes and frame then present and atomically publish the expanded tuple through mounted_publication","worth-ui-runtime/replacement/mounted_publication and mounting/publication","Replacement observations remain inspection only","Candidate transaction through preserve publish retry or denial","Any mounted preparation or presentation failure preserves the predecessor tuple; indeterminate blocks reconciliation","Linear in changed application and affected mounted closure; no unrelated Query width","Retain candidate lifecycle but remove early publication route","6","Replacement must converge with ordinary frame publication rather than owning a parallel mounted path","resolved","complete","Phase 6 integrates candidate and retry with the single publication owner"
M310I-028,"Allocation and current plan activation","committed allocation; current plan activation; allocation publication","worth-ui-runtime runtime planning allocation and activation","worth-ui-runtime","Admitted upstream truths consumed by execution and replacement","Exact upstream authority independent of host presentation","retained","Carry opaque exact basis references into mounting without exposing or reminting upstream authority","worth-ui-runtime mounting/frame_assembly and publication","Inspection projections cannot serve as frame basis","Active generation plus candidate transaction","Stale foreign or mixed basis denies preparation","O(1) basis checks plus affected mounting work","Retain upstream owners; extend atomic current tuple only","4;6","Mounting consumes references but must not absorb plan or allocation ownership","resolved","complete","Phase 4 binds them and Phase 6 publishes the matching tuple"
M310I-029,"Active application and host session identity","active application generation; operational host kind and capability posture","worth-ui-runtime application authority; worth-ui-host-contract runtime host contract","respective runtime and host owners","Current identities and capability facts exist but are not all carried by host output","Partial exact authority","refined","Retain owner authority and require opaque affinity in mounted instance frame binding and presentation admission","worth-ui-runtime/mounting and host_exchange; worth-ui-host-contract protocol","Projected labels and capability summaries are weaker views","Application generation and host session lifetimes remain distinct","Foreign stale unsupported or reset basis denies before effects","O(1) exact checks plus O(required capabilities) negotiation","Preserve owners and make their relationship explicit without merging identities","2;5","Same digest-looking value never joins application and host-session lifecycles","resolved","complete","Phases 2 and 5 integrate exact affinities"
M310I-030,"Host capability and protocol version","WorthUiHostCapabilities; WorthUiHostKind; current host contract","worth-ui-host-contract/src/runtime","worth-ui-host-contract","Basic adapter capability and kind reporting without mounted schema negotiation","Host-owned mechanical capability evidence","refined","Add explicit protocol identity version negotiation and mounted observation and measurement schema compatibility","worth-ui-host-contract/protocol and capability_report","Human-readable capability diagnostics are weaker than negotiated evidence","Host session with reset and renegotiation lifecycle","Unsupported version or capability denies before effects and is never reinterpreted","O(1) version checks plus required capability set","Retain capability ownership while strengthening protocol contract","5","Capability remains host mechanics; runtime validates it but does not invent it","resolved","complete","Phase 5 negotiates the mounted protocol"
M310I-031,"Inspection and diagnostic host projections","runtime/host_observation diagnostics_projection; host output inspection","worth-ui-runtime/src/runtime/host_observation and worth-ui-host-contract/src/inspection","worth-ui-runtime and inspection owners","Reporting surfaces over runtime lane replacement and host facts","Terminal observation only but physically mixed with operationally named containers","diagnostic-only","Move or refine mounted frame inspection under inspection/mounted_frame and keep diagnostics out of admission","worth-ui-runtime/inspection/mounted_frame and existing diagnostic owners","All outputs are intentionally weakened and non-readmissible","Explicit observation request with bounded retained evidence","Omitted expired redacted or unavailable evidence remains typed and never reconstructed","Bounded by requested rows and named retention","Retain reporting behavior but split physical owners from measurement and general report validation","6;8","The current runtime/host_observation container cannot be renamed wholesale because it contains multiple responsibilities","resolved","complete","Phases 6 and 8 establish narrow owners and terminal facades"
M310I-032,"Existing application-contract certification owner","application_contracts; cross_lane_bundle_execution; headless_host_execution; egui_host_execution; filesystem lifecycle","worth-ui-certification/tests/application_contracts and src/scenario","worth-ui-certification","Consolidated real lifecycle proof owner with real adapters filesystem and watcher scenarios","Certification authority only","certification-only","Add mounted lifecycle recovery and bounded-trace child modules plus immutable scenario worlds and scripted host","worth-ui-certification existing application_contracts and src/scenario","Scripted host proves protocol state only; model and adapter observations remain independent","Per-scenario isolated lifecycle with deterministic trace identity and teardown","Fault worlds entered only through named fault fixtures; zero retries","Existing compiled target; no new Cargo target or fixture workspace","Extend existing owner and keep observers independent","2-10","Certification topology is retained; new proof must not create per-phase binaries or counterfeit runtime branches","resolved","complete","The existing application_contracts target now carries 140 cases including mounted 2x2 parity real disk/watcher successor ordered hostile seams adapter projection and multi-surface recovery; the integration-target count remains nine"
M310I-033,"Real filesystem and operating-system watcher lifecycle","filesystem_source_provider; operating_system_watcher; filesystem_application_lifecycle","worth-ui-runtime source ingress and worth-ui-certification scenarios","worth-ui-runtime plus certification observer","Actual .wui bytes production reader watcher delivery replacement and adapter execution","Real external-boundary evidence for current application lifecycle","certification-only","Extend the same lifecycle through mounted frame presentation and public current-tuple observation","worth-ui-certification application_contracts mounted_application_lifecycle","Fixture paths and timestamps are evidence only","Fresh isolated directory through watcher settlement replacement frame publication and teardown","Timeout event loss stale generation or teardown failure is explicit; zero retries","Named fixture startup watcher settlement execution and teardown measurements","Retain and extend in Phase 10; do not duplicate with fake file writes","10","This is the required real end-to-end world and supplies opening external-startup evidence in Phase 1","resolved","complete","real_file_mount_measure_preview_and_watcher_edit_publish_one_mounted_successor performs actual .wui creation production acquisition OS watcher delivery mounted replacement publication and teardown; seven filtered external-boundary cases retain a 7.274-second warm median"
M310I-034,"Compile dependency topology and boundary enforcement","compile_contracts; host_contract_only_adapter; check_worth_ui_test_topology; boundary-check; agent-context","scripts/ci; worth-ui-certification fixtures; tools","repository enforcement owners","Two compile sessions dependency-only adapter and machine dependency contract","Compiler-visible and machine-readable boundary evidence","retained","Extend only irreducible mounted construction and dependency denials while keeping existing sessions and targets","existing compile-contract dependency-contract topology boundary and agent-context owners","CSV rows and path absence are not enforcement","Repository and milestone lifetime","Illegal construction import or dependency makes the gate fail","Maximum two compile Cargo sessions zero trybuild sessions and existing target budget","Retain; amend budget only with explicit reviewed evidence","1;7;10","The CSV documents intent but road1.toml and generated contexts remain actual dependency authority","resolved","complete","The exact gates pass with 15 fail targets 9 pass targets and two Cargo sessions; a real standalone host_contract_only_adapter compiles against only worth-ui-host-contract; topology boundary agent-context and 30 exact Phase 10 authority rules pass"
M310I-035,"Solicited measurement capability family","FontMetrics; TextIntrinsicMeasurement; TextBaselineMeasurement; NativeControlIntrinsicMeasurement; ViewportObservation; DpiObservation; PortalAnchorObservation; ScrollContainerObservation","worth-ui-host-contract/src/runtime/host_capability.rs and measurement_request","worth-ui-host-contract and worth-ui-runtime measurement owner","Eight capabilities required by typed measurement request families; viewport and DPI may also participate in exact surface-binding mechanics","Host capability evidence gates owner-minted solicited requests but grants no general report or presentation authority","retained","Keep all eight behind measurement_exchange and measurement_admission; bind viewport and DPI mechanics separately when surface admission requires them","worth-ui-host-contract/measurement_exchange and capability_report; worth-ui-runtime/host_exchange/measurement_admission and presentation_admission","Capability labels profile digests and general raw reports cannot satisfy a solicited request","Host session capability observation plus one request-response exchange","Missing ambiguous diagnostic-only stale or foreign capability evidence denies before request construction or result admission","O(required capability set) negotiation and existing bounded payload-specific work","Retain exact family coverage under renamed measurement surfaces","5;8","All eight current measurement capabilities are enumerated; dual-use viewport or DPI mechanics do not merge binding and measurement authority","resolved","complete","Phase 5 binding admission and Phase 8 measurement rename preserve every named family"
M310I-036,"Interaction accessibility and capture capability family","TextInput; Ime; Accessibility; VisualCapture","worth-ui-host-contract/src/runtime/host_capability.rs and host adapters","worth-ui-host-contract and adapters","Four native-mechanics capabilities currently declared by egui or authored host posture","Host capability evidence only; no current mounted projection or general report protocol closes their use","refined","Map text and IME mechanics to raw reports plus mounted participation; accessibility and capture to audience-scoped mounted projection and adapter translation without granting UI policy","worth-ui-host-contract/mounted_frame participation and observation_report; worth-ui-host-egui mounted_translation and observation_translation","Authored declarations screenshots widget IDs and capability profile digests remain insufficient","Exact host session binding and presented-frame/report lifecycles","Unsupported missing foreign stale or disclosure-invalid capability use denies before effects or report admission","O(required projection and actual report batch) with bounded capture/accessibility evidence","Retain capability names and close their actual protocol routes","3;5;8","The host owns mechanics only; semantic focus input meaning accessibility meaning and capture disclosure remain runtime-owned","resolved","complete","Phases 3 5 and 8 wire each capability to a typed mechanical contract"
