id,closure_claim,evidence_required,status,evidence
P3-11,"Opaque occlusion and half-open edge behavior are exact.","VS-04 geometry oracle and mutation controls.","PROVED","The real egui point journey first asserts the sealed 160x96 logical to 200x120 physical transform, then proves the frontmost opaque order-7 fill terminates the contributor stack at one row even where order-3 paint also overlaps. It derives the hit-only rectangle [10,190) x [10,110) from the authored canonical box and 1.25 scale, proving (189,109) hits declaration 1 while (190,109) does not. Focused spatial tests independently preserve clipping, partial-offscreen projection, disjoint regions, and right-edge exclusion."
P3-12,"Region adjudication is many-to-many, ordered, bounded, and complete-postured; capture failures cannot masquerade as reachable receipt-query branches.","Disjoint, empty, and candidate/result truncation tests plus capture-outcome topology evidence for unsupported, stale, expired, transform, and affinity failures.","PROVED","application_contracts::visual_identity::{real_egui_region_adjudication_is_many_to_many_and_complete_postured,real_egui_region_budgets_distinguish_candidate_and_result_truncation} prove exact ordered five-fragment opaque subtraction, empty-complete outside geometry, candidate exhaustion, and exact result-prefix truncation through the production receipt API. phase_2_outcomes proves unsupported capability, invalid transform, and affinity-indeterminate conditions terminate as typed capture outcomes before any receipt exists; phase_2_lifecycle proves predecessor supersession/retention. UiVisualRegionCompleteness intentionally contains only Complete, EmptyAndComplete, and Truncated because a live linear receipt cannot also be stale, expired, transformless, or affinity-indeterminate."
P3-13,"Snapshot-bound point and region values cannot cross snapshot or surface affinity.","Compile twins and dynamic foreign-affinity tests.","PROVED","compile-contract failures snapshot_coordinate_cannot_escape.rs and snapshot_region_cannot_escape.rs prove invariant point/region brands cannot leave one receipt scope, while governed_visual_snapshot_lifecycle.rs proves their valid twins. phase_2_lifecycle::current_target_requires_one_unambiguous_presented_surface dynamically denies ambiguous multi-surface selection; raw_target_construction_is_rejected.rs prevents callers from constructing a foreign surface or snapshot target, so no dynamic raw-affinity input exists to accept."
P3-14,"Frame, node, and region capture targets derive from live retained authority.","Target provenance and pixel-extent tests.","PROVED","application_contracts::visual_snapshot::target_lifecycle proves an unselected mounted frame returns NodeSelectionRequired, an instance-selected retained frame alone seals the exact node-receipt target, and a receipt-scoped region alone consumes the parent into a derived target. The retained crop mints a distinct child snapshot, cites its immediate parent, preserves full index structures under child correlation identities, carries exact [1,0]-[2,1] extent and DerivedSnapshotCrop provenance, copies the independently known RGBA byte [4,5,6,255], reports zero host transfer and no additional host call, and denies a point outside the captured extent. Missing required historical pixels return HistoricalPixelsUnavailable without repaint; derived cancellation is BeforeHostRequest. The compile pass owns valid node/region construction and raw_target_construction_is_rejected.rs makes all target fields unavailable."
P3-15,"Identity tracing begins at the mounted receipt and uses retained indexes only.","Repeated mount, remount, and no-scan evidence.","PROVED","The public point journey can enter trace projection only from UiVisibleRegionRecord or UiHitTestRegionRecord.node_receipt sealed in the receipt-owned indexes. resolve_identity_trace joins that opaque receipt through UiMountedIdentityTraceBasis::node_for_receipt_with_probes, then exact graph-node, declaration, and authored-provenance indexes; no graph, declaration, wire, or raw identity entry exists. The real journey asserts receipt, instance, incarnation, graph, declaration, authored provenance, canonically ordered deduplicated typed evidence, and nonzero trace probes. The retained replacement/remount tests independently prove old-generation retention and newly minted receipt/instance/incarnation identities without losing authored affinity."
P3-16,"Diagnostic or wire identity projections cannot re-enter runtime trace APIs.","Compile contracts and topology audit.","PROVED","Public trace construction has no identity-valued entry point: adjudication begins only from receipt-branded UiSnapshotClientPixel/UiSnapshotClientRegion values and resolve_identity_trace remains crate-private and receipt-first. raw_target_construction_is_rejected.rs, snapshot_coordinate_cannot_escape.rs, and snapshot_region_cannot_escape.rs prove diagnostic integers, raw targets, and foreign branded coordinates cannot enter; the Phase 3 topology contract permits trace assembly only in worth-ui-runtime/inspection/visual_snapshot/identity_trace.rs and exposes immutable inspection evidence, never a runtime-authority constructor."
P3-17,"Query budget exhaustion returns incomplete evidence rather than a false exact result.","Adversarial candidate-budget tests.","PROVED","UiVisualInspectionPolicy query-result and query-candidate authority is projected into each sealed receipt as UiVisualQueryBudget and required by the production index API. application_contracts::visual_identity::real_egui_point_budget_exhaustion_is_typed_incomplete seals the real overlapping filesystem/egui world with one admitted candidate and proves both visible and hit outcomes return Incomplete carrying that exact budget after exactly one considered candidate. inspection::visual_snapshot::spatial::tests::overlapping_point_candidates_stop_at_the_explicit_budget independently proves a 64-way overlap stops at seven retained candidates, reports exhaustion, and stays within the declared probe bound."
P3-18,"Snapshot and query costs expose region, index, probe, candidate, trace, lease, and retained-byte work while ordinary frames stay zero.","Structural counter tests at 1, 1024, and admitted maximum.","PROVED","spatial::tests::{validation_preserves_disjoint_typed_mechanics_and_half_open_edges,sparse_1024_record_index_uses_bounded_point_probes,cost_bounds::production_maximum_overlap_is_exactly_bounded_and_fully_accounted} prove exact examined-record and retained-structure accounting at small, 1,024 sparse, and the production-default 4,096-way overlap; the maximum returns all 4,096 within the declared bound and 4,095 reports exhaustion. visual_identity point/region scenarios prove probe, candidate, trace, budget, and retained-byte receipts; target_lifecycle proves a derived four-byte crop reports requested 4, transferred 0, retained 4, transforms 0. cross_lane_bundle_execution::assert_ordinary_visual_lane_is_cold proves ordinary frame visual counters remain [0;11]."
P3-19,"Disposing indexes, traces, and artifacts preserves mounted runtime truth and releases all derived resources.","Dispose-then-inspect and shutdown tests.","PROVED","application_contracts::visual_snapshot::target_lifecycle proves linear parent-to-child transfer, local derived completion, typed missing-pixel termination, pre-host cancellation, explicit child disposal, and continued mounted-frame inspection. phase_2_lifecycle::snapshot_cost_and_disposal_leave_mounted_publication_live proves registered pixel release returns the snapshot lease class to zero, preserves current inspection, and permits successor publication; visual_identity scenarios dispose geometry receipts while retaining mounted truth, and shutdown accounting owns any remaining registered resources."
P3-20,"VS-03, VS-04, VS-05, VS-08 and all focused, broad, warnings, composition, ledger, boundary, and context gates are green.","Final Phase 3 QA loop.","PROVED","Exact final source passes 7 focused runtime visual-snapshot tests, 8 real visual-identity application scenarios, 198 application contracts, and 122 topology contracts. The canonical compiler matrix passes 33 fail and 13 pass targets in exactly 2 Cargo sessions; the test-topology checker and all 32 mutation/meta-tests pass. cargo fmt --check and full workspace/all-target/all-feature clippy -D warnings pass; warnings-denied checks cover runtime, inspection, product, and certification. Dirty-function scrutiny reports only the 15 pre-existing advisories and zero scan errors; a strict tracked-plus-untracked 19,787-file Rust audit finds no unallowlisted file over 400 lines. boundary-check reports valid Road 1 topology, agent-context check passes, git diff --check is clean, and the Phase 3 machine contract/ledger audit closes the exact VS-03, VS-04, VS-05, and VS-08 records."
