subsystem_id,subsystem,search_seed,search_scope,current_role,query_9_14_authority,classification,target_action,target_home,phase,manual_resolution,adjudication_status,implementation_status,completion_evidence
Q914C-013,Replacement Query authority drift,"authority_drifts|active_binding_identity|candidate_binding_identity","worth-ui-runtime/src/runtime/replacement/query_binding/authority_drift.rs","Combines exact installed-reference equality with copied Query binding identity equality","Query provides named same-installation compatibility replacement rebind and lifecycle questions; UI separately compares authored meaning",replace,"Ask the binding owner the exact named relationship and combine its result with UI binding identity and requirements","worth-ui-runtime/runtime/replacement/query_binding",3,"The current installed-reference check is useful but the string fallback can preserve equal-looking foreign authority",resolved,complete,"replacement uses exact installed authority and authored UI meaning; equal-looking foreign Query installations deny"
Q914C-014,Plan and execution Query source links,"query_binding_identity_reference|query_settled_fact_link|WorthUiQueryBindingIdentity","worth-ui-runtime/src/runtime/planning;worth-ui-runtime/src/runtime/execution","Carries UI-authored binding identity and a compact exact installed-reference route to the current retained slot through plan lowering allocation and the virtualized lane","UI plans retain a stable binding-slot route while revision-specific facts touches and allocation evidence carry admitted settlement references",retain,"Preserve the binding-scoped link and current-slot dereference; remove only positional native-value escape hatches and prevent settlement revision from entering plan equivalence","worth-ui-runtime/runtime/planning;worth-ui-runtime/runtime/execution",4,"The stable link avoids plan relowering on refresh and is already an opaque binding-owner route rather than a Query identity representation",resolved,complete,"planning retains stable binding-slot links while facts touches and allocations carry revision-specific admitted settlement references"
Q914C-015,Query inspection labels and digests,"query_basis_digest|projection_contract_digest|settlement_identity|query_binding_identity","worth-ui-query-binding/src/inspection.rs;worth-ui-runtime/src/evidence/measurement/projection/inspection_receipt;worth-ui-runtime/src/facade/inspection","Displays Query labels warning counts result posture and digests for inspection","Operational identities weaken to terminal reporting projections and cannot be readmitted",diagnostic-only,"Keep explicitly named inspection projections sourced from retained exact artifacts and remove every operational consumer","worth-ui-query-binding/inspection;worth-ui-runtime/facade/inspection",7,"Printable identity remains useful to humans as long as the type and module topology prevent it from authorizing work",resolved,complete,"inspection.rs and runtime inspection receipts borrow retained exact artifacts; query_reporting_projection_boundary rejects operational projection use; the product facade no longer exports settled projections"
Q914C-016,Installed reference and operating-world gateway,"WorthUiInstalledQueryBindingReference|WorthUiQueryOperatingWorldGateway|installation_is_current","worth-ui-query-binding/src/application_binding/installed_operation_reference.rs;worth-ui-query-binding/src/application_binding/operating_world_gateway.rs","Retains exact installed handles and borrows the workspace-owned operating world per attempt","Query owns installation and operating-world authority and UI owns the narrow consumer entry",refine,"Retain the single gateway and add named source admission methods without exporting Query constructors","worth-ui-query-binding/application_binding",3,"This is the correct physical authority boundary and should become the sole mint for downstream source references",resolved,complete,"the binding owner is the sole mint for admitted binding settlement and settlement-touch references after exact Query validation"
Q914C-017,Operation-native live resource progression,"WorthUiOperationLiveResource|consumer_invalidation_delta|admit_consumer_invalidation_delta|plan_patch|apply_patch","worth-ui-query-binding/src/operation_live/resource.rs","Uses the real Query live owner lease invalidation readmission collection consumer patch planning and exact application path","Query 9.14 owns lifecycle sharing leases invalidation windows and patches",retain,"Keep the progression and typed stops; narrow its output and reporting surfaces","worth-ui-query-binding/operation_live",5,"The previously transitional managed-live seam is gone and this is the principled Query-native replacement",resolved,complete,"operation_live/resource.rs performs real drain delta readmission window binding plan_patch and apply_patch; the 10-test operation_live_tests family passes"
Q914C-018,Collection patch consequence translation,"WorthUiCollectionPatchConsequences|WorthUiCollectionGraphMutation|WorthQueryCollectionRowHandle|mounted_identity_preservations","worth-ui-query-binding/src/collection_delivery.rs","Calls its output UI consequences while publicly carrying Query rows entity identities result state warnings continuation and premature mounted identity claims","Query owns patch contents and UI may mint only narrow local graph measurement allocation and diagnostic consequences",replace,"Translate the exact receipt once into sealed UI row/source references and consequence effects with terminal Query posture isolated","worth-ui-query-binding/collection_delivery",5,"The translation boundary is correct but the output still leaks Query representation and crosses future milestone ownership",resolved,complete,"collection_delivery translates the exact applied receipt into sealed UI row source graph measurement allocation and reporting artifacts without Query row handles keys patches or mounted identity claims; reachable continuation reporting is behaviorally proven and compiler-exhaustive result-state and warning mapping remains gated on a Query-owned ordinary producer"
Q914C-019,Operation-live retention succession and retirement,"WorthUiOperationLiveRetention|finish_operation_live_succession|into_operation_live_retirement|close","worth-ui-query-binding/src/entry/downstream_state;worth-ui-query-binding/src/entry/succession.rs;worth-ui-query-binding/src/operation_live","Retains Query-native live resources through candidate and active lifecycle and disposes leases explicitly","Query owns typed lifecycle and lease release while UI coordinates atomic application succession",retain,"Preserve owner-specific lifecycle transitions exact-once release retryable stops and application transaction integration","worth-ui-query-binding/entry;worth-ui-query-binding/operation_live",5,"This replaces the 3.9.1 compatibility seam and already expresses the completed upstream lifecycle intent",resolved,complete,"entry succession retains exact candidate and active resources; retirement closes explicitly; interrupted_real_close_retains_the_exact_lease_for_one_retry proves retryable stopped disposal"
Q914C-020,Framework-turn Query consequence ingress,"admit_operation_live|framework_turn|source_capabilities","worth-ui-runtime/src/runtime/allocation_frame_dispatch/framework_turn;worth-ui-runtime/src/facade/entry","Currently admits operation-live resources but has no sealed UI change-consequence handoff from exact Query patch application","UI framework turn owns atomic publication; 3.12 later owns changed-fact classification and rebind planning",refine,"Add one sealed consequence ingress that cannot apply outside the framework-turn owner and stops before broad rebind planning","worth-ui-runtime/runtime/allocation_frame_dispatch/framework_turn",5,"The milestone must close the authority crossing without pre-building 3.12 or letting arbitrary callers mutate graph state",resolved,complete,"WorthUiQueryProjectionTurnSource stages only a sealed UI consequence and framework-turn commit publishes atomically; callback-unwind proof preserves predecessor truth"
Q914C-021,Query-free application path,"WorthUiRuntimeQueryBinding::QueryFree|without_query","worth-ui-query-binding/src/entry/runtime_binding.rs;worth-ui-runtime/src/runtime","Avoids Query installation binding settlement and live-resource ceremony","No Query authority or cost applies when no Query binding is declared",unrelated,"Preserve exactly and add zero-work evidence to the shared scale scenario","worth-ui-query-binding/entry;worth-ui-runtime/runtime",6,"Modernization must remain demand-shaped and cannot impose dummy source evidence on Query-free apps",resolved,complete,"query_postures_construct_only_their_admitted_subsystems and public_query_free_application_has_no_query_observation_runtime_cost prove no dummy Query work or authority"
Q914C-022,Replay aftermath reversal lineage and persistent naming,"replay|aftermath|reversal|lineage|persistent naming","worth-ui-query-binding;worth-ui-runtime;worth-ui-certification","Not part of the ordinary Worth UI installed observation consumer path","Query cert-only replay and owner-specific aftermath lineage and naming remain separate capabilities",unrelated,"Do not import expose or simulate these capabilities in Worth UI ordinary binding","worth-query certification only",7,"They share vocabulary with identity and lifecycle but do not solve UI current-source admission",resolved,complete,"manual source and dependency review finds no replay aftermath or persistent-naming authority in ordinary Worth UI binding; Query certification remains the owner"
Q914C-023,Real consumer certification and cost scenarios,"Consumer Kit|reference consumer|application_contract|topology_contracts","worth-ui-certification;worth-ui-query-binding tests;worth-ui/tests","Owns real lifecycle compiler boundary and hostile application proof but still asserts predecessor access and identity surfaces","Query reusable certification kit plus existing Worth UI compiled scenario owners provide the real proof substrate",refine,"Extend existing owners with keyed access opaque identity patch consequence and scale cases; delete predecessor oracles","worth-ui-certification;worth-ui-query-binding tests;worth-ui/tests",7,"Certification should follow the real public lifecycle and share compilation rather than mechanically mirror inventory rows",resolved,complete,"the existing application_contracts aggregate runs 53 real tests including Consumer Kit lifecycle cost allocation and disk-backed replacement; Query hostile owner cases run in installed_operating_world"
Q914C-024,Stale compile-contract case inventory row,"managed_live_is_named_compatibility_and_cannot_promote.rs","worth-ui/tests/suites/compile_contract_cases.csv","References a deleted managed-live fixture and therefore cannot provide current compiler evidence","The operation-native boundary requires current sealed-construction and dependency-direction compile cases",delete,"Remove the stale row and add or retarget only a semantically necessary case inside the existing aggregate owner","worth-ui/tests/suites/compile_contract_cases.csv",7,"A missing fixture path is a harness defect; historical migration vocabulary is not a reason to preserve fake coverage",resolved,complete,"the stale row is replaced by query_progression_authority_is_not_a_product_facade.rs inside the existing runtime-diagnostics aggregate; all 251 paths reconcile and compile contracts pass in two Cargo sessions"
Q914C-025,3.9.1 closeout and roadmap seam,"managed-live seam|Phase 17/19/23/24 exit trigger","_docs/worth-ui/milestone-3.9.1.md;_docs/worth-ui/worth_ui_roadmap.md;_docs/worth-ui/milestone-3.9.1-query-modernization-inventory.csv","Still reports the upstream exit trigger as pending after Query 9.14 and operation-native cutover landed","Query 9.14 is complete and the named 3.9.2 successor owns remaining access identity and consequence work",replace,"Add a dated historical amendment and insert 3.9.2 before 3.10 without rewriting 3.9.1's original phase record","_docs/worth-ui/milestone-3.9.1.md;_docs/worth-ui/worth_ui_roadmap.md",7,"The documents must be phase-accurate about what 3.9.1 knew and intent-accurate about the now-required successor",resolved,complete,"milestone-3.9.1.md retains its historical plan under a dated Query-9.14 closeout amendment; worth_ui_roadmap.md inserts 3.9.2 before 3.10 and preserves later ownership"
Q914C-026,Query crate dependency boundary,"worth-query dependency|road1.toml|AGENT_CONTEXT","worth-ui crate manifests;tools/boundary-check/config/road1.toml","Allows one production Query importer and keeps runtime graph host and apps behind the UI binding facade","Query is consumed through an audience facade from the named entry boundary and replay remains cert-only",retain,"Keep worth-ui-query-binding as the sole production importer and mechanically reject new edges","crate graph and road-1 boundary contract",7,"Physical dependency direction is the durable enforcement for the semantic owner boundary",resolved,complete,"road1.toml worth_ui_query_edge names worth-ui-query-binding as the sole production Query consumer; the narrowed product facade and aggregate compile denial prevent downstream progression authority"
Q914C-027,Exact operation-live resource evidence,"WorthUiExactOperationLiveResourceEvidence|lease_identity","worth-ui-query-binding/src/operation_live/retention.rs","Copies a Query lease identity string into an evidence product named exact even though downstream code currently uses only the installed reference","The retained move-only lease and Query lifecycle states are operational authority; lease identity text is reporting only",replace,"Mint the admitted binding or live-source reference from the retained resource and project the lease label only through terminal inspection if still useful","worth-ui-query-binding/operation_live/source_admission",3,"An unused operational-looking string is still a future authority trap and must not survive as the obvious comparison surface",resolved,complete,"operation-live evidence carries the admitted binding reference and no operational lease identity string"
Q914C-028,Compiled impact and invalidation projection consumption,"foundational_invalidation|dependency impact|measurement_invalidation_plan","worth-ui-query-binding/src/collection_delivery.rs;worth-query collection patch application receipt","Derives UI invalidation from patch operations but currently ignores the exact receipt's compiled-impact-derived scope and descriptive Foundational invalidation projection","Query owns compiled dependency impact and capability-bound invalidation; the applied patch receipt is the admitted delivery authority and its Foundational projection is descriptive only",refine,"Derive only UI-local effects inside the exact applied receipt scope preserve the descriptive invalidation projection for mapping or diagnostics where useful and never recompile Query impact from UI dependencies","worth-ui-query-binding/collection_delivery/impact_translation",5,"UI must translate its own consequences without widening or independently reconstructing the upstream affected scope",resolved,complete,"collection_delivery/impact_translation derives UI-local effects only from the exact applied receipt selected scope and keeps the Foundational invalidation projection descriptive"
Q914C-029,Query and UI cost evidence separation,"consumption_cost_snapshot|native access counters|WorthQueryCollectionDeliveryCounters|WorthUiQueryMeasurementRefinementCounters","worth-ui-query-binding/src/application_binding;worth-ui-query-binding/src/collection_delivery.rs;worth-ui-query-binding/src/entry/observation;worth-ui-runtime counters","Exposes some UI counts and Query posture but does not yet carry the completed native-access patch and exact consumption cost evidence as one attributable end-to-end story","Query owns lookup binding support execution dependency native access invalidation window patch and lifecycle counters; UI owns refinement consequence slot plan and frame counters",refine,"Project each owner's sealed counters separately and certify the combined lifecycle without folding them into one locally trusted total","worth-ui-query-binding/inspection;worth-ui-runtime/inspection;worth-ui-certification",6,"Cost honesty requires knowing which owner performed work and proving unrelated width cannot hide behind aggregate counts",resolved,complete,"snapshot progression and operation-live scale tests assert Query sealed counters separately from WUI refinement consequence slot and frame counters across unrelated width"
