"delta_id","wave","sequence","domain","change_type","current_file","current_symbol","current_responsibility","current_inputs","current_outputs","architectural_defect","target_file","target_symbol","target_responsibility","target_inputs","target_outputs","required_invariants","depends_on","unblocks","callers_to_migrate","symbols_to_delete","tests_to_migrate","new_proofs_required","mechanical_completion_check","compile_or_test_gate","risk","status","planning_notes","source_evidence"
"P10-S001","0-substrate","1","declaration requirements","audit_and_harden","declaration/measurement_dependency/basis_requirement_set.rs","UiDeclaredMeasurementBasisRequirementSet","Declare whether scroll viewport and Query projection evidence are required.","Declared ownership posture|measurement policy","Required evidence-family set","A missing or broadened requirement silently changes the downstream evidence universe.","declaration/measurement_dependency/basis_requirement_set.rs","scroll requirement contract","Remain the sole declaration-owned source of required evidence families.","Declared scroll ownership posture","Exact host viewport and/or Query receipt requirements","Declaration names requirements only; it never admits runtime ownership or targets.","P10-B010","P10-S002|P10-S003","measurement basis assembly|host request freezing","","basis requirement tests","Scroll-owned declarations require the exact source families and unrelated declarations do not","Requirement matrix matches Phase 10 source law","cargo test -p worth-ui-runtime declaration::measurement_dependency","high","complete","Audit existing contract; repair only if it violates Phase 10 law.","basis_requirement_set.rs:58-69|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S002","0-substrate","2","host contract intake","audit_and_harden","host/measurement_request_boundary.rs|worth-ui-host-contract/runtime/measurement_request","freeze_measurement_request|UiMeasurementRequest::scroll_container_viewport","Freeze runtime request and carry host viewport observation without allocation semantics.","Declared measurement requirement|host capability","Frozen request|host observation/result","Host intake could become a hidden dependency/target authority if request or result carries runtime allocation decisions.","same owning host boundaries","sealed scroll viewport observation boundary","Provide sealed observation and witness only.","P10-S001 requirement|host capability report","UiMeasurementResult with authority witness","Host cannot choose neighborhood; target; invalidation family; catalog identity; or fallback.","P10-B010|P10-S001","P10-S003","measurement basis assembly|certification fixtures","host-owned target/fallback fields if found","host boundary tests|host-contract tests","Missing|stale|contradictory observation remains typed evidence rather than fallback","No host boundary symbol constructs allocation target or scroll catalog identity","cargo test -p worth-ui-host-contract|cargo test -p worth-ui-runtime host::measurement_request_boundary","critical","complete","Cross-crate substrate is explicitly in scope.","measurement_request_boundary.rs:22-75|measurement_request.rs:140-258|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S003","0-substrate","3","measurement basis","audit_and_harden","evidence/measurement/basis/assembly.rs|query_allocation_mapping.rs","SelectedEvidence|UiQueryAllocationTargetMapping","Select host scroll viewport and Query projection receipt; assemble admitted measurement basis and mappings.","Host result|Query receipt|declared requirements","UiMeasurementBasis|Query allocation mappings","Duplicate; stale; ambiguous; or mismatched sources can poison every later planning and activation proof.","evidence/measurement/basis","canonical measurement basis assembly","Produce one exact basis with sealed host and Query lineage.","P10-S001 requirements|P10-S002 observation|Query projection consumption receipt","UiMeasurementBasis with structural source lineage and mappings","No arbitrary source selection; duplicates and contradictions deny; mappings remain Query evidence not allocation authority.","P10-B010|P10-S001|P10-S002","P10-S004|P10-D010","constraint admission|planning authority|inspection","digest-only mapping authority if found","basis hostile tests|Query mapping tests|certification tests","Duplicate|stale|ambiguous host or Query inputs fail closed with exact cause","Every admitted scroll basis has one auditable source lineage per required family","cargo test -p worth-ui-runtime evidence::measurement::basis","critical","complete","Treat mapping/evidence substrate as part of the repair boundary.","basis/assembly.rs:20-345|query_allocation_mapping.rs|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S004","0-substrate","4","constraint planning","audit_and_harden","graph/allocation_neighborhood/constraint_scroll_owner_planning_input.rs|evidence/planning/constraint_set","admit_scroll_owner_planning_input|scroll_owner_planning_input","Convert measurement basis sources into a planning-time-only scroll-owner artifact.","P10-S003 basis|neighborhood|declared operator contract","UiConstraintScrollOwnerPlanningInputResult","Digest-based or incomplete source admission here propagates false ownership into graph and receipts.","same graph/evidence owners","canonical scroll-owner planning input","Admit exact source set and planning-only posture.","Structural basis lineage|neighborhood identity|operator contract","Typed planning input or denial","Planning artifact cannot authorize activation; source set is complete; ordered; duplicate-free; graph-owned.","P10-B010|P10-S003","P10-S005|P10-D010","constraint set|UiAdmittedScrollPlanningAuthority","fallback or label-based source admission if found","scroll owner planning tests|constraint hostile tests","Host and Query source families admit exactly; contradictory combinations deny","No scroll planning artifact is constructed outside constraint pipeline","cargo test -p worth-ui-runtime allocation_constraint_scroll_owner","critical","complete","Audit before changing activation identity because committed rows derive from this artifact.","constraint_scroll_owner_planning_input.rs:10-130|constraint_set.rs:77-310|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S005","0-substrate","5","graph locality","audit_and_harden","graph/allocation_neighborhood/replan_selection|catalog_basis.rs|replan_transaction_sealing.rs","scroll consequence selection|UiAdmittedAllocationCatalogBasisSet","Select exact affected neighborhood set and seal admitted catalog basis.","P10-S004 planning input|graph snapshot|invalidation cause","Selected neighborhood set|admitted catalog basis","If locality or catalog membership is broadened here the transaction can be atomic and still semantically wrong.","same graph owners","canonical scroll-owned replan selection and catalog basis","Keep neighborhood selection and graph lineage authoritative upstream.","Graph snapshot|structural planning input|extent cause","Exact admitted catalog basis or typed denial","No whole-page fallback; unaffected neighborhood identities remain explicit; graph lineage is structural.","P10-B010|P10-S004","P10-S006|P10-S007|P10-D009","launch planning transition|receipt sealing|invalidation ingress","whole-page fallback|host-owned membership|digest-only lineage authority if found","replan selection tests|catalog basis tests|1000-sibling locality tests","Extent change selects exact owning neighborhood set with zero unrelated churn","Selection and catalog basis expose exact affected and unaffected identities","cargo test -p worth-ui-runtime replan_selection","critical","complete","This is the semantic locality substrate for D009 and D010.","replan_selection/scroll_consequence.rs|selector.rs|catalog_basis.rs|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S006","0-substrate","6","launch and receipt sealing","audit_and_rework","runtime/launch/planning_transition.rs|runtime/allocation_receipt/receipt_ledger.rs|committed_catalog_binding.rs","prepare_allocation_catalog_activation|seal_activation_catalog|UiCommittedAllocationCatalogActivation","Plan admitted catalog; commit/reuse receipts; seal bindings and unique activation capability; mint attempt.","P10-S005 admitted catalog|pending activation|ledger predecessor","UiCommittedAllocationActivationAttempt","This is the actual minting boundary; cloned contexts; digest identities; or non-atomic receipt/catalog sealing undermine every downstream cutover.","same ledger and launch owners plus committed attempt constructor","canonical receipt-to-attempt sealing","Mint exactly one move-only attempt whose rows contain complete structural activation facts.","Admitted catalog|ledger snapshot|receipt policy|graph lineage|scroll sources","Ledger successor|committed receipts|catalog activation capability|attempt","Receipt; graph; measurement; host; Query; and scroll rows align ordinally and structurally; historical rows cannot remint capability.","P10-B010|P10-S005","P10-D001|P10-D003|P10-D009|P10-D016","P10-D001|P10-D003|P10-D008|public facade","historical activation remint|cloned admission-context authority|first-receipt shortcut authority","receipt ledger tests|catalog binding tests|launch transition tests","Mismatch at any ordinal denies before attempt mint; historical records cannot produce activation capability","Only seal_activation_catalog can mint the attempt and unique activation capability","cargo test -p worth-ui-runtime allocation_receipt|cargo test -p worth-ui-runtime planning_transition","critical","complete","This may require real substrate repair; it is not a read-only dependency audit.","planning_transition.rs:48-132|receipt_ledger.rs:17-199|committed_catalog_binding.rs:110-221|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S007","0-substrate","7","invalidation ingress","audit_and_harden","runtime/invalidation_narrowing/consumer.rs|consumer_support.rs|narrowed_frame_plan.rs","ContentExtentChange|ScrollOwnedExtentChange|ScrollExtentObservation consumption","Classify incoming host/Query extent facts and acquire graph-owned targets.","Committed active authority|host or Query facts|family classification","Narrowed invalidation target and evidence","A wrong family mapping; fallback; detached lookup; or unchecked target budget can bypass canonical activation correctness.","same invalidation owner","canonical extent invalidation ingress","Consume only active committed bindings and emit exact narrowed targets or typed denial.","Canonical active scroll catalog|sealed host/Query fact|family artifact","Scroll-owned invalidation target|typed denial|exact counters","Offset observation never becomes allocation invalidation; extent families remain distinct; no empty/fallback target.","P10-B010|P10-S005","P10-D009|P10-D010|P10-D025","P10-D009|P10-D010|P10-D025|P10-D026","fallback target|family conflation|detached authority probe if found","consumer tests|viewport tests|frame plan tests","Host and Query extent families narrow exactly; offset produces no allocation event","Every scroll invalidation target is acquired from committed active catalog","cargo test -p worth-ui-runtime invalidation_narrowing","critical","complete","Covers the runtime pipeline after activation and before replan selection.","consumer.rs:150-300|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-S008","0-substrate","8","inspection contract","audit_and_define","evidence/allocation/scroll_owned_evidence.rs|runtime/diagnostics|worth-ui-inspection","UiScrollOwnedAllocationEvidence|runtime inspection projections","Expose cause; authority work; invalidations; receipts; and local why.","Contracts|receipts|denials|counters","Inspection evidence and diagnostics","If inspection reconstructs from logs/digests or omits canonical attempt lineage it can conceal pipeline kinks and make QA unverifiable.","existing evidence and inspection owners","canonical Phase 10 inspection projection contract","Define projections from canonical receipt/denial values without gaining authority.","Structural attempt identity projection|extent cause|neighborhood set|source lineage|exact counters|receipt outcome","Local inspection record and evidence refs","Inspection is read-only; no logs as authority; local why needs no causal escalation; success and denial share lineage.","P10-B010","P10-D025A","P10-D025A|Phase 12 inspection work","inspection-side identity reconstruction|logs-as-evidence if found","evidence projection tests|runtime diagnostics tests|worth-ui-inspection tests","Inspection names source family; cause; locality; reuse/denial; receipt; and exact evidence refs","Every Phase 10 inspection row derives from receipt or denial artifact","cargo test -p worth-ui-runtime diagnostics|cargo test -p worth-ui-inspection","high","complete","Define now so the refactor preserves observability; do not implement Phase 12 product expansion.","scroll_owned_evidence.rs|milestone Phase 10 receipt explanation law|verified 2026-07-12: substrate exercised through 815-test runtime suite, ordinary Phase 10 host/Query acceptance, dependent host-contract/query-binding/inspection tests, and exact boundary guard"
"P10-D001","1-foundation","10","identity","create","runtime/invalidation_narrowing/active_set.rs","UiCommittedAllocationActivationIdentity","Digest-heavy identity for committed rows; ledger lineage; scroll keys.","Committed catalog activation|ledger transition","Identity with digest-based row fields","Digest equality cannot be canonical authority or collision-safe structural proof.","runtime/activation/committed_allocation_attempt/identity.rs","UiCommittedAllocationActivationIdentity","Own complete ordered structural identity for one activation attempt.","Committed rows|receipt identity and generation|equivalence basis|measurement basis|graph lineage|ledger lineage|frame epoch|replacement lineage|host mappings|Query mappings|scroll contracts","Structural identity plus derived inspection digest","Structural equality authorizes; digest only inspects; same value survives success and denial.","P10-S006","P10-D003|P10-D005|P10-D009|P10-D010","active_set constructor|catalog transition sealing","Digest-authoritative identity fields","active_set tests|scroll catalog identity tests","Forced collision keeps distinct identities distinct|success and denial retain identical attempted identity","No authority comparison uses identity_digest alone","cargo check -p worth-ui-runtime|focused identity tests","critical","complete","Build first; every later delta consumes this type.","active_set.rs:27-41|runner review 2278|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D002","1-foundation","20","module topology","create","runtime/activation|frame_activation_gate|atomic_plan_swap|invalidation_narrowing","Distributed committed-allocation activation family","Split preparation and publication across historical stage modules.","Multiple movable intermediate artifacts","Multiple publication-capable stages","Directory topology hides the authority split and encourages sibling publishers.","runtime/activation/committed_allocation_attempt/mod.rs","committed_allocation_attempt module family","Define cohesive ownership boundary while composing existing graph; ledger; host; Query; and scroll substrate.","Existing substrate builders|runtime snapshots","Private attempt|prepared transaction|typed denial|receipt projection","Logic-free mod.rs; bounded files; transaction composes substrate without reimplementing it.","P10-B010","P10-D003","runtime exports","","module-boundary tests","One constructor-to-commit family in target directory","Target directory exists with intended bounded skeleton","cargo check -p worth-ui-runtime|line-cap check","high","complete","Create skeleton before moving behavior.","runner repair plan 2383|composition laws|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D003","1-foundation","30","attempt owner","move_and_restrict","runtime/invalidation_narrowing/active_set.rs","UiCommittedAllocationActivationAttempt","Own catalog; ledger transition; committed replan; committed activation; identity.","Catalog|ledger transition|committed replan|activation","Movable attempt with accessors and component extraction","Correct owner exists but lives in wrong domain and exposes partial authority.","runtime/activation/committed_allocation_attempt/attempt.rs","UiCommittedAllocationActivationAttempt","Become sole move-only owner from receipt sealing to prepare outcome.","Catalog|ledger transition|committed replan|activation|P10-D001 identity","Result<prepared activation, typed denial>","Non-Clone; opaque; one consuming prepare; no partial successor exposure.","P10-S006|P10-D001|P10-D002","P10-D004|P10-D005|P10-D006|P10-D008|P10-D009|P10-D016","receipt sealing|activation facade","","active_set tests|allocation receipt tests","Attempt cannot be cloned or constructed outside sealing boundary","Only receipt sealing constructs the attempt","cargo check -p worth-ui-runtime|compile-fail visibility tests","critical","complete","Move ownership without changing behavior before restricting APIs.","active_set.rs:18-59|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D004","1-foundation","40","authority boundary","delete","runtime/invalidation_narrowing/active_set.rs","into_activation_components|catalog|ledger_transition|committed|candidates","Expose or destructure attempt-owned authority.","UiCommittedAllocationActivationAttempt","Committed replan|ledger transition|catalog transition|borrowed catalog data","First mechanical authority break; enables independent downstream ownership.","runtime/activation/committed_allocation_attempt/attempt.rs","UiCommittedAllocationActivationAttempt::prepare","Consume attempt without exposing components.","Attempt|inputs|context","Prepared activation or typed denial","No tuple extraction; no publication getter; no sibling partial successor.","P10-D003","P10-D006|P10-D008|P10-D009","UiCommittedAllocationPreparation::prepare|ledger preflight|tests","into_activation_components|publication-facing catalog()|publication-facing ledger_transition()|publication-facing committed()","active_set tests|ready activation fixtures","Compile failure for component extraction","rg returns zero forbidden extraction symbols","cargo check -p worth-ui-runtime|anti-bypass compile tests","critical","complete","Delete only after replacement prepare shell compiles.","active_set.rs:61-91|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
"P10-D005","1-foundation","50","denial and counters","create","frame_activation_gate/denial.rs|atomic_plan_swap/rollback.rs|invalidation_narrowing/denial.rs","Distributed denials and counters","Explain failures per stage.","Stage-local facts|partial identities|scalar counters","Stage denial or rollback","No single outcome proves the complete attempted transaction or exact total work.","runtime/activation/committed_allocation_attempt/denial.rs|counters.rs|evidence.rs","UiCommittedAllocationActivationDenial|UiCommittedAllocationActivationCounters","Carry structural attempt identity; typed reason; exact operation-owned work; no-mutation evidence.","P10-D001 identity|typed validation reason|checked counters","Unified denial","Every failure has same attempt identity; checked counter exhaustion denies before mutation.","P10-D001|P10-D003","P10-D006|P10-D007|P10-D008|P10-D009|P10-D010|P10-D011|P10-D012|P10-D013|P10-D023|P10-D025|P10-D025A","facade denial mapping|rollback constructors","caller-owned publication_checks|detached acquisition_probe results","denial tests|rollback tests|counter tests","Every failure checkpoint returns unified denial and unchanged state","No preparation failure returns stage-only rollback without attempt identity","cargo check -p worth-ui-runtime|focused denial tests","critical","complete","Create shared denial before internalizing validations.","swap.rs:21-27|runner reviews 2278 and 2392|verified 2026-07-12: canonical receipt-ledger -> move-only attempt -> prepare -> single-use commit route; 815/815 runtime tests; exact boundary guard and facade compile fences green"
