crate,path,line,occurrence_on_line,token_occurrence_on_line,worth_occurrence_in_token,current_token,proposed_token,category,confidence,rationale,line_text
worth-query,crates/worth-query/tests/graph_obligation_public_facade.rs,17,1,1,1,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,"WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,"
worth-query,crates/worth-query/tests/graph_obligation_public_facade.rs,30,1,1,1,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME
worth-query,crates/worth-query/tests/phase_boundaries_subscription_phase_seven_compile_fail.rs,26,1,1,1,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT
worth-query,crates/worth-query/tests/phase_boundaries_subscription_phase_seven_compile_fail.rs,30,1,1,1,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,worth_query::facade::WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT
worth-query,crates/worth-query/docs/authoring/graph-composition-authoring.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,`workspace.compose_graph(...)` is WORTH Query's first-class graph-shaped
worth-query,crates/worth-query/docs/authoring/query-expressions-and-result-shapes.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,This is WORTH Query's authoring surface for building query shapes and result
worth-query,crates/worth-query/docs/authoring/scopes-templates-saved-queries-and-view-shapes.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,These features are WORTH Query's query productization layer. They let you
worth-query,crates/worth-query/docs/authoring/scopes-templates-saved-queries-and-view-shapes.md,90,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Reuse is not a blind cache hit. WORTH Query preserves the difference between:
worth-query,crates/worth-query/docs/capabilities/historical-diff-and-basis.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Historical basis and diff queries let WORTH Query bind a validated query to an
worth-query,crates/worth-query/docs/capabilities/historical-diff-and-basis.md,66,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"Diff work is also explicit. WORTH Query does not expose ""compare arbitrary"
worth-query,crates/worth-query/docs/capabilities/inspection.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Inspection is WORTH Query's explanation surface. It lets you ask the runtime
worth-query,crates/worth-query/docs/capabilities/lineage-and-correspondence.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Lineage and correspondence queries let WORTH Query ask identity questions that
worth-query,crates/worth-query/docs/capabilities/lineage-and-correspondence.md,61,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,WORTH Query keeps these concerns explicit because a record can correspond
worth-query,crates/worth-query/docs/capabilities/subscription-selection-and-diagnostics.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Automatic subscription family selection is the part of WORTH Query that decides
worth-query,crates/worth-query/docs/capabilities/subscription-selection-and-diagnostics.md,49,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,WORTH Query looks at:
worth-query,crates/worth-query/docs/capabilities/subscription-selection-and-diagnostics.md,78,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"Once WORTH Query declares the subscription, the retained future-bearing live"
worth-query,crates/worth-query/docs/capabilities/subscription-selection-and-diagnostics.md,81,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"policy, or tenant meaning changes, WORTH Query must mint a new declaration"
worth-query,crates/worth-query/docs/capabilities/subscription-selection-and-diagnostics.md,86,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"After activation, WORTH Query now retains one mixed-cause delivery stream for"
worth-query,crates/worth-query/docs/domain-capabilities/README.md,236,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,- [WORTH Query Docs Home](../README.md)
worth-query,crates/worth-query/docs/foundations/hard-prohibitions.md,1,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,# WORTH Query Hard Prohibitions
worth-query,crates/worth-query/docs/foundations/policy-tenant-and-relationship-proof-narrowing.md,68,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,- **BlockedOnWORTHStore**: store-backed durability for policy narrowing.
worth-query,crates/worth-query/docs/foundations/policy-tenant-and-relationship-proof-narrowing.md,91,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,| StoreBackedDurability | **BlockedOnWORTHStore** |
worth-query,crates/worth-query/docs/foundations/query-operating-modes.md,12,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,- avoid building restart/recovery flows on debt labeled `Deferred` or `BlockedOnWORTHStore`
worth-query,crates/worth-query/docs/foundations/query-operating-modes.md,69,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,- Building â€œwrite to DB then reload query context from storeâ€ on `BlockedOnWORTHStore` rows.
worth-query,crates/worth-query/docs/foundations/support-matrix-and-admission.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,The public support matrix is WORTH Query's explicit contract for what the
worth-query,crates/worth-query/docs/foundations/workspace-overview.md,1,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,# WORTH Query Workspace Overview
worth-query,crates/worth-query/docs/modeling/aspects-and-authority-lanes.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Aspects are the auditable names WORTH Query uses for fields and derived
worth-query,crates/worth-query/docs/modeling/schema-validation.md,5,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Schema validation is WORTH Query's legality gate for canonical query bundles.
worth-query,crates/worth-query/docs/modeling/schema-validation.md,32,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,Validation is not a cosmetic schema check. It is the point where WORTH Query
worth-query,crates/worth-query/src/domain_capabilities/canonical_runtime_invariant_registration_tests.rs,234,1,1,1,WORTH.domain_capability.intent-invariant,worth.domain_capability.intent-invariant,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"""WORTH.domain_capability.intent-invariant"""
worth-query,crates/worth-query/src/domain_capabilities/canonical_runtime_support_targets_tests.rs,29,1,1,1,WORTH.domain_capability.intent-support,worth.domain_capability.intent-support,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"""WORTH.domain_capability.intent-support"""
worth-query,crates/worth-query/src/domain_capabilities/canonical_runtime_support_targets_tests.rs,32,1,1,1,WORTH.domain-capability.fixture,worth.domain-capability.fixture,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"assert_eq!(artifact.input_contract(), ""WORTH.domain-capability.fixture"");"
worth-query,crates/worth-query/src/domain_capabilities/canonical_runtime_tests.rs,62,1,1,1,WORTH.domain_capability.intent-a,worth.domain_capability.intent-a,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"assert_eq!(semantics.1, ""WORTH.domain_capability.intent-a"");"
worth-query,crates/worth-query/src/domain_capabilities/test_support.rs,82,1,1,1,WORTH.domain_capability.,worth.domain_capability.,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"format!(""WORTH.domain_capability.{label}""),"
worth-query,crates/worth-query/src/domain_capabilities/test_support.rs,84,1,1,1,WORTH.domain-capability.fixture,worth.domain-capability.fixture,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"""WORTH.domain-capability.fixture"","
worth-query,crates/worth-query/src/effect_lifecycle/batch.rs,37,1,1,1,EffectAuthorityOwner::WORTHRelational,EffectAuthorityOwner::WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"EffectAuthorityOwner::WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/inventory_rows.rs,15,1,1,1,EffectAuthorityOwner::WORTHRelational,EffectAuthorityOwner::WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"EffectAuthorityOwner::WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/inventory_rows.rs,29,1,1,1,EffectAuthorityOwner::WORTHRelational,EffectAuthorityOwner::WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"EffectAuthorityOwner::WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/inventory_rows.rs,38,1,1,1,EffectAuthorityOwner::WORTHRuntimeBridge,EffectAuthorityOwner::WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"EffectAuthorityOwner::WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/inventory_rows.rs,52,1,1,1,EffectAuthorityOwner::WORTHRelational,EffectAuthorityOwner::WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"EffectAuthorityOwner::WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,49,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,50,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,171,1,1,1,EffectAuthorityOwner::WORTHRelational,EffectAuthorityOwner::WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,EffectAuthorityOwner::WORTHRelational
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,174,1,1,1,EffectAuthorityOwner::WORTHRuntimeBridge,EffectAuthorityOwner::WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,EffectAuthorityOwner::WORTHRuntimeBridge
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,346,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"WORTHRelational => ""worth-relational"","
worth-query,crates/worth-query/src/effect_lifecycle/planning.rs,347,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"WORTHRuntimeBridge => ""worth-runtime-bridge"","
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,32,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,41,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,50,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,59,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,68,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,77,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,86,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,95,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,104,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,113,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,122,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,131,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,140,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,149,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,158,1,1,1,WORTHRelational,WorthRelational,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRelational,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,167,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,176,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/effect_lifecycle/support_matrix_rows.rs,185,1,1,1,WORTHRuntimeBridge,WorthRuntimeBridge,enum_variant_case,high,Enum variant/type-style owner name should use PascalCase.,"authority_owner: WORTHRuntimeBridge,"
worth-query,crates/worth-query/src/evidence_identity/scheme.rs,13,1,1,1,WORTH.query.evidence-identity.v1,worth.query.evidence-identity.v1,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"Self::V1 => ""WORTH.query.evidence-identity.v1"","
worth-query,crates/worth-query/src/evidence_identity/scheme.rs,14,1,1,1,WORTH.query.evidence-identity.v2,worth.query.evidence-identity.v2,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"Self::V2 => ""WORTH.query.evidence-identity.v2"","
worth-query,crates/worth-query/src/evidence_identity/tests.rs,89,1,1,1,WORTH.query.evidence-identity.v1,worth.query.evidence-identity.v1,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,"""WORTH.query.evidence-identity.v1"""
worth-query,crates/worth-query/src/evidence_identity/tests.rs,93,1,1,1,WORTH.query.evidence-identity.v1:WORTH.test.stable-digest-v1:,worth.query.evidence-identity.v1:worth.test.stable-digest-v1:,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,".starts_with(""WORTH.query.evidence-identity.v1:WORTH.test.stable-digest-v1:""));"
worth-query,crates/worth-query/src/evidence_identity/tests.rs,93,2,1,2,WORTH.query.evidence-identity.v1:WORTH.test.stable-digest-v1:,worth.query.evidence-identity.v1:worth.test.stable-digest-v1:,canonical_namespace_case_reviewed,high,Reviewed as canonical machine namespace; lowercase worth.* is the intended protocol spelling.,".starts_with(""WORTH.query.evidence-identity.v1:WORTH.test.stable-digest-v1:""));"
worth-query,crates/worth-query/src/facade/exports_runtime.rs,668,1,1,1,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,"WriteAuthorityExecutionReceipt, WORTH_QUERY_GRAPH_OBLIGATION_DISPATCH_ENVELOPE_SCHEME,"
worth-query,crates/worth-query/src/facade/exports_runtime.rs,797,1,1,1,WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT,WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,"WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_COMPILE_FAIL_TARGET_COUNT,"
worth-query,crates/worth-query/src/facade/exports_runtime.rs,798,1,1,1,WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT,WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT,const_or_env_keep,keep,Rust constants are conventionally SCREAMING_SNAKE_CASE.,"WORTH_QUERY_SUBSCRIPTION_PHASE_SEVEN_GOLDEN_PATH_COUNT,"
worth-query,crates/worth-query/src/identity_authority/phase_one_compile_fail_targets.rs,25,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS:,WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS:,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,const WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS:
worth-query,crates/worth-query/src/identity_authority/phase_one_compile_fail_targets.rs,71,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS,WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS,screaming_const_keep,keep,All-uppercase constant/env style is allowed when identifier convention requires it.,WORTH_QUERY_IDENTITY_PHASE_ONE_COMPILE_FAIL_TARGETS
worth-query,crates/worth-query/src/identity_authority/phase_one_family_map.rs,56,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES:,WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES:,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,const WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES: &[WorthQueryIdentityPhaseOneFamily] = &[
worth-query,crates/worth-query/src/identity_authority/phase_one_family_map.rs,187,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES,WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES,screaming_const_keep,keep,All-uppercase constant/env style is allowed when identifier convention requires it.,WORTH_QUERY_IDENTITY_PHASE_ONE_FAMILIES
worth-query,crates/worth-query/src/identity_authority/phase_one_root_break_targets.rs,23,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS:,WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS:,screaming_const_or_env_keep_reviewed,keep,Reviewed as Rust constant or environment-style symbol; screaming-snake uppercase is structurally correct.,const WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS:
worth-query,crates/worth-query/src/identity_authority/phase_one_root_break_targets.rs,185,1,1,1,WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS,WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS,screaming_const_keep,keep,All-uppercase constant/env style is allowed when identifier convention requires it.,WORTH_QUERY_IDENTITY_PHASE_ONE_ROOT_BREAK_TARGETS
worth-query,crates/worth-query/src/policy_execution_seam/support.rs,46,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,"BlockedOnWORTHStore,"
worth-query,crates/worth-query/src/policy_execution_seam/support.rs,55,1,1,1,Self::BlockedOnWORTHStore,Self::BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,"Self::BlockedOnWORTHStore => ""blocked_on_worth_store"","
worth-query,crates/worth-query/src/policy_execution_seam/support.rs,146,1,1,1,PolicyExecutionSeamSupportStatus::BlockedOnWORTHStore,PolicyExecutionSeamSupportStatus::BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,| PolicyExecutionSeamSupportStatus::BlockedOnWORTHStore
worth-query,crates/worth-query/src/policy_narrowing/support.rs,36,1,1,1,BlockedOnWORTHStore,BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,"BlockedOnWORTHStore,"
worth-query,crates/worth-query/src/policy_narrowing/support.rs,44,1,1,1,Self::BlockedOnWORTHStore,Self::BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,"Self::BlockedOnWORTHStore => ""blocked_on_worth_store"","
worth-query,crates/worth-query/src/policy_narrowing/support.rs,116,1,1,1,PolicyNarrowingSupportStatus::BlockedOnWORTHStore,PolicyNarrowingSupportStatus::BlockedOnWorthStore,enum_variant_case,high,Enum variant should use PascalCase.,"PolicyNarrowingSupportStatus::BlockedOnWORTHStore,"
worth-query,crates/worth-query/src/policy_plan/diff.rs,97,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"""store-backed policy-aware historical diff is deferred until WORTH Store-backed parity"","
worth-query,crates/worth-query/src/policy_plan/historical.rs,99,1,1,1,WORTH,Worth,proper_noun_case_reviewed,high,Reviewed as prose/product proper noun; capital-case Worth is the intended spelling.,"""store-backed policy-aware historical execution is deferred until WORTH Store-backed parity"","
