current_path,reviewed_content_sha256,review_batch,proposed_action,candidate_action,target_crate,target_subsystem,target_directory,target_path,mechanical_ready,confidence,content_review_required,rationale
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/core.rs,7931202cf7a5d3dc9d90d5995a6d2b7db6ff29bf7f05a743d1d1ffda71f06b9d,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_projection_wrapper,,,false,high,false,"The core merely copies an existing scheduler admission into a weaker future-handoff projection."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/denial.rs,1e61b9c4de8e9f4ae353ad7c92d2832ea1c70912823e63bf9c23765aa062707d,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_test_assertions,,,false,high,false,"The denial API consists of rejection assertions for a synthetic handoff surface and belongs in tests if still useful."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/mod.rs,14592d1c2d0392a2afd582bec5ce7087a3dbb3778bfee08c0b19ecb8d727d7b7,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"The module aggregates future-milestone wrappers that are not a scheduler subsystem."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/operator.rs,7234411135187af2d8f5eb4706b72551a8bc93792f272fc790d4834d4b064bab,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_operator_wrapper,,,false,high,false,"Scheduler evidence cannot become operator authorization or an operator milestone seed; the operator owner must consume exact scheduler capabilities."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/placement.rs,3d1930073d86e0c240167ddecb942690b69695e53000bb71d13913e7694712c1,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"Placement should consume scheduler admission directly; this wrapper also exposes a certification constructor in production."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/readmission.rs,cf22bfeb48b38be976aa28a980d31d2e37d46c5cf29d06f0a94641b9c08d6ffc,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_projection_wrapper,,,false,high,false,"The state only labels copied handoff projections and does not perform owner-controlled readmission."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/repair_scan.rs,51cd109a104c2c963c42753a89eac95feca2b635910e7f62cdb3bfe391be9828,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"Repair scanning should consume scheduler admission directly and preserve separate repair authorization."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/s10_pacing.rs,b1f788155a3f852e50b9fe5d69c7ddf0bc51fd5e31da0df35a41434c7c8279ff,004-io-scheduler-production,delete,delete,worth-store-io-scheduler,displaced_future_consumer_wrapper,,,false,high,false,"The types relabel ordinary background pacing outcomes for anticipated milestones instead of exposing a workload-class capability."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/test_authority.rs,f9c2c30ee436b94a53efd75eca546e4c25f9121c564930039dcae6200faaaac3,004-io-scheduler-production,move,move,worth-store-physical-certification,fixtures/scheduling,fixtures/scheduling,workspaces/worth-store/crates/worth-store-physical-certification/src/fixtures/scheduling/background_pacing.rs,false,high,false,"This function manufactures a pacing outcome solely for certification."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/tests.rs,a1abaa67328d06abfbda9c97c1bb51e76e20b16a9839e394492a110b81b987f2,004-io-scheduler-production,move,move,worth-store-certification,courtroom/scheduling,courtroom/scheduling,workspaces/worth-store/crates/worth-store-certification/src/courtroom/scheduling/future_consumer_wrapper_tests.rs,false,high,false,"The scenarios document synthetic milestone wrappers; retain only useful adversarial expectations while migrating callers to ordinary capabilities."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_later_readiness_handoff/tests/test_support.rs,869cd0d30115a6b3a0a957929293f19c254ca3358eac995de8444645f6758c5b,004-io-scheduler-production,move,move,worth-store-physical-certification,fixtures/scheduling,fixtures/scheduling,workspaces/worth-store/crates/worth-store-physical-certification/src/fixtures/scheduling/readiness_world.rs,false,high,false,"The file constructs test-only isolation security backend and pacing admissions."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_readiness/admission.rs,0b2cd680a356ec9eb4582fbf1f1696b6ff8505b731b4c4ac2852322f37c47de3,004-io-scheduler-production,split,split,multiple,scheduler_isolation_admission_and_test_support,,,false,high,false,"Keep exact physical-isolation admission as scheduler law; move certification constructors rejection assertions and unsupported-nonclaim lists out of production."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_readiness/denial.rs,3c0708d73e33840845b6f2b8647c64a0a632fe555447cd01e98c4f72a591db46,004-io-scheduler-production,move,move,worth-store-io-scheduler,admission,admission,workspaces/worth-store/crates/worth-store-io-scheduler/src/admission/isolation_denial.rs,false,high,false,"The denial belongs to scheduler admission from physical-isolation evidence and needs permanent naming."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_readiness/mod.rs,581ee220c3ea4888d6e38fa435bf4d7cff3b646b6fb1e6e71bc97e3286c49939,004-io-scheduler-production,merge,merge,worth-store-io-scheduler,admission,admission,workspaces/worth-store/crates/worth-store-io-scheduler/src/admission/mod.rs,false,high,false,"The genuine readiness surface becomes the scheduler admission facade after milestone wrappers are removed."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s6_readiness/security_scope_handoff.rs,44bcc0517934142dc121e1e3fc41deba2b98b6b7a7ece3c11605f8e2efac7b51,004-io-scheduler-production,split,split,worth-store-io-scheduler,admission/security_scope,,,false,high,false,"Retain scheduler admission from the owner-issued admitted security scope; delete permission and handoff wrappers around that capability."
workspaces/worth-store/crates/worth-store-io-scheduler/src/s8_runtime_receipt.rs,b1e668ad9b0794cc5aa993b70f327b914f3e4a3300f721fb6822f50272d59e6a,004-io-scheduler-production,move,move,worth-store-physical-certification,scenario/layout/io_scheduler,scenario/layout/io_scheduler,workspaces/worth-store/crates/worth-store-physical-certification/src/scenario/layout/io_scheduler/runtime_receipt.rs,false,high,false,"The file maps synthetic milestone cases through queue test support and is certification scenario vocabulary rather than scheduler production authority."
