"id","flow","edge","current_path","current_input","current_issuer","current_output","current_problem","target_path","target_input","target_issuer","target_output","authority_invariant","cutover_action","proof_gate","depends_on","status"
"11","plan identity","selected operation to diagnostic plan identity","access/planning fingerprint surfaces","selection basis","planning helpers","S8PlanFingerprint","Scalar fingerprint can be confused with the selected capability that established it.","planning/identity.rs","selected owner capability","read-only projection","AccessPlanIdentity","Plan identity supports equality and diagnostics only; execution requires the selected capability.","Rename and narrow fingerprint APIs; remove it from execution constructors.","Copied fingerprint cannot bind readiness or execution.","10","partial"
"12","resource budgeting","resource request to generic grant","budgets/pre_execution","resource envelope request","PreExecutionBudgetAdmission","generic budget receipt","The generic grant is sound as capacity evidence but milestone naming and broad exports obscure that it is not operation authority.","budgets/pre_execution","resource demand","PreExecutionResourceAdmission","PreExecutionResourceGrant","A resource grant proves capacity only and cannot identify an operation.","Rename permanent vocabulary and retain opaque private fields.","Generic grant alone cannot enter any physical execute method.","none","mostly_sound"
"13","operation budgeting","selected work demand to admitted budget","budgets/layout_plan","caller-authored LayoutPlanWork","LayoutPlanBudgetAdmission","AdmittedLayoutPlanBudget","Caller-authored work can be paired with a selected operation after the fact.","budgets/layout_plan","owner-issued OperationResourceDemand plus generic grant","OperationBudgetAdmission","AdmittedOperationBudget","Only an operation owner derives demand; budgeting only admits resources against it.","Replace public LayoutPlanWork construction with owner-issued demand.","Arbitrary work and cross-operation budget substitution fail.","10,12","partial"
"14","physical narrowing","generic grant to physical operation capability","physical-format/facade/execution_observation.rs","generic resource grant plus scalar physical parameters","PlatformPhysicalFacade","root publication/degraded scan ready capability","Budget no longer issues readiness, but selected layout identity is not fully bound into physical admission.","physical-format/root_publication and degraded_scan","selected-operation physical demand plus admitted operation budget","physical operation owner","operation-bound physical readiness","Physical owner binds request, operation, payload/work bounds, scope, and budget before execution.","Retain current private readiness and replace scalar request inputs with owner-bound demand.","Wrong operation, request, scope, row/page unit, and payload substitutions fail.","10,13","partial"
"15","indexed lowering","selected indexed read to lowered indexed read","access/execution/indexed/lowering.rs","SelectedIndexedAccessPlan","indexed owner","LoweredIndexedAccess","The owner-local recipe is complete through indexed execution, but topology and milestone vocabulary are not yet in final form.","indexed_read/lowering.rs","SelectedIndexedRead","IndexedReadOwner","LoweredIndexedRead","Lowering retains request, plan, materialization, freshness, scope, and budget without a shared executable payload.","Move to permanent topology and delete wrapper outcomes during compatibility cleanup.","No shared lowered/readiness receipt or path-kind switch occurs in indexed production.","10,13","mostly_sound"
"16","degraded lowering","selected degraded scan to lowered scan","access/execution/degraded_scan/lowering.rs","SelectedDegradedExactScan","degraded scan owner","LoweredDegradedExactScan","The degraded operation now has an independent recipe and owner identity; explicit row/work unit types and test compatibility removal remain.","degraded_scan/lowering.rs","SelectedDegradedExactScan","DegradedScanOwner","LoweredDegradedExactScan","Degraded lowering has its own payload and units and cannot be reached with indexed authority.","Add typed row/work demand and remove the test-only shared-plan reconstruction.","Reciprocal cross-owner lowering fixtures pass; bridge residue must reach zero.","10,13","partial"
"17","indexed readiness","lowered indexed read to ready/stale/deferred/rebind","access/execution/indexed/readiness.rs plus compatibility outcome","LoweredIndexedAccess","indexed owner","IndexedExecutionReady; StaleIndexedAccess; RebindRequiredIndexedAccess","Ready execution no longer carries any shared receipt and produces IndexedReadExecution directly; deferred and readmission vocabulary remain shared.","indexed_read/readiness.rs","LoweredIndexedRead plus current materialization/freshness","IndexedReadOwner","IndexedReadinessOutcome","Every indexed case is owner-local and preserves exact predecessor identity.","Move deferred/readmission into owner vocabulary and generate exact case coverage.","Constructor privacy and sibling-selection fixtures pass; exact case matrix remains.","15","partial"
"18","degraded readiness","lowered degraded scan to ready/stale/rebind","access/execution/degraded_scan/readiness.rs","LoweredDegradedExactScan","degraded scan owner","DegradedScanReadinessOutcome with owner-local payloads","Path tags no longer select production degraded readiness; owner-local readmission and typed work units remain incomplete.","degraded_scan/readiness.rs","LoweredDegradedExactScan plus current physical/materialization state","DegradedScanOwner","DegradedScanReadinessOutcome","Each case retains degraded operation identity and separate work units.","Add owner-local readmission and exact case coverage; remove old compatibility outcomes.","Cross-owner selection and ready construction fail; readmission substitution proof remains.","16","partial"
"19","readmission","stale evidence to rebound operation","indexed/readmission.rs; degraded_scan/readmission.rs; legacy facade","owner-specific predecessor plus lifecycle/domain/current exact coverage","respective operation owner plus legacy broad facade","DegradedScanReadmission; DegradedScanRebindAdmission; IndexedRebindAdmission","Owner-local transitions preserve basis, request, coverage, and owner identity; indexed stale was removed as unreachable. Legacy test compatibility and the overly broad indexed operation family remain.","operation-specific readmission modules","owner-specific stale/rebind capability plus current authority","respective operation owner","readmitted owner operation","Readmission preserves exact request, operation, coverage, freshness, and scope lineage; unreachable cases are not advertised.","Split indexed operations, migrate compatibility tests, and delete broad freshness facade/witnesses.","Cross-owner admission substitution fails; degraded runtime identity test passes; crash/reopen matrix remains.","17,18","partial"
"20","B-tree execution","indexed ready to physical observation","strategy/btree/execution and physical-format/page read","shared or bridged ready receipt","B-tree runtime owner and physical facade","B-tree outcome/counters","This is the closest real owner lane, but only selected B-tree cases use it and generic counter interfaces remain.","indexed_read/btree_execution.rs -> physical-format/page_read","IndexedExecutionReady plus admitted physical page request","B-tree/physical page owners","IndexedOperationObservation","Counters and result classification come only from ordinary physical execution.","Adapt B-tree operations to owner-ready capability and sealed physical observation.","All B-tree operation cases execute; arbitrary counter witnesses cannot satisfy admission.","17,23","partial"
"21","degraded execution","degraded ready to scan observation","degraded_scan -> physical-format facade","DegradedScanReady","physical scan owner followed by degraded owner projection","DegradedScanExecution retaining PlatformPhysicalDegradedExecutionObservation","Physical scan observation is now the sole production execution source; scalar row admission and missing row/page/byte type separation remain.","degraded_scan/execution.rs -> physical-format/degraded_scan","DegradedScanReady","physical scan owner","DegradedExactScanObservation","Physical scan observation is the sole counter and disposition source.","Introduce typed row/work envelopes and bind exact request identity into physical readiness.","Generic counter admission and nonphysical execute are absent; unit-substitution tests remain.","18,25","mostly_sound"
"22","physical page read","admitted page read to observation","physical-format/facade page access","admitted page access inputs","PlatformPhysicalFacade","page locate/report observations","Strong real owner observation exists but is not the canonical substrate for all indexed families.","physical-format/page_read","AdmittedPageRead","PhysicalPageReadOwner","PageReadObservation","The physical owner alone observes bytes, pages, checks, and disposition.","Normalize names and expose a narrow observation consumed by indexed owners.","Production end-to-end page read proves exact request-to-observation lineage.","14","mostly_sound"
"23","root publication","publication readiness to root observation","physical-format/facade/root_publication.rs","private readiness plus transferable envelope","PlatformPhysicalFacade","root publication counters","Readiness validates physical bounds but does not yet carry complete selected-operation identity.","physical-format/root_publication","RootPublicationReady binding request/plan/epoch/payload/budget","PhysicalRootPublicationOwner","RootPublicationObservation","No copied envelope or counters can represent publication authority.","Bind selected operation demand and remove parallel counter witness paths.","Wrong epoch/request/operation fails; counters derive only from observation.","14","partial"
"24","degraded physical scan","scan readiness to scan observation","physical-format/facade/scan.rs","private readiness plus row scalar","PlatformPhysicalFacade","scan runtime receipt","The operation is named but row and physical work semantics are not fully typed end to end.","physical-format/degraded_scan","DegradedExactScanReady with typed row/work envelopes","PhysicalDegradedScanOwner","DegradedExactScanObservation","Logical rows and physical pages/bytes remain distinct in types and counters.","Introduce typed units and bind selected degraded operation.","Unit confusion, copied request, and cross-scope cases fail.","14","partial"
"25","LSM lookup","admitted lookup to newest visible record","strategy/lsm/execution","LSM session and admitted keys/records","BaselineLsmExecutionWitness","BaselineLsmLookupExecution","Substantial execution code now exists, but it is not yet integrated with selected-operation and ordinary physical/WAL authority chain.","lsm_read/lookup.rs with WAL/manifest owner adapters","SelectedIndexedRead plus admitted manifest membership and WAL visibility","LSM read owner","ExecutedLsmLookup","Lookup binds request, run membership, sequence visibility, tombstone disposition, and counters.","Adapt existing execution substrate into the selected-read chain; eliminate witness-as-oracle entry.","Newest/older/tombstone matrix executes through ordinary caller; copied membership fails.","10,17,27","partial_capability"
"26","LSM publication","durable inputs to published run membership","strategy/lsm/execution and compaction","durable inputs and publication binding","BaselineLsmExecutionWitness","BaselineLsmManifestPublicationExecution","Execution vocabulary exists, but final publication authority is still owned inside layout-indexes instead of the WAL/manifest owner boundary.","worth-store-wal manifest publication with layout projection","admitted WAL frames, checkpoint scope, run identity, operation budget","WAL/manifest publication owner","ExecutedLsmRunPublication","Only durable manifest publication can establish run membership.","Move issuance to WAL/manifest owner and retain layout-indexes as a projection/consumer.","Cross-store, copied membership, wrong generation, and unflushed tail fail.","13","missing_owner_boundary"
"27","LSM replay","WAL/checkpoint inputs to replayed index state","strategy/lsm/execution","persisted index session and replay intent","BaselineLsmExecutionWitness","BaselineLsmReplayExecution","Replay behavior exists but authoritative sequence/checkpoint ownership is not closed through recovery-physics.","worth-store-wal + recovery-physics -> lsm_read projection","authoritative WAL tail and checkpoint admission","WAL/recovery owners","ExecutedLsmReplay","Replay result binds checkpoint, tail, membership, request domain, and observed counters.","Move source admission to permanent owners and adapt result into layout state.","Crash/reopen convergence and copied-tail denial pass through production.","25,26","missing_owner_boundary"
"28","execution evidence","owner observations to common read view","access/execution/executed_evidence.rs","shared ready receipt plus admitted counters","ExecutedAccessReceipt::observe","ExecutedAccessReceipt","One broad authoritative receipt erases indexed/degraded owner identity before projection.","indexed_read/executed.rs and degraded_scan/executed.rs","sealed owner observation","respective operation owner","IndexedReadExecution or DegradedScanExecution plus ExecutedAccessView","Commonality begins only after owner execution and is read-only.","Create distinct executed capabilities and replace broad receipt with a projection.","Projection cannot enter authority APIs; exact owner-case coverage passes.","20,21,25","missing_boundary"
"29","ordinary orchestration","user read request to owner chain","no complete production facade","consumer declarations or focused test fixtures","none","none","No ordinary caller proves the entire declaration-to-observation graph is usable without test/certification authority.","read_runtime/facade.rs in a non-cyclic upper owner","raw user request plus Store runtime handles","PhysicalReadExecution facade","ExecutedAccessView","Orchestration sequences owners but authors no policy, authority, counters, or outcomes.","Choose/create narrow upper crate and wire page, B-tree, LSM, and degraded families.","At least one real caller per family; facade has no classifiers or constructors for owner capabilities.","4,10,20,21,25,28","missing_capability"
"30","consumer integration","consumer demand to ordinary read","maintenance, tiering, blob, operations layout_projection modules","AccessShape and demand projections","consumer modules","declaration/projection values","Projection modules can look operational and no complete inventory distinguishes declarations from real callers.","each consumer owner -> read_runtime","ReadOnlyAccessDemandProjection or admitted user request","consumer owner for demand; read facade for execution","consumer result derived from ExecutedAccessView","Demand projections describe need and never imply admission or execution authority.","Inventory every import/call site; classify declaration-only, projection-only, or real caller.","Every execution caller reaches ordinary facade; projection types fail at execution boundary.","29","needs_inventory"
"31","certification","scenario input to courtroom verdict","certification and physical-certification","fixtures, broad receipts, harness adapters","courtroom plus historical adjacent issuers","transcripts and verdict evidence","Certification can validate isolated replacement paths and broad receipts rather than the one ordinary production graph.","certification/courtroom","raw hostile scenario inputs plus ordinary runtime facade","production owners issue evidence; courtroom compares it","verdict over ExecutedAccessView and sealed observations","The courtroom may execute, observe, compare, replay, and diagnose; it never legislates or issues production authority.","Remove issuer seams and run all-family scenarios through ordinary facade.","Certification cannot construct any admitted/selected/lowered/ready/executed capability.","29,30","partial"
"32","test support","fixture construction to hostile scenario","test-support and crate-local tests","helpers including cfg(test) compatibility paths","test helpers","sometimes admitted or execution-adjacent values","Helpers can preserve displaced topology or manufacture evidence unavailable in production.","test_support/raw_inputs","bytes, declarations, faults, stores, schedules","fixture builders only","raw hostile inputs","Tests may prepare worlds and faults; all authority comes from ordinary production APIs.","Delete test-only issuers and compatibility constructors after production adoption.","Compile-fail and mutation tests prove helpers cannot mint capabilities or outcomes.","29,30","partial"
"33","public topology","crate exports to caller-visible lifecycle","layout-indexes/lib.rs plus compatibility roots","broad module exports","crate root","S8-prefixed nouns, shared receipts, path kinds, broad facades","Public topology exposes milestone ontology and compatibility lanes instead of teaching owner sequence.","owner facades and projection modules","owner capabilities and read-only views","respective owner modules","planning, indexed_read, degraded_scan, materialization, projections","Exports reveal lifecycle order, authority owner, and truth status without milestone names.","Remove compatibility roots and migrate exports after each vertical slice.","Milestone vocabulary and removed-root compile-fail scans reach zero.","15-30","mixed_cutover"
"34","architecture proof","owner issuance to compile-fail matrix","layout-indexes runtime_authority UI fixtures","isolated privacy cases","cargo-based compile-fail harness","selected negative cases","Coverage does not yet enumerate every predecessor skip, sibling issue, projection promotion, and copied identity attack.","owner-local compile_fail matrix","generated owner/stage inventory","compile-fail runner","exact boundary matrix","Every transition has one issuer, exact predecessor type, inaccessible constructor, and non-authoritative projection.","Generate matrix from permanent owner inventory and assert intended diagnostic.","No E0463/environmental pass; every expected privacy/type failure is matched.","15-30,33","partial"
"35","runtime proof","declared owner cases to observed executions","layout-indexes and certification tests","representative cases","mixed test owners","contains-style assertions","Representative success cannot prove every advertised denial/deferred/stale/readmission case is reachable honestly.","certification/courtroom coverage matrix","ordinary facade scenarios","production owners","OperationCoverageMatrix","Declared owner case set equals observed production outcome set exactly.","Generate owner-case inventory and run hostile equivalence classes through production.","Exact set equality; no representative membership assertions.","29-32","missing_capability"
"36","warning proof","adopted architecture to compiler evidence","layout-indexes and physical-format","partially migrated modules","compiler","large warning set","Warnings currently encode obsolete lanes, unadopted proof machinery, and dead compatibility surfaces.","all affected crates","completed vertical slices","compiler with deny warnings","warning-clean crate set","No unused authority type or operation path remains after cutover.","Classify each warning as migration residue, missing adoption, or invalid test surface and resolve it.","cargo check with -D warnings passes for focused crate set.","15-35","failed_gate"
"37","verification integrity","verification commands to trustworthy result","automation runner","multiple cargo commands","shell/runner","aggregate exit status","Semicolon chaining previously allowed a later success to mask an earlier failure.","automation runner fail-fast bundle","one command per recorded step","runner","independent command results","Every required command gates advancement independently.","Use separate invocations or explicit fail-fast behavior and persist exit per command.","Injected first-command failure fails phase verification.","none","failed_gate"
"38","migration sequencing","old graph to owner graph","Phase 34 repeated horizontal repair","shared stages changed piecemeal","runner/manual repairs","mixed old/new graph","Horizontal sealing moves bypasses without proving an ordinary vertical capability chain.","vertical owner slices","one operation family at a time","implementation sequence","fully cut-over family","A family is migrated declaration-to-physical-observation-to-courtroom before substrate is generalized.","Finish indexed B-tree slice, then degraded, LSM, callers, and cleanup.","Each slice has zero bridges before the next starts.","1-37","replanned"
"39","directory topology","semantic stages to owner-shaped modules","access/execution plus broad planning/strategy trees","mixed owner and generic modules","module topology","shared facade/outcomes/executed_evidence files","File structure still invites path-kind dispatch and shared authority bags.","artifact_family; request; planning; indexed_read; degraded_scan; projections","permanent owner concepts","module privacy","owner-local state machine directories","Directories align with issuers and transitions; shared modules contain projections or value substrate only.","Move code as each vertical slice lands; keep mod.rs aggregation-only.","No business logic in mod.rs; no shared authoritative receipt/outcome modules.","38","needs_restructure"
"40","completion","ordinary request to certified execution","entire current graph","mixed declarations, witnesses, bridges, focused tests","multiple partial owners","partial Phase 34 evidence","Types exist at most stages, but no single enforced production path proves all supported families and cases.","request -> planning -> owner lowering/readiness -> physical/WAL execution -> projection -> courtroom","raw external request and hostile world","permanent domain owners","sealed executions plus non-authoritative views","The only successful path is the actual owner graph; every shortcut is mechanically impossible.","Complete rows 1-39 and delete every displaced compatibility lane.","All focused checks, exact runtime matrix, compile-fail matrix, QA loop, hostile test QA, and code-quality QA pass without warnings.","1-39","not_complete"
